 Fp:0   Fp:1   Fp:2   Fp:3   Fp:4   velocity:0   velocity:1   PK1:0   PK1:1   PK1:2   PK1:3   epeq   F:0   F:1   F:2   F:3   vtkOriginalPointIds   Points:0   Points:1   Points:2 
1.05156e+00 -1.48122e-02 -1.48318e-02 9.73221e-01 9.77344e-01 -3.98712e+02 -6.57787e+00 1.44552e+10 -2.32461e+07 -1.98280e+08 1.28097e+10 5.30433e-02 1.09497e+00 -1.00542e-02 -2.47282e-02 9.92927e-01 0 -7.22606e-02 1.12635e-03 0.00000e+00
1.00354e+00 -8.43238e-06 -8.43166e-06 9.98241e-01 9.98233e-01 -1.16803e+02 1.61871e-01 4.77347e+09 -3.57143e+06 -3.49928e+06 2.59789e+09 3.52977e-03 1.02030e+00 -4.27103e-05 -2.28456e-05 1.00003e+00 1 9.97037e-01 3.73582e-06 0.00000e+00
1.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 2.37865e-12 5.27270e-11 8.54018e-06 -1.59315e-04 -1.59315e-04 -9.39419e-05 0.00000e+00 1.00000e+00 -1.16035e-15 -9.10748e-16 1.00000e+00 2 3.00000e+00 5.26898e-16 0.00000e+00
1.03770e+00 -2.47540e-03 -2.46672e-03 9.83902e-01 9.79438e-01 -3.96848e+02 -5.16811e+00 1.44969e+10 -2.29106e+07 -1.58331e+07 1.27857e+10 3.72509e-02 1.07998e+00 -3.10105e-03 -2.82605e-03 1.00552e+00 9 4.66913e-02 3.81343e-04 0.00000e+00
1.04095e+00 -1.30120e-03 -1.30818e-03 9.81247e-01 9.79019e-01 -3.96373e+02 -4.52381e+00 1.45105e+10 -9.22723e+06 3.00942e+06 1.28061e+10 4.01931e-02 1.08359e+00 -1.90167e-03 -1.13842e-03 1.00246e+00 10 1.67269e-01 1.74703e-04 0.00000e+00
1.04149e+00 -5.70323e-04 -5.74674e-04 9.80545e-01 9.79210e-01 -3.93432e+02 -3.49670e+00 1.44275e+10 5.94256e+05 7.23544e+06 1.27317e+10 4.06712e-02 1.08399e+00 -8.30802e-04 -4.22858e-04 1.00158e+00 11 2.87935e-01 9.54863e-05 0.00000e+00
1.04031e+00 -3.15175e-04 -3.18006e-04 9.80909e-01 9.79960e-01 -3.84287e+02 -2.08174e+00 1.40934e+10 5.13809e+06 6.72199e+06 1.23550e+10 3.95260e-02 1.08188e+00 -3.37066e-04 -2.89692e-04 1.00120e+00 12 4.08530e-01 6.03841e-05 0.00000e+00
1.03674e+00 -2.27912e-04 -2.29193e-04 9.82452e-01 9.81789e-01 -3.60586e+02 -9.46285e-01 1.32559e+10 3.66138e+06 3.51387e+06 1.13996e+10 3.60864e-02 1.07596e+00 -1.93765e-04 -2.62384e-04 1.00088e+00 13 5.28721e-01 4.69746e-05 0.00000e+00
1.03025e+00 -1.55509e-04 -1.56452e-04 9.85401e-01 9.85018e-01 -3.17266e+02 -2.70932e-01 1.17496e+10 -3.67214e+05 -3.20017e+05 9.71009e+09 2.98036e-02 1.06533e+00 -1.61275e-04 -1.87836e-04 1.00056e+00 14 6.48080e-01 3.32781e-05 0.00000e+00
1.02116e+00 -8.61037e-05 -8.63563e-05 9.89671e-01 9.89498e-01 -2.55304e+02 1.02143e-01 9.58212e+09 -3.64073e+06 -3.44400e+06 7.35569e+09 2.09406e-02 1.05045e+00 -1.25727e-04 -1.12205e-04 1.00030e+00 15 7.66100e-01 2.01935e-05 0.00000e+00
