 Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   Equivalent_Plastic_Strain   Displacements:0   Displacements:1   Displacements:2   vtkOriginalPointIds   Points:0   Points:1   Points:2 
5.21603e+09 -3.02293e+06 0.00000e+00 -9.50672e+05 2.66728e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.25044e+09 1.77768e-01 -3.19995e-01 0.00000e+00 0.00000e+00 0 -3.19995e-01 0.00000e+00 0.00000e+00
6.54171e+09 1.70148e+08 0.00000e+00 8.95562e+07 4.52891e+09 0.00000e+00 0.00000e+00 0.00000e+00 5.53684e+09 1.75059e-01 -2.99028e-01 0.00000e+00 0.00000e+00 1 -1.87917e-01 0.00000e+00 0.00000e+00
5.40829e+09 2.05696e+08 0.00000e+00 1.19812e+08 3.06291e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.31385e+09 1.89048e-01 -2.77632e-01 0.00000e+00 0.00000e+00 20 -5.54100e-02 0.00000e+00 0.00000e+00
5.03133e+09 1.06284e+08 0.00000e+00 5.76690e+07 2.54947e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.94142e+09 1.98197e-01 -2.54497e-01 0.00000e+00 0.00000e+00 30 7.88360e-02 0.00000e+00 0.00000e+00
4.95741e+09 1.01555e+07 0.00000e+00 -4.16772e+06 2.40476e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.91493e+09 1.91510e-01 -2.31293e-01 0.00000e+00 0.00000e+00 40 2.13151e-01 0.00000e+00 0.00000e+00
5.24393e+09 -2.46854e+07 0.00000e+00 -3.00231e+07 2.71231e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.12657e+09 1.73394e-01 -2.09768e-01 0.00000e+00 0.00000e+00 50 3.45788e-01 0.00000e+00 0.00000e+00
5.16291e+09 2.25959e+07 0.00000e+00 4.10949e+06 2.49668e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.93338e+09 1.54358e-01 -1.90528e-01 0.00000e+00 0.00000e+00 60 4.76139e-01 0.00000e+00 0.00000e+00
4.87754e+09 1.56959e+08 0.00000e+00 1.09138e+08 2.04723e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.59483e+09 1.40137e-01 -1.73471e-01 0.00000e+00 0.00000e+00 70 6.04307e-01 0.00000e+00 0.00000e+00
4.70147e+09 1.51733e+08 0.00000e+00 1.10161e+08 1.77705e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.39760e+09 1.28894e-01 -1.57670e-01 0.00000e+00 0.00000e+00 80 7.31219e-01 0.00000e+00 0.00000e+00
4.31223e+09 9.73101e+07 0.00000e+00 7.31328e+07 1.25041e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.08055e+09 1.16661e-01 -1.43205e-01 0.00000e+00 0.00000e+00 90 8.56795e-01 0.00000e+00 0.00000e+00
4.27194e+09 8.44215e+07 0.00000e+00 6.51975e+07 1.17238e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.04368e+09 1.03714e-01 -1.30344e-01 0.00000e+00 0.00000e+00 100 9.80766e-01 0.00000e+00 0.00000e+00
4.16135e+09 4.72186e+07 0.00000e+00 3.65665e+07 1.03257e+09 0.00000e+00 0.00000e+00 0.00000e+00 2.97877e+09 9.19312e-02 -1.18651e-01 0.00000e+00 0.00000e+00 110 1.10357e+00 0.00000e+00 0.00000e+00
3.71419e+09 4.91053e+07 0.00000e+00 4.05849e+07 5.35519e+08 0.00000e+00 0.00000e+00 0.00000e+00 2.73837e+09 8.09595e-02 -1.08325e-01 0.00000e+00 0.00000e+00 120 1.22501e+00 0.00000e+00 0.00000e+00
3.93141e+09 5.31369e+07 0.00000e+00 4.40872e+07 7.84418e+08 0.00000e+00 0.00000e+00 0.00000e+00 2.93733e+09 7.19905e-02 -9.91901e-02 0.00000e+00 0.00000e+00 130 1.34525e+00 0.00000e+00 0.00000e+00
4.20409e+09 1.65925e+07 0.00000e+00 1.22041e+07 1.09536e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.15402e+09 6.45003e-02 -9.04992e-02 0.00000e+00 0.00000e+00 140 1.46506e+00 0.00000e+00 0.00000e+00
3.96437e+09 2.87169e+07 0.00000e+00 2.36373e+07 8.65264e+08 0.00000e+00 0.00000e+00 0.00000e+00 3.07060e+09 5.73443e-02 -8.26323e-02 0.00000e+00 0.00000e+00 150 1.58404e+00 0.00000e+00 0.00000e+00
4.56189e+09 5.65642e+07 0.00000e+00 4.71210e+07 1.52018e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.50701e+09 5.26842e-02 -7.54966e-02 0.00000e+00 0.00000e+00 160 1.70228e+00 0.00000e+00 0.00000e+00
5.20505e+09 1.99796e+07 0.00000e+00 1.39042e+07 2.21179e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.92252e+09 4.94871e-02 -6.80809e-02 0.00000e+00 0.00000e+00 170 1.82081e+00 0.00000e+00 0.00000e+00
4.90343e+09 2.16385e+07 0.00000e+00 1.61266e+07 1.92497e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.78315e+09 4.56855e-02 -6.10801e-02 0.00000e+00 0.00000e+00 180 1.93892e+00 0.00000e+00 0.00000e+00
5.30346e+09 6.63776e+07 0.00000e+00 5.54328e+07 2.35363e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.10577e+09 4.36036e-02 -5.45877e-02 0.00000e+00 0.00000e+00 190 2.05652e+00 0.00000e+00 0.00000e+00
5.90756e+09 3.48001e+07 0.00000e+00 2.70904e+07 2.99941e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.55261e+09 4.22850e-02 -4.76616e-02 0.00000e+00 0.00000e+00 200 2.17456e+00 0.00000e+00 0.00000e+00
5.64255e+09 1.06944e+07 0.00000e+00 6.79011e+06 2.71726e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.47075e+09 3.99580e-02 -4.09676e-02 0.00000e+00 0.00000e+00 210 2.29236e+00 0.00000e+00 0.00000e+00
6.24984e+09 2.27516e+07 0.00000e+00 1.71153e+07 3.39007e+09 0.00000e+00 0.00000e+00 0.00000e+00 5.02955e+09 3.99485e-02 -3.46595e-02 0.00000e+00 0.00000e+00 220 2.40978e+00 0.00000e+00 0.00000e+00
