 velocity:0   velocity:1   Piola:0   Piola:1   Piola:2   Piola:3   epeq   F:0   F:1   F:2   F:3   vtkOriginalPointIds   Points:0   Points:1   Points:2 
-4.00074e+02 0.00000e+00 1.26302e+10 -4.85615e-08 -1.17607e-07 1.06899e+10 3.41975e-02 1.07234e+00 -2.99345e-20 -6.16566e-18 1.00000e+00 0 -7.35165e-02 -6.90946e-37 0.00000e+00
-1.05694e+02 0.00000e+00 3.96254e+09 5.53911e+06 5.80143e+06 1.91690e+09 1.58131e-03 1.01606e+00 2.40114e-20 8.99424e-05 9.99833e-01 1 9.94292e-01 -3.65365e-21 0.00000e+00
0.00000e+00 0.00000e+00 8.88497e+02 1.30873e+01 1.30873e+01 3.56331e+02 0.00000e+00 1.00000e+00 -8.64696e-26 1.70135e-10 1.00000e+00 2 3.00000e+00 -4.99357e-27 0.00000e+00
-2.02671e+02 0.00000e+00 1.25887e+10 3.67776e+05 8.96512e+05 1.06421e+10 3.42845e-02 1.07234e+00 -2.89991e-20 4.71607e-05 9.99730e-01 9 4.17424e-02 -6.22349e-21 0.00000e+00
-4.05269e+02 0.00000e+00 1.25472e+10 7.36929e+05 1.79047e+06 1.05943e+10 3.43720e-02 1.07234e+00 -1.49673e-20 9.43213e-05 9.99461e-01 10 1.57001e-01 -1.24470e-20 0.00000e+00
-4.39101e+02 0.00000e+00 1.74736e+10 -3.67050e+05 1.46435e+06 1.64040e+10 5.71271e-02 1.11066e+00 3.79075e-20 1.14072e-04 9.99472e-01 11 2.79885e-01 -1.15788e-20 0.00000e+00
-4.72932e+02 0.00000e+00 1.74753e+10 -4.30759e+05 1.71795e+06 1.64060e+10 5.71232e-02 1.11066e+00 1.30508e-21 1.33823e-04 9.99484e-01 12 4.02769e-01 -1.07106e-20 0.00000e+00
-3.83810e+02 0.00000e+00 1.35075e+10 8.20370e+05 2.68372e+06 1.16879e+10 3.85602e-02 1.07938e+00 1.14735e-19 1.53749e-04 9.99540e-01 13 5.24264e-01 -9.55490e-21 0.00000e+00
-2.94689e+02 0.00000e+00 1.35160e+10 9.26027e+05 3.03233e+06 1.16976e+10 3.85421e-02 1.07938e+00 9.60110e-20 1.73674e-04 9.99595e-01 14 6.45758e-01 -8.39916e-21 0.00000e+00
-2.26869e+02 0.00000e+00 8.73266e+09 3.07869e+06 4.14921e+06 6.44376e+09 1.80819e-02 1.04537e+00 6.21542e-20 1.44256e-04 9.99690e-01 15 7.63105e-01 -6.53726e-21 0.00000e+00
-1.59049e+02 0.00000e+00 8.74741e+09 2.45172e+06 3.30573e+06 6.46182e+09 1.80521e-02 1.04537e+00 1.04548e-20 1.14837e-04 9.99784e-01 16 8.80452e-01 -4.67536e-21 0.00000e+00
-5.23387e+01 0.00000e+00 1.75752e+09 4.88906e+06 4.96978e+06 7.32597e+08 1.25419e-06 1.00664e+00 4.40136e-21 6.50476e-05 9.99882e-01 17 1.10813e+00 -2.63193e-21 0.00000e+00
-4.08663e+01 0.00000e+00 1.76207e+09 3.48505e+06 3.54295e+06 7.43239e+08 1.21656e-06 1.00664e+00 3.47822e-20 4.63738e-05 9.99922e-01 18 1.22018e+00 -1.79931e-21 0.00000e+00
-2.93939e+01 0.00000e+00 5.29543e+08 2.11626e+06 2.12662e+06 2.18936e+08 0.00000e+00 1.00199e+00 1.58872e-21 2.77000e-05 9.99961e-01 19 1.33223e+00 -9.66690e-22 0.00000e+00
