 velocity:0   velocity:1   Piola:0   Piola:1   Piola:2   Piola:3   epeq   F:0   F:1   F:2   F:3   vtkOriginalPointIds   Points:0   Points:1   Points:2 
-4.05490e+02 0.00000e+00 4.20570e+09 -4.18596e+08 -1.29201e+08 1.14549e+09 7.82727e-02 1.08882e+00 -6.87240e-02 4.05234e-02 9.31276e-01 0 -3.14980e-01 -4.62823e-03 0.00000e+00
-1.73110e+02 0.00000e+00 3.63595e+09 7.08464e+07 7.90358e+07 4.16495e+08 1.11055e-01 1.12145e+00 3.02688e-03 7.11904e-03 9.03516e-01 1 8.46573e-01 -6.24280e-03 0.00000e+00
0.00000e+00 0.00000e+00 1.35728e+10 1.39220e+08 -1.11911e+07 1.18261e+10 4.88656e-02 1.09086e+00 9.85264e-03 -2.47097e-03 9.90147e-01 2 2.99548e+00 -6.72059e-04 0.00000e+00
-3.61584e+02 0.00000e+00 4.26616e+09 2.04305e+07 2.24037e+08 1.48923e+09 1.94516e-01 1.20868e+00 -2.01570e-02 5.24032e-02 8.42395e-01 9 -1.90974e-01 -1.04365e-02 0.00000e+00
-3.21351e+02 0.00000e+00 4.68548e+09 7.06917e+07 7.70521e+07 2.17540e+09 2.09858e-01 1.22806e+00 1.06739e-02 1.25845e-02 8.32912e-01 10 -5.54716e-02 -1.09627e-02 0.00000e+00
-2.98101e+02 0.00000e+00 4.38433e+09 3.51800e+07 1.43005e+07 1.60141e+09 1.84142e-01 1.19943e+00 6.67893e-03 -4.70818e-04 8.50265e-01 11 7.94791e-02 -9.79988e-03 0.00000e+00
-2.73932e+02 0.00000e+00 4.26763e+09 4.95562e+07 1.85602e+07 1.35172e+09 1.62149e-01 1.17582e+00 9.24833e-03 -2.01528e-03 8.66192e-01 12 2.11433e-01 -8.78656e-03 0.00000e+00
-2.69519e+02 0.00000e+00 3.73602e+09 3.55938e+07 4.42609e+07 5.87295e+08 1.45714e-01 1.15677e+00 1.50966e-03 5.58674e-03 8.76950e-01 13 3.41109e-01 -8.05935e-03 0.00000e+00
-2.26288e+02 0.00000e+00 3.92359e+09 7.03411e+07 7.84085e+07 8.24965e+08 1.38511e-01 1.15006e+00 4.67962e-03 8.13388e-03 8.83139e-01 14 4.69258e-01 -7.60203e-03 0.00000e+00
-1.91282e+02 0.00000e+00 3.60652e+09 4.55263e+07 4.11404e+07 3.88127e+08 1.25317e-01 1.13563e+00 4.39068e-03 2.16426e-03 8.92210e-01 15 5.96451e-01 -7.10453e-03 0.00000e+00
-1.88114e+02 0.00000e+00 2.89346e+09 5.88788e+07 6.37354e+07 -5.21580e+08 1.14426e-01 1.12209e+00 1.94433e-03 6.08172e-03 8.98545e-01 16 7.21742e-01 -6.61791e-03 0.00000e+00
-1.73104e+02 0.00000e+00 3.94167e+09 3.89317e+07 4.12048e+07 7.91667e+08 1.05565e-01 1.11721e+00 2.16574e-03 3.13868e-03 9.08708e-01 17 9.70788e-01 -5.94704e-03 0.00000e+00
-1.68928e+02 0.00000e+00 3.15685e+09 8.87703e+07 9.38768e+07 -1.73352e+08 9.55604e-02 1.10446e+00 3.48533e-03 6.94069e-03 9.14359e-01 18 1.09438e+00 -5.50427e-03 0.00000e+00
-1.12272e+02 0.00000e+00 3.11800e+09 9.70042e+07 9.98354e+07 -2.07627e+08 8.59412e-02 1.09497e+00 4.13835e-03 6.10043e-03 9.21983e-01 19 1.21655e+00 -5.00080e-03 0.00000e+00
-7.81243e+01 0.00000e+00 1.90464e+09 7.19802e+07 7.20602e+07 -1.61219e+09 7.28383e-02 1.07830e+00 2.78504e-03 3.33384e-03 9.28907e-01 20 1.33752e+00 -4.57830e-03 0.00000e+00
-7.47165e+01 0.00000e+00 1.76930e+09 1.34866e+08 1.34901e+08 -1.71448e+09 6.37078e-02 1.06909e+00 4.49809e-03 5.79282e-03 9.36190e-01 21 1.45668e+00 -4.06355e-03 0.00000e+00
-6.61239e+01 0.00000e+00 3.12728e+09 1.08330e+08 1.08481e+08 -1.30505e+08 5.82374e-02 1.06848e+00 4.06644e-03 4.16796e-03 9.44754e-01 22 1.57559e+00 -3.52830e-03 0.00000e+00
-1.04129e+02 0.00000e+00 4.76237e+09 7.25281e+07 7.32872e+07 1.74594e+09 5.60702e-02 1.07180e+00 2.78704e-03 3.02304e-03 9.51608e-01 23 1.69428e+00 -3.09069e-03 0.00000e+00
-1.00227e+02 0.00000e+00 5.62853e+09 7.79647e+07 7.88130e+07 2.73895e+09 5.25691e-02 1.07118e+00 2.98427e-03 3.18990e-03 9.57379e-01 24 1.81346e+00 -2.70025e-03 0.00000e+00
-9.58836e+01 0.00000e+00 5.80760e+09 4.23123e+07 4.37043e+07 2.93888e+09 4.80014e-02 1.06737e+00 1.42143e-03 1.74438e-03 9.61785e-01 25 1.93217e+00 -2.42229e-03 0.00000e+00
-2.99240e+01 0.00000e+00 4.88700e+09 4.64919e+07 4.87358e+07 1.90798e+09 4.14603e-02 1.05822e+00 1.16600e-03 1.83391e-03 9.64372e-01 26 2.05051e+00 -2.24115e-03 0.00000e+00
1.47184e+01 0.00000e+00 3.67670e+09 5.11193e+07 5.31360e+07 5.88772e+08 3.46173e-02 1.04801e+00 9.00744e-04 1.85314e-03 9.66439e-01 27 2.16753e+00 -2.10303e-03 0.00000e+00
4.42262e+01 0.00000e+00 2.63615e+09 5.58741e+07 5.69530e+07 -5.11563e+08 2.90576e-02 1.03962e+00 7.71784e-04 1.79132e-03 9.68111e-01 28 2.28366e+00 -1.99581e-03 0.00000e+00
6.79068e+01 0.00000e+00 4.21314e+09 6.08949e+07 6.42547e+07 1.19624e+09 3.26384e-02 1.04775e+00 9.88646e-04 2.24181e-03 9.69872e-01 29 2.39960e+00 -1.88144e-03 0.00000e+00
9.71913e+00 0.00000e+00 5.26069e+09 4.59502e+07 5.00006e+07 2.35051e+09 3.44743e-02 1.05264e+00 7.96437e-04 1.87368e-03 9.71657e-01 30 2.51623e+00 -1.76971e-03 0.00000e+00
-3.15714e+00 0.00000e+00 7.90326e+09 3.12733e+07 3.78841e+07 5.31408e+09 4.30773e-02 1.06890e+00 7.67052e-04 1.78844e-03 9.73220e-01 31 2.63400e+00 -1.67609e-03 0.00000e+00
