 Fp:0   Fp:1   Fp:2   Fp:3   Fp:4   Equivalent_Plastic_Strain   F:0   F:1   F:2   F:3   Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   p   sig:0   sig:1   sig:2   sig:3   velocity:0   velocity:1   vtkOriginalPointIds   Points:0   Points:1   Points:2 
9.48589e-01 2.08040e-03 1.46380e-03 1.05202e+00 1.00207e+00 6.63358e-02 9.44630e-01 -7.69280e-03 1.14479e-02 1.05566e+00 -1.00671e+09 -6.27721e+07 -6.11426e+07 2.17914e+08 -4.50550e+08 -9.51664e+08 -5.68017e+07 2.30527e+08 -6.30512e+08 -0.00000e+00 7.82434e+00 0 0.00000e+00 3.20591e-03 0.00000e+00
9.63715e-01 -1.92636e-03 -1.99269e-03 1.03756e+00 1.00009e+00 5.09684e-02 9.68284e-01 -6.65257e-04 -3.69678e-03 1.04433e+00 2.07902e+09 -1.64710e+07 -2.16960e+07 2.18899e+09 1.85711e+09 2.01316e+09 -2.40408e+07 2.28604e+09 1.27214e+09 3.85048e+01 5.42004e+00 1 9.53648e-01 2.47186e-03 0.00000e+00
9.85998e-01 -9.37456e-04 -9.46821e-04 1.01573e+00 9.98494e-01 1.78672e-02 9.85418e-01 -2.52624e-03 3.74999e-04 1.01954e+00 4.54941e+08 -2.38502e+07 -2.15224e+07 1.09334e+09 7.77813e+08 4.48299e+08 -2.30924e+07 1.11477e+09 7.70371e+08 4.61816e+01 4.19808e+00 2 2.92881e+00 1.39812e-03 0.00000e+00
9.49862e-01 -2.24543e-04 -2.94188e-04 1.05052e+00 1.00216e+00 6.33440e-02 9.46038e-01 7.25360e-03 -8.91236e-03 1.05410e+00 -9.83244e+08 -2.98844e+07 -2.17761e+07 2.03583e+08 -4.53893e+08 -9.29992e+08 -3.00862e+07 2.14379e+08 -6.46066e+08 -2.97435e+00 6.51356e+00 9 1.03715e-01 2.91764e-03 0.00000e+00
9.52124e-01 -1.06748e-03 -1.11059e-03 1.04803e+00 1.00215e+00 6.05616e-02 9.48738e-01 -3.54089e-03 1.40457e-03 1.05178e+00 -8.36705e+08 -1.50100e+07 -1.59726e+07 2.87349e+08 -3.56124e+08 -7.93836e+08 -1.38370e+07 3.02280e+08 -5.76816e+08 -3.85370e+00 6.30149e+00 10 2.09020e-01 3.00444e-03 0.00000e+00
9.52916e-01 -7.95945e-04 -8.22731e-04 1.04720e+00 1.00211e+00 5.96748e-02 9.50153e-01 -1.72668e-03 4.73316e-05 1.05133e+00 -6.00720e+08 -1.12457e+07 -1.11294e+07 4.57620e+08 -1.79521e+08 -5.70777e+08 -1.06634e+07 4.81128e+08 -4.48914e+08 -2.85705e+00 6.07663e+00 11 3.14507e-01 2.81434e-03 0.00000e+00
9.54341e-01 -1.01249e-03 -1.03975e-03 1.04572e+00 1.00203e+00 5.81401e-02 9.52453e-01 7.68695e-04 -3.15295e-03 1.05030e+00 -2.76048e+08 -1.09854e+07 -1.18016e+07 6.80126e+08 6.02361e+07 -2.62886e+08 -1.26074e+07 7.14326e+08 -2.70732e+08 2.08348e-01 5.94577e+00 12 4.20160e-01 2.77745e-03 0.00000e+00
9.56035e-01 -1.21750e-03 -1.25003e-03 1.04402e+00 1.00188e+00 5.64117e-02 9.55218e-01 -9.59643e-04 -1.72177e-03 1.04908e+00 1.15890e+08 -1.26964e+07 -1.29968e+07 9.39785e+08 3.49865e+08 1.10723e+08 -1.37459e+07 9.85924e+08 -4.70512e+07 5.04998e+00 5.83018e+00 13 5.26186e-01 2.73382e-03 0.00000e+00
9.57610e-01 -1.39116e-03 -1.42964e-03 1.04256e+00 1.00164e+00 5.49904e-02 9.58014e-01 -3.33930e-04 -2.81154e-03 1.04809e+00 5.58602e+08 -1.39443e+07 -1.58577e+07 1.22638e+09 6.79484e+08 5.35194e+08 -1.68069e+07 1.28537e+09 2.17892e+08 1.14730e+01 5.71972e+00 14 6.32496e-01 2.66905e-03 0.00000e+00
9.59452e-01 -1.58345e-03 -1.63023e-03 1.04094e+00 1.00128e+00 5.35141e-02 9.61199e-01 -5.71089e-04 -3.00160e-03 1.04691e+00 1.04291e+09 -1.55181e+07 -1.80695e+07 1.53141e+09 1.04411e+09 1.00250e+09 -1.95127e+07 1.60326e+09 5.26564e+08 1.93443e+01 5.61900e+00 15 7.39162e-01 2.61245e-03 0.00000e+00
9.61465e-01 -1.75839e-03 -1.81435e-03 1.03929e+00 1.00076e+00 5.21709e-02 9.64626e-01 -5.95942e-04 -3.38291e-03 1.04567e+00 1.55612e+09 -1.62909e+07 -2.01359e+07 1.85289e+09 1.43939e+09 1.50115e+09 -2.19828e+07 1.93752e+09 8.79521e+08 2.84726e+01 5.52531e+00 16 8.46204e-01 2.54421e-03 0.00000e+00
9.66203e-01 -2.08588e-03 -2.16361e-03 1.03571e+00 9.99297e-01 4.99198e-02 9.72088e-01 -6.91979e-04 -4.03988e-03 1.04290e+00 2.58605e+09 -1.63970e+07 -2.33899e+07 2.53559e+09 2.28220e+09 2.51396e+09 -2.61828e+07 2.64438e+09 1.68825e+09 4.88800e+01 5.27628e+00 17 1.06151e+00 2.39389e-03 0.00000e+00
9.68887e-01 -2.23466e-03 -2.32427e-03 1.03370e+00 9.98471e-01 4.89808e-02 9.75901e-01 -7.60989e-04 -4.32944e-03 1.04136e+00 3.04433e+09 -1.74072e+07 -2.60617e+07 2.87996e+09 2.68908e+09 2.97107e+09 -2.94564e+07 2.99910e+09 2.09707e+09 5.87857e+01 5.06410e+00 18 1.16979e+00 2.30965e-03 0.00000e+00
9.71650e-01 -2.37056e-03 -2.47174e-03 1.03153e+00 9.97724e-01 4.81014e-02 9.79517e-01 -8.16009e-04 -4.63677e-03 1.03973e+00 3.41676e+09 -2.06902e+07 -3.10729e+07 3.19813e+09 3.04315e+09 3.34692e+09 -3.50954e+07 3.32520e+09 2.45734e+09 6.72686e+01 4.76766e+00 19 1.27847e+00 2.21845e-03 0.00000e+00
9.74377e-01 -2.49300e-03 -2.60441e-03 1.02924e+00 9.97146e-01 4.72178e-02 9.82751e-01 -8.77757e-04 -4.95060e-03 1.03798e+00 3.67168e+09 -2.74311e+07 -3.93789e+07 3.46206e+09 3.31147e+09 3.60854e+09 -4.40972e+07 3.59356e+09 2.73232e+09 7.35458e+01 4.39220e+00 20 1.38752e+00 2.12024e-03 0.00000e+00
9.76987e-01 -2.59895e-03 -2.71823e-03 1.02688e+00 9.96764e-01 4.63202e-02 9.85502e-01 -9.41967e-04 -5.27171e-03 1.03611e+00 3.79630e+09 -3.80479e+07 -5.13179e+07 3.65168e+09 3.47694e+09 3.74153e+09 -5.67468e+07 3.78356e+09 2.90573e+09 7.73343e+01 3.97490e+00 21 1.49689e+00 2.01473e-03 0.00000e+00
9.79450e-01 -2.68681e-03 -2.81087e-03 1.02453e+00 9.96547e-01 4.54438e-02 9.87784e-01 -9.93374e-04 -5.59952e-03 1.03413e+00 3.80235e+09 -5.16804e+07 -6.60765e+07 3.76098e+09 3.54371e+09 3.75627e+09 -7.21087e+07 3.88939e+09 2.98547e+09 7.89426e+01 3.57123e+00 22 1.60652e+00 1.90279e-03 0.00000e+00
9.81752e-01 -2.75186e-03 -2.87688e-03 1.02223e+00 9.96444e-01 4.46278e-02 9.89678e-01 -9.97331e-04 -5.93781e-03 1.03206e+00 3.71740e+09 -6.67006e+07 -8.22010e+07 3.79460e+09 3.52905e+09 3.67952e+09 -8.85437e+07 3.91632e+09 2.99131e+09 7.90058e+01 3.22318e+00 23 1.71638e+00 1.78694e-03 0.00000e+00
9.83869e-01 -2.78171e-03 -2.90305e-03 1.02005e+00 9.96422e-01 4.38732e-02 9.91261e-01 -9.33048e-04 -6.26400e-03 1.02994e+00 3.57178e+09 -8.18454e+07 -9.84170e+07 3.76211e+09 3.45259e+09 3.54118e+09 -1.04696e+08 3.87482e+09 2.94177e+09 7.81967e+01 2.93940e+00 24 1.82642e+00 1.67168e-03 0.00000e+00
9.85736e-01 -2.75845e-03 -2.87080e-03 1.01807e+00 9.96473e-01 4.31217e-02 9.92552e-01 -7.92290e-04 -6.54141e-03 1.02784e+00 3.38933e+09 -9.66189e+07 -1.14072e+08 3.67417e+09 3.33017e+09 3.36483e+09 -1.19934e+08 3.77655e+09 2.84914e+09 7.70316e+01 2.70636e+00 25 1.93663e+00 1.56353e-03 0.00000e+00
9.87158e-01 -2.68827e-03 -2.78850e-03 1.01646e+00 9.96608e-01 4.24400e-02 9.93385e-01 -6.68784e-04 -6.68106e-03 1.02599e+00 3.18147e+09 -1.10650e+08 -1.28104e+08 3.53878e+09 3.16979e+09 3.16128e+09 -1.33561e+08 3.63083e+09 2.71726e+09 7.57564e+01 2.52118e+00 26 2.04695e+00 1.47102e-03 0.00000e+00
9.88076e-01 -2.64583e-03 -2.73707e-03 1.01527e+00 9.96854e-01 4.22159e-02 9.93704e-01 -7.07929e-04 -6.67259e-03 1.02445e+00 2.94931e+09 -1.22290e+08 -1.38483e+08 3.36254e+09 2.97320e+09 2.93166e+09 -1.43957e+08 3.44485e+09 2.54308e+09 7.43911e+01 2.41821e+00 27 2.15733e+00 1.39034e-03 0.00000e+00
9.88925e-01 -2.60654e-03 -2.68855e-03 1.01410e+00 9.97145e-01 4.16733e-02 9.93903e-01 -7.47993e-04 -6.58330e-03 1.02287e+00 2.69067e+09 -1.27863e+08 -1.42593e+08 3.15713e+09 2.74927e+09 2.67520e+09 -1.47867e+08 3.22944e+09 2.34316e+09 7.28483e+01 2.45513e+00 28 2.26775e+00 1.30528e-03 0.00000e+00
9.89857e-01 -2.49879e-03 -2.56693e-03 1.01289e+00 9.97401e-01 4.02508e-02 9.94080e-01 -6.16142e-04 -6.38419e-03 1.02121e+00 2.40352e+09 -1.23155e+08 -1.36769e+08 2.93286e+09 2.50712e+09 2.39016e+09 -1.41150e+08 2.99513e+09 2.13608e+09 7.09651e+01 2.67860e+00 29 2.37818e+00 1.22246e-03 0.00000e+00
9.90725e-01 -2.33028e-03 -2.38244e-03 1.01181e+00 9.97584e-01 3.82679e-02 9.94060e-01 -3.83779e-04 -5.99292e-03 1.01965e+00 2.08557e+09 -1.06097e+08 -1.18472e+08 2.69211e+09 2.24947e+09 2.07390e+09 -1.21600e+08 2.74504e+09 1.92947e+09 6.84772e+01 3.08183e+00 30 2.48861e+00 1.15376e-03 0.00000e+00
9.91247e-01 -1.98629e-03 -2.01790e-03 1.01123e+00 9.97631e-01 3.51615e-02 9.93564e-01 1.43725e-04 -5.41268e-03 1.01846e+00 1.73490e+09 -7.94925e+07 -9.06402e+07 2.41707e+09 1.97202e+09 1.72423e+09 -9.20637e+07 2.46167e+09 1.73015e+09 6.49893e+01 3.55957e+00 31 2.59901e+00 1.11656e-03 0.00000e+00
9.90811e-01 -1.50664e-03 -1.52085e-03 1.01170e+00 9.97608e-01 2.99611e-02 9.92078e-01 7.40745e-04 -4.61807e-03 1.01801e+00 1.34910e+09 -5.18072e+07 -6.08275e+07 2.06295e+09 1.64981e+09 1.33869e+09 -6.09237e+07 2.10006e+09 1.51068e+09 6.00568e+01 3.95361e+00 32 2.70929e+00 1.13394e-03 0.00000e+00
