 velocity:0   velocity:1   PK1:0   PK1:1   PK1:2   PK1:3   epeq   F:0   F:1   F:2   F:3   vtkOriginalPointIds   Points:0   Points:1   Points:2 
-0.00000e+00 2.20701e+00 -7.28439e+09 -1.60310e+07 -1.55166e+07 -6.21302e+09 2.61615e-02 9.45714e+06 -0.00000e+00 -0.00000e+00 3.46011e+07 0 0.00000e+00 1.46679e-04 0.00000e+00
-3.26257e+00 1.53127e+00 -7.41073e+09 -3.46392e+07 -3.18687e+07 -6.38133e+09 2.53285e-02 9.46161e+06 -0.00000e+00 -0.00000e+00 3.45622e+07 1 9.56885e-01 1.08380e-04 0.00000e+00
-1.33878e+02 4.86989e-02 -3.93773e+08 -2.63166e+05 -2.62241e+05 -1.68413e+08 0.00000e+00 9.84754e+06 -0.00000e+00 -0.00000e+00 3.45168e+07 2 2.90224e+00 3.98433e-06 0.00000e+00
-7.28808e-01 2.13987e+00 -7.29074e+09 -1.12782e+07 -1.10319e+07 -6.21852e+09 2.61789e-02 9.45684e+06 -0.00000e+00 -0.00000e+00 3.46011e+07 9 1.04441e-01 1.68839e-04 0.00000e+00
-1.33828e+00 2.04132e+00 -7.30784e+09 -2.37547e+07 -2.15500e+07 -6.24240e+09 2.60012e-02 9.45798e+06 -0.00000e+00 -0.00000e+00 3.45938e+07 10 2.10047e-01 1.21602e-04 0.00000e+00
-1.64561e+00 2.00026e+00 -7.31223e+09 -2.20081e+07 -1.99710e+07 -6.24624e+09 2.60137e-02 9.45777e+06 -0.00000e+00 -0.00000e+00 3.45938e+07 11 3.17459e-01 1.65989e-04 0.00000e+00
-2.09407e+00 1.91218e+00 -7.33333e+09 -3.14239e+07 -2.85015e+07 -6.27588e+09 2.58184e-02 9.45901e+06 -0.00000e+00 -0.00000e+00 3.45854e+07 12 4.23096e-01 1.08934e-04 0.00000e+00
-2.31740e+00 1.87081e+00 -7.34026e+09 -2.97845e+07 -2.69948e+07 -6.28205e+09 2.58386e-02 9.45868e+06 -0.00000e+00 -0.00000e+00 3.45854e+07 13 5.30566e-01 1.50501e-04 0.00000e+00
-2.64619e+00 1.77209e+00 -7.36740e+09 -3.67439e+07 -3.35845e+07 -6.32152e+09 2.55912e-02 9.46025e+06 -0.00000e+00 -0.00000e+00 3.45748e+07 14 6.36189e-01 9.23041e-05 0.00000e+00
-2.80495e+00 1.72277e+00 -7.37581e+09 -3.45437e+07 -3.14761e+07 -6.32913e+09 2.56149e-02 9.45985e+06 -0.00000e+00 -0.00000e+00 3.45748e+07 15 7.43706e-01 1.31363e-04 0.00000e+00
-3.08926e+00 1.59914e+00 -7.40374e+09 -3.78404e+07 -3.50262e+07 -6.37472e+09 2.53112e-02 9.46193e+06 -0.00000e+00 -0.00000e+00 3.45622e+07 16 8.49324e-01 7.15995e-05 0.00000e+00
-3.78042e+00 1.35335e+00 -7.42264e+09 -3.32789e+07 -3.13015e+07 -6.41792e+09 2.49508e-02 9.46473e+06 -0.00000e+00 -0.00000e+00 3.45486e+07 17 1.06252e+00 4.77168e-05 0.00000e+00
-4.24057e+00 1.25986e+00 -7.41986e+09 -2.91162e+07 -2.71226e+07 -6.41623e+09 2.49347e-02 9.46491e+06 -0.00000e+00 -0.00000e+00 3.45486e+07 18 1.17013e+00 8.28862e-05 0.00000e+00
-5.72942e+00 1.00867e+00 -7.37344e+09 -2.37429e+07 -2.27316e+07 -6.40215e+09 2.44058e-02 9.47064e+06 -0.00000e+00 -0.00000e+00 3.45361e+07 19 1.27581e+00 2.38618e-05 0.00000e+00
-7.11711e+00 9.09085e-01 -7.34284e+09 -1.95147e+07 -1.84165e+07 -6.37590e+09 2.42960e-02 9.47223e+06 -0.00000e+00 -0.00000e+00 3.45361e+07 20 1.38350e+00 5.84447e-05 0.00000e+00
-1.09214e+01 6.18594e-01 -7.16500e+09 -1.32789e+07 -1.29558e+07 -6.23905e+09 2.34193e-02 9.48379e+06 -0.00000e+00 -0.00000e+00 3.45268e+07 21 1.48932e+00 4.78240e-06 0.00000e+00
-1.42353e+01 5.61311e-01 -7.07859e+09 -1.01372e+07 -9.66047e+06 -6.16278e+09 2.31188e-02 9.48823e+06 -0.00000e+00 -0.00000e+00 3.45268e+07 22 1.59715e+00 3.91707e-05 0.00000e+00
-2.19643e+01 2.90363e-01 -6.68581e+09 -5.90293e+06 -5.89581e+06 -5.82433e+09 2.16058e-02 9.50991e+06 -0.00000e+00 -0.00000e+00 3.45212e+07 23 1.70326e+00 -6.47914e-06 0.00000e+00
-2.81319e+01 3.11643e-01 -6.51458e+09 -4.19683e+06 -3.98687e+06 -5.67132e+09 2.10099e-02 9.51878e+06 -0.00000e+00 -0.00000e+00 3.45212e+07 24 1.81137e+00 2.63741e-05 0.00000e+00
