 Fp:0   Fp:1   Fp:2   Fp:3   Fp:4   Equivalent_Plastic_Strain   F:0   F:1   F:2   F:3   Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   p   sig:0   sig:1   sig:2   sig:3   velocity:0   velocity:1   vtkOriginalPointIds   Points:0   Points:1   Points:2 
9.75106e-01 3.01077e-04 3.00283e-04 1.01271e+00 1.01266e+00 2.52680e-02 9.59346e-01 -1.05719e-04 -1.35101e-04 1.00086e+00 -7.50154e+09 -6.91161e+07 -6.61649e+07 -6.49534e+09 -6.77405e+09 -7.19656e+09 -6.54287e+07 -6.50091e+09 -6.62467e+09 0.00000e+00 1.13555e+00 0 0.00000e+00 -1.08524e-04 0.00000e+00
9.19529e-01 -1.12653e-02 -1.17329e-02 1.08558e+00 1.00191e+00 1.00106e-01 9.12705e-01 -2.92048e-02 8.91767e-03 1.08939e+00 -1.87588e+09 -2.63514e+07 -7.30932e+07 -8.87283e+07 -9.10977e+08 -1.71277e+09 -2.48423e+07 -9.58899e+07 -9.24268e+08 -0.00000e+00 2.55741e+02 4 0.00000e+00 3.10776e+00 0.00000e+00
9.69769e-01 -5.67823e-04 -5.76533e-04 1.01925e+00 1.01170e+00 3.23303e-02 9.57376e-01 -1.01092e-03 -6.55306e-04 1.01144e+00 -5.94624e+09 -4.75511e+07 -4.78155e+07 -4.84228e+09 -5.36478e+09 -5.69275e+09 -4.23511e+07 -4.89761e+09 -5.50397e+09 -0.00000e+00 5.35423e+01 5 0.00000e+00 1.00482e+00 0.00000e+00
9.19591e-01 -1.16669e-02 -1.19753e-02 1.08529e+00 1.00212e+00 1.00335e-01 9.12695e-01 -2.92989e-02 8.46761e-03 1.08904e+00 -1.93243e+09 -1.37065e+07 -6.45128e+07 -1.33315e+08 -9.68619e+08 -1.76426e+09 -1.36387e+07 -1.44783e+08 -9.96810e+08 -0.00000e+00 2.51170e+02 84 0.00000e+00 2.98515e+00 0.00000e+00
9.20133e-01 -1.26472e-02 -1.30773e-02 1.08430e+00 1.00247e+00 1.00170e-01 9.13093e-01 -2.46985e-02 -1.61358e-04 1.08765e+00 -2.12693e+09 -9.34007e+07 -1.26664e+08 -3.08420e+08 -1.15054e+09 -1.94206e+09 -8.52338e+07 -3.33145e+08 -1.17640e+09 -0.00000e+00 2.45154e+02 85 0.00000e+00 2.86539e+00 0.00000e+00
9.20303e-01 -1.28930e-02 -1.32799e-02 1.08377e+00 1.00278e+00 1.00104e-01 9.13084e-01 -2.48828e-02 -3.91551e-04 1.08691e+00 -2.24703e+09 -8.98893e+07 -1.26807e+08 -4.10099e+08 -1.26618e+09 -2.05168e+09 -8.19159e+07 -4.43505e+08 -1.30336e+09 -0.00000e+00 2.35924e+02 86 0.00000e+00 2.74322e+00 0.00000e+00
9.28163e-01 -1.10239e-02 -1.14581e-02 1.07417e+00 1.00314e+00 8.99840e-02 9.21034e-01 -1.96313e-02 -3.15606e-03 1.07642e+00 -2.35591e+09 -1.29560e+08 -1.51942e+08 -6.41758e+08 -1.44703e+09 -2.16939e+09 -1.17304e+08 -6.88256e+08 -1.48345e+09 -0.00000e+00 2.26455e+02 87 0.00000e+00 2.62413e+00 0.00000e+00
9.28433e-01 -1.11389e-02 -1.15620e-02 1.07343e+00 1.00354e+00 8.94433e-02 9.21032e-01 -1.98766e-02 -3.07380e-03 1.07532e+00 -2.53166e+09 -1.27163e+08 -1.53430e+08 -7.98769e+08 -1.61668e+09 -2.33127e+09 -1.14666e+08 -8.56408e+08 -1.66236e+09 -0.00000e+00 2.13978e+02 88 0.00000e+00 2.50337e+00 0.00000e+00
9.37713e-01 -8.60758e-03 -8.97225e-03 1.06228e+00 1.00398e+00 7.73608e-02 9.30371e-01 -1.47754e-02 -3.69337e-03 1.06321e+00 -2.64735e+09 -1.38388e+08 -1.54179e+08 -1.06781e+09 -1.82272e+09 -2.46244e+09 -1.24808e+08 -1.13325e+09 -1.87246e+09 -0.00000e+00 2.02570e+02 89 0.00000e+00 2.38555e+00 0.00000e+00
9.38067e-01 -8.63919e-03 -9.00770e-03 1.06138e+00 1.00445e+00 7.66404e-02 9.30375e-01 -1.50456e-02 -3.41502e-03 1.06186e+00 -2.86510e+09 -1.35303e+08 -1.55068e+08 -1.26776e+09 -2.03349e+09 -2.66509e+09 -1.21553e+08 -1.34415e+09 -2.09123e+09 -0.00000e+00 1.88697e+02 90 0.00000e+00 2.26641e+00 0.00000e+00
9.46411e-01 -6.27370e-03 -6.54285e-03 1.05141e+00 1.00500e+00 6.57540e-02 9.38658e-01 -1.06693e-02 -3.26683e-03 1.05096e+00 -3.02104e+09 -1.33248e+08 -1.44814e+08 -1.56525e+09 -2.27304e+09 -2.83525e+09 -1.19961e+08 -1.64359e+09 -2.34028e+09 -0.00000e+00 1.76756e+02 91 0.00000e+00 2.14991e+00 0.00000e+00
9.46826e-01 -6.26794e-03 -6.54994e-03 1.05040e+00 1.00553e+00 6.49254e-02 9.38667e-01 -1.09421e-02 -2.90831e-03 1.04943e+00 -3.26780e+09 -1.28883e+08 -1.44371e+08 -1.79728e+09 -2.51306e+09 -3.06696e+09 -1.15751e+08 -1.88472e+09 -2.58751e+09 -0.00000e+00 1.62675e+02 92 0.00000e+00 2.03227e+00 0.00000e+00
9.53546e-01 -4.34867e-03 -4.52966e-03 1.04230e+00 1.00618e+00 5.60693e-02 9.45197e-01 -7.44621e-03 -2.58553e-03 1.04045e+00 -3.47210e+09 -1.21288e+08 -1.29765e+08 -2.12009e+09 -2.78791e+09 -3.28149e+09 -1.09160e+08 -2.20495e+09 -2.87729e+09 -0.00000e+00 1.50936e+02 93 0.00000e+00 1.91694e+00 0.00000e+00
9.54009e-01 -4.33474e-03 -4.53528e-03 1.04120e+00 1.00675e+00 5.51569e-02 9.45208e-01 -7.71397e-03 -2.21603e-03 1.03879e+00 -3.74184e+09 -1.15714e+08 -1.28000e+08 -2.37908e+09 -3.05136e+09 -3.53654e+09 -1.04102e+08 -2.47048e+09 -3.14707e+09 -0.00000e+00 1.37093e+02 94 0.00000e+00 1.80059e+00 0.00000e+00
9.59157e-01 -2.87605e-03 -2.98781e-03 1.03483e+00 1.00750e+00 4.82326e-02 9.50049e-01 -4.99872e-03 -1.93862e-03 1.03157e+00 -3.99448e+09 -1.05452e+08 -1.11348e+08 -2.72810e+09 -3.36163e+09 -3.79474e+09 -9.48958e+07 -2.81370e+09 -3.47644e+09 -0.00000e+00 1.25743e+02 95 0.00000e+00 1.68626e+00 0.00000e+00
9.59671e-01 -2.86504e-03 -3.00126e-03 1.03366e+00 1.00810e+00 4.72418e-02 9.50060e-01 -5.26241e-03 -1.59107e-03 1.02978e+00 -4.28789e+09 -9.97857e+07 -1.09314e+08 -3.01485e+09 -3.64840e+09 -4.07358e+09 -9.00055e+07 -3.10411e+09 -3.76750e+09 -0.00000e+00 1.12116e+02 96 0.00000e+00 1.57100e+00 0.00000e+00
9.63533e-01 -1.80008e-03 -1.86211e-03 1.02867e+00 1.00893e+00 4.18727e-02 9.53501e-01 -3.18387e-03 -1.39914e-03 1.02394e+00 -4.58846e+09 -8.69172e+07 -9.05693e+07 -3.39308e+09 -3.99380e+09 -4.37498e+09 -7.81283e+07 -3.47403e+09 -4.13239e+09 -0.00000e+00 1.01059e+02 97 0.00000e+00 1.45751e+00 0.00000e+00
9.64107e-01 -1.78428e-03 -1.87341e-03 1.02742e+00 1.00955e+00 4.07979e-02 9.53513e-01 -3.44496e-03 -1.08772e-03 1.02202e+00 -4.90761e+09 -8.39706e+07 -9.09366e+07 -3.70921e+09 -4.30415e+09 -4.67937e+09 -7.60325e+07 -3.79060e+09 -4.44248e+09 -0.00000e+00 8.75047e+01 98 0.00000e+00 1.34321e+00 0.00000e+00
9.66990e-01 -1.04901e-03 -1.07778e-03 1.02350e+00 1.01039e+00 3.66264e-02 9.55855e-01 -1.88292e-03 -9.70768e-04 1.01724e+00 -5.25168e+09 -6.70171e+07 -6.87697e+07 -4.11241e+09 -4.67704e+09 -5.01977e+09 -6.00665e+07 -4.18316e+09 -4.82818e+09 -0.00000e+00 7.67208e+01 99 0.00000e+00 1.23044e+00 0.00000e+00
9.67616e-01 -1.00146e-03 -1.05702e-03 1.02224e+00 1.01098e+00 3.55087e-02 9.55867e-01 -2.13126e-03 -7.01475e-04 1.01526e+00 -5.58637e+09 -7.11330e+07 -7.56264e+07 -4.44608e+09 -4.99817e+09 -5.33977e+09 -6.48748e+07 -4.51380e+09 -5.14093e+09 -0.00000e+00 6.35184e+01 100 0.00000e+00 1.11697e+00 0.00000e+00
9.70393e-01 -4.48594e-04 -4.80645e-04 1.01813e+00 1.01216e+00 3.13135e-02 9.57386e-01 -1.21893e-03 -4.27449e-04 1.00965e+00 -6.26000e+09 -6.31920e+07 -6.52963e+07 -5.15463e+09 -5.65798e+09 -5.99320e+09 -5.82957e+07 -5.20429e+09 -5.77644e+09 -0.00000e+00 4.18936e+01 101 0.00000e+00 8.92064e-01 0.00000e+00
9.71971e-01 -3.17103e-04 -3.16177e-04 1.01606e+00 1.01258e+00 2.90850e-02 9.58308e-01 -4.87353e-04 -4.49498e-04 1.00688e+00 -6.57532e+09 -2.80375e+07 -2.74200e+07 -5.48269e+09 -5.95580e+09 -6.30117e+09 -2.44041e+07 -5.52037e+09 -6.04588e+09 -0.00000e+00 3.38449e+01 102 0.00000e+00 7.80425e-01 0.00000e+00
9.72502e-01 -8.71361e-05 -1.03793e-04 1.01528e+00 1.01280e+00 2.83411e-02 9.58315e-01 -6.32902e-04 -2.59250e-04 1.00552e+00 -6.82270e+09 -5.96980e+07 -5.97118e+07 -5.73138e+09 -6.17841e+09 -6.53828e+09 -5.57236e+07 -5.76300e+09 -6.23395e+09 -0.00000e+00 2.51851e+01 103 0.00000e+00 6.68215e-01 0.00000e+00
9.73567e-01 -2.42496e-04 -2.39253e-04 1.01410e+00 1.01287e+00 2.69951e-02 9.58855e-01 -2.09629e-04 -3.22718e-04 1.00381e+00 -7.04157e+09 -6.46774e+06 -5.73388e+06 -5.95572e+09 -6.36889e+09 -6.75184e+09 -4.27960e+06 -5.97841e+09 -6.37641e+09 -0.00000e+00 1.96467e+01 104 0.00000e+00 5.56934e-01 0.00000e+00
