 velocity:0   velocity:1   PK1:0   PK1:1   PK1:2   PK1:3   epeq   F:0   F:1   F:2   F:3   vtkOriginalPointIds   Points:0   Points:1   Points:2 
0.00000e+00 8.20036e+00 -2.04377e+08 -1.17687e+07 -1.14481e+07 7.61983e+08 5.97082e-02 9.38223e+06 -0.00000e+00 -0.00000e+00 3.63114e+07 0 0.00000e+00 3.62572e-03 0.00000e+00
0.00000e+00 2.44439e+02 -1.59435e+09 -1.25908e+06 -3.28453e+07 8.06766e+07 9.87994e-02 9.00677e+06 -0.00000e+00 0.00000e+00 3.76245e+07 4 0.00000e+00 3.21824e+00 0.00000e+00
0.00000e+00 1.15548e+02 -5.61030e+08 -6.13239e+07 -5.92310e+07 5.49636e+08 6.74318e-02 9.30672e+06 -0.00000e+00 -0.00000e+00 3.65480e+07 5 0.00000e+00 1.05626e+00 0.00000e+00
0.00000e+00 2.44409e+02 -1.54301e+09 -4.68475e+06 -3.42001e+07 1.43713e+08 9.91488e-02 9.00677e+06 -0.00000e+00 0.00000e+00 3.76353e+07 84 0.00000e+00 3.09956e+00 0.00000e+00
0.00000e+00 2.42784e+02 -1.56542e+09 -6.36618e+07 -8.35095e+07 2.23455e+08 1.05938e-01 8.95851e+06 -0.00000e+00 0.00000e+00 3.78481e+07 85 0.00000e+00 2.97519e+00 0.00000e+00
0.00000e+00 2.41362e+02 -1.52085e+09 -6.41000e+07 -8.29115e+07 2.61156e+08 1.06319e-01 8.95850e+06 -0.00000e+00 0.00000e+00 3.78557e+07 86 0.00000e+00 2.85624e+00 0.00000e+00
0.00000e+00 2.36843e+02 -1.45510e+09 -1.07724e+08 -1.17325e+08 2.97494e+08 1.05840e-01 8.96745e+06 -0.00000e+00 0.00000e+00 3.78289e+07 87 0.00000e+00 2.73143e+00 0.00000e+00
-0.00000e+00 2.34010e+02 -1.42496e+09 -1.06286e+08 -1.15568e+08 3.22213e+08 1.06084e-01 8.96745e+06 -0.00000e+00 0.00000e+00 3.78338e+07 88 0.00000e+00 2.61263e+00 0.00000e+00
-0.00000e+00 2.26923e+02 -1.32932e+09 -1.30753e+08 -1.33666e+08 3.39350e+08 1.01645e-01 9.00707e+06 -0.00000e+00 -0.00000e+00 3.76777e+07 89 0.00000e+00 2.48821e+00 0.00000e+00
-0.00000e+00 2.22904e+02 -1.30810e+09 -1.28311e+08 -1.31274e+08 3.56022e+08 1.01788e-01 9.00707e+06 -0.00000e+00 -0.00000e+00 3.76808e+07 90 0.00000e+00 2.36980e+00 0.00000e+00
-0.00000e+00 2.13725e+02 -1.19916e+09 -1.36777e+08 -1.35992e+08 3.65187e+08 9.54502e-02 9.06133e+06 -0.00000e+00 -0.00000e+00 3.74649e+07 91 0.00000e+00 2.24615e+00 0.00000e+00
-0.00000e+00 2.08714e+02 -1.18318e+09 -1.33898e+08 -1.33324e+08 3.77158e+08 9.55384e-02 9.06133e+06 -0.00000e+00 -0.00000e+00 3.74671e+07 92 0.00000e+00 2.12824e+00 0.00000e+00
-0.00000e+00 1.97856e+02 -1.06955e+09 -1.30905e+08 -1.28442e+08 3.85993e+08 8.86284e-02 9.12002e+06 -0.00000e+00 -0.00000e+00 3.72357e+07 93 0.00000e+00 2.00554e+00 0.00000e+00
-0.00000e+00 1.92013e+02 -1.05571e+09 -1.28009e+08 -1.25782e+08 3.96067e+08 8.86914e-02 9.12002e+06 -0.00000e+00 -0.00000e+00 3.72375e+07 94 0.00000e+00 1.88815e+00 0.00000e+00
-0.00000e+00 1.79790e+02 -9.41261e+08 -1.17382e+08 -1.14427e+08 4.10275e+08 8.20433e-02 9.17673e+06 -0.00000e+00 -0.00000e+00 3.70179e+07 95 0.00000e+00 1.76639e+00 0.00000e+00
-0.00000e+00 1.73237e+02 -9.27126e+08 -1.14826e+08 -1.12047e+08 4.20760e+08 8.21014e-02 9.17672e+06 -0.00000e+00 -0.00000e+00 3.70199e+07 96 0.00000e+00 1.64950e+00 0.00000e+00
0.00000e+00 1.59874e+02 -8.13442e+08 -9.95378e+07 -9.66928e+07 4.44258e+08 7.61890e-02 9.22774e+06 -0.00000e+00 -0.00000e+00 3.68270e+07 97 0.00000e+00 1.52859e+00 0.00000e+00
0.00000e+00 1.52706e+02 -7.97527e+08 -9.76087e+07 -9.48413e+07 4.56674e+08 7.62541e-02 9.22774e+06 -0.00000e+00 -0.00000e+00 3.68296e+07 98 0.00000e+00 1.41214e+00 0.00000e+00
0.00000e+00 1.38375e+02 -6.85962e+08 -8.01165e+07 -7.76215e+07 4.91047e+08 7.13000e-02 9.27126e+06 -0.00000e+00 -0.00000e+00 3.66701e+07 99 0.00000e+00 1.29196e+00 0.00000e+00
0.00000e+00 1.30684e+02 -6.67979e+08 -7.89730e+07 -7.64566e+07 5.05828e+08 7.13766e-02 9.27126e+06 -0.00000e+00 -0.00000e+00 3.66733e+07 100 0.00000e+00 1.17586e+00 0.00000e+00
