 Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   Equivalent_Plastic_Strain   Displacements:0   Displacements:1   Displacements:2   vtkOriginalPointIds   Points:0   Points:1   Points:2 
-6.29103e+08 1.18066e+02 0.00000e+00 1.47929e+02 6.30024e+08 0.00000e+00 0.00000e+00 0.00000e+00 -2.20768e+08 7.22981e-02 0.00000e+00 0.00000e+00 0.00000e+00 0 0.00000e+00 0.00000e+00 0.00000e+00
-6.10898e+08 8.42453e+05 0.00000e+00 9.46762e+05 6.46520e+08 0.00000e+00 0.00000e+00 0.00000e+00 -2.09660e+08 7.24848e-02 -3.16516e-03 0.00000e+00 0.00000e+00 1 4.94664e-02 0.00000e+00 0.00000e+00
-5.57970e+08 3.72982e+05 0.00000e+00 4.22151e+05 6.91579e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.77503e+08 7.27467e-02 -6.31696e-03 0.00000e+00 0.00000e+00 40 9.89460e-02 0.00000e+00 0.00000e+00
-5.04370e+08 -3.63613e+05 0.00000e+00 -4.00218e+05 7.36089e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.41703e+08 7.28220e-02 -9.44486e-03 0.00000e+00 0.00000e+00 60 1.48450e-01 0.00000e+00 0.00000e+00
-4.73067e+08 -2.59526e+05 0.00000e+00 -2.79230e+05 7.59791e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.14447e+08 7.24617e-02 -1.25515e-02 0.00000e+00 0.00000e+00 80 1.97975e-01 0.00000e+00 0.00000e+00
-4.60581e+08 8.30747e+05 0.00000e+00 9.44597e+05 7.63745e+08 0.00000e+00 0.00000e+00 0.00000e+00 -9.84827e+07 7.16091e-02 -1.56374e-02 0.00000e+00 0.00000e+00 100 2.47521e-01 0.00000e+00 0.00000e+00
-4.51669e+08 2.53503e+05 0.00000e+00 3.06487e+05 7.65646e+08 0.00000e+00 0.00000e+00 0.00000e+00 -8.53070e+07 7.08528e-02 -1.87042e-02 0.00000e+00 0.00000e+00 120 2.97085e-01 0.00000e+00 0.00000e+00
-4.22739e+08 5.86411e+05 0.00000e+00 6.83136e+05 7.84373e+08 0.00000e+00 0.00000e+00 0.00000e+00 -6.39452e+07 7.02719e-02 -2.17448e-02 0.00000e+00 0.00000e+00 140 3.46676e-01 0.00000e+00 0.00000e+00
-3.63336e+08 4.30218e+05 0.00000e+00 5.19125e+05 8.25159e+08 0.00000e+00 0.00000e+00 0.00000e+00 -2.84487e+07 6.95602e-02 -2.47513e-02 0.00000e+00 0.00000e+00 160 3.96302e-01 0.00000e+00 0.00000e+00
-2.62818e+08 -6.45971e+04 0.00000e+00 -1.33263e+04 8.95426e+08 0.00000e+00 0.00000e+00 0.00000e+00 2.59883e+07 6.87197e-02 -2.77133e-02 0.00000e+00 0.00000e+00 180 4.45971e-01 0.00000e+00 0.00000e+00
-1.45510e+08 -5.91475e+05 0.00000e+00 -5.77876e+05 9.77902e+08 0.00000e+00 0.00000e+00 0.00000e+00 9.04847e+07 6.78353e-02 -3.06186e-02 0.00000e+00 0.00000e+00 200 4.95697e-01 0.00000e+00 0.00000e+00
3.37005e+07 -1.35578e+06 0.00000e+00 -1.39678e+06 1.10146e+09 0.00000e+00 0.00000e+00 0.00000e+00 1.83185e+08 6.68324e-02 -3.34682e-02 0.00000e+00 0.00000e+00 220 5.45479e-01 0.00000e+00 0.00000e+00
2.15445e+08 -2.11940e+06 0.00000e+00 -2.20459e+06 1.22649e+09 0.00000e+00 0.00000e+00 0.00000e+00 2.80641e+08 6.57957e-02 -3.62317e-02 0.00000e+00 0.00000e+00 240 5.95347e-01 0.00000e+00 0.00000e+00
4.54580e+08 -2.14978e+06 0.00000e+00 -2.19929e+06 1.38244e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.04449e+08 6.47074e-02 -3.89334e-02 0.00000e+00 0.00000e+00 260 6.45278e-01 0.00000e+00 0.00000e+00
7.09744e+08 -2.19469e+06 0.00000e+00 -2.20642e+06 1.54928e+09 0.00000e+00 0.00000e+00 0.00000e+00 5.41049e+08 6.36159e-02 -4.15246e-02 0.00000e+00 0.00000e+00 280 6.95317e-01 0.00000e+00 0.00000e+00
1.00234e+09 -6.09291e+05 0.00000e+00 -4.52561e+05 1.72859e+09 0.00000e+00 0.00000e+00 0.00000e+00 7.01184e+08 6.25349e-02 -4.40452e-02 0.00000e+00 0.00000e+00 300 7.45429e-01 0.00000e+00 0.00000e+00
1.39298e+09 4.99179e+05 0.00000e+00 7.76104e+05 1.95325e+09 0.00000e+00 0.00000e+00 0.00000e+00 9.06463e+08 6.13991e-02 -4.64370e-02 0.00000e+00 0.00000e+00 320 7.95668e-01 0.00000e+00 0.00000e+00
1.74336e+09 1.16263e+06 0.00000e+00 1.51511e+06 2.15880e+09 0.00000e+00 0.00000e+00 0.00000e+00 1.11984e+09 6.04072e-02 -4.87161e-02 0.00000e+00 0.00000e+00 340 8.46021e-01 0.00000e+00 0.00000e+00
2.20123e+09 2.53448e+06 0.00000e+00 2.98738e+06 2.40354e+09 0.00000e+00 0.00000e+00 0.00000e+00 1.40411e+09 5.95225e-02 -5.08793e-02 0.00000e+00 0.00000e+00 360 8.96489e-01 0.00000e+00 0.00000e+00
