 Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   Equivalent_Plastic_Strain   Displacements:0   Displacements:1   Displacements:2   vtkOriginalPointIds   Points:0   Points:1   Points:2 
-7.55125e+09 2.08190e-01 0.00000e+00 2.06732e-01 -6.96826e+09 0.00000e+00 0.00000e+00 0.00000e+00 -7.01152e+09 2.74981e-02 0.00000e+00 0.00000e+00 0.00000e+00 0 0.00000e+00 0.00000e+00 0.00000e+00
-7.54266e+09 -1.54301e+05 0.00000e+00 -1.47231e+05 -6.94750e+09 0.00000e+00 0.00000e+00 0.00000e+00 -7.00298e+09 2.74981e-02 0.00000e+00 1.41606e-05 0.00000e+00 3 0.00000e+00 5.26458e-02 0.00000e+00
-7.51741e+09 -3.75380e+05 0.00000e+00 -3.58359e+05 -6.88595e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.97770e+09 2.74981e-02 0.00000e+00 3.63223e-05 0.00000e+00 5 0.00000e+00 1.05299e-01 0.00000e+00
-7.47868e+09 -7.09258e+05 0.00000e+00 -6.77626e+05 -6.78972e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.93837e+09 2.74981e-02 0.00000e+00 7.42639e-05 0.00000e+00 7 0.00000e+00 1.57969e-01 0.00000e+00
-7.43537e+09 -1.15293e+06 0.00000e+00 -1.10250e+06 -6.67772e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.89307e+09 2.74981e-02 0.00000e+00 1.33783e-04 0.00000e+00 9 0.00000e+00 2.10660e-01 0.00000e+00
-7.40155e+09 -1.63508e+06 0.00000e+00 -1.56475e+06 -6.58117e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.85499e+09 2.74981e-02 0.00000e+00 2.15580e-04 0.00000e+00 11 0.00000e+00 2.63374e-01 0.00000e+00
-7.38845e+09 -2.04339e+06 0.00000e+00 -1.95627e+06 -6.52598e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.83498e+09 2.74981e-02 0.00000e+00 3.13606e-04 0.00000e+00 13 0.00000e+00 3.16103e-01 0.00000e+00
-7.39306e+09 -2.31276e+06 0.00000e+00 -2.21435e+06 -6.50673e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.83058e+09 2.74981e-02 0.00000e+00 4.18588e-04 0.00000e+00 15 0.00000e+00 3.68840e-01 0.00000e+00
-7.39701e+09 -2.50769e+06 0.00000e+00 -2.40127e+06 -6.48297e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.82467e+09 2.74981e-02 0.00000e+00 5.26404e-04 0.00000e+00 17 0.00000e+00 4.21579e-01 0.00000e+00
-7.38477e+09 -2.76902e+06 0.00000e+00 -2.65268e+06 -6.41916e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.80232e+09 2.74981e-02 0.00000e+00 6.43157e-04 0.00000e+00 19 0.00000e+00 4.74327e-01 0.00000e+00
-7.36333e+09 -3.10387e+06 0.00000e+00 -2.97537e+06 -6.33024e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.76994e+09 2.74981e-02 0.00000e+00 7.78364e-04 0.00000e+00 21 0.00000e+00 5.27094e-01 0.00000e+00
-7.35236e+09 -3.01319e+06 0.00000e+00 -2.88965e+06 -6.26423e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.74716e+09 2.75023e-02 0.00000e+00 9.32506e-04 0.00000e+00 23 0.00000e+00 5.79880e-01 0.00000e+00
-7.33770e+09 2.15325e+05 0.00000e+00 2.10161e+05 -6.23355e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.73133e+09 2.76037e-02 0.00000e+00 1.09678e-03 0.00000e+00 25 0.00000e+00 6.32676e-01 0.00000e+00
-7.28531e+09 1.06039e+07 0.00000e+00 1.01295e+07 -6.18002e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.69259e+09 2.78641e-02 0.00000e+00 1.27159e-03 0.00000e+00 27 0.00000e+00 6.85483e-01 0.00000e+00
-7.18821e+09 2.36597e+07 0.00000e+00 2.23727e+07 -6.07911e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.61467e+09 2.84344e-02 0.00000e+00 1.47453e-03 0.00000e+00 29 0.00000e+00 7.38317e-01 0.00000e+00
-7.01023e+09 1.65474e+07 0.00000e+00 1.51154e+07 -5.89575e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.46915e+09 2.93441e-02 0.00000e+00 1.72978e-03 0.00000e+00 31 0.00000e+00 7.91204e-01 0.00000e+00
-6.71427e+09 2.22301e+06 0.00000e+00 1.03122e+06 -5.60163e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.22957e+09 3.05296e-02 0.00000e+00 2.06762e-03 0.00000e+00 33 0.00000e+00 8.44173e-01 0.00000e+00
-6.38653e+09 -6.68959e+06 0.00000e+00 -7.34148e+06 -5.27374e+09 0.00000e+00 0.00000e+00 0.00000e+00 -5.94800e+09 3.19302e-02 0.00000e+00 2.51322e-03 0.00000e+00 35 0.00000e+00 8.97250e-01 0.00000e+00
-6.10427e+09 -1.00239e+07 0.00000e+00 -1.02107e+07 -4.98609e+09 0.00000e+00 0.00000e+00 0.00000e+00 -5.68950e+09 3.32471e-02 0.00000e+00 3.07144e-03 0.00000e+00 37 0.00000e+00 9.50439e-01 0.00000e+00
-5.90774e+09 -8.06302e+06 0.00000e+00 -8.24208e+06 -4.78348e+09 0.00000e+00 0.00000e+00 0.00000e+00 -5.50300e+09 3.42082e-02 0.00000e+00 3.71982e-03 0.00000e+00 39 0.00000e+00 1.00372e+00 0.00000e+00
-5.78014e+09 1.89331e+06 0.00000e+00 1.68086e+06 -4.64612e+09 0.00000e+00 0.00000e+00 0.00000e+00 -5.37182e+09 3.49819e-02 0.00000e+00 4.42483e-03 0.00000e+00 2643 0.00000e+00 1.05705e+00 0.00000e+00
-5.62260e+09 -3.88484e+06 0.00000e+00 -3.95195e+06 -4.47649e+09 0.00000e+00 0.00000e+00 0.00000e+00 -5.20875e+09 3.59632e-02 0.00000e+00 5.18539e-03 0.00000e+00 2645 0.00000e+00 1.11045e+00 0.00000e+00
-5.37516e+09 -1.02504e+07 0.00000e+00 -1.00483e+07 -4.22245e+09 0.00000e+00 0.00000e+00 0.00000e+00 -4.97403e+09 3.72632e-02 0.00000e+00 6.03187e-03 0.00000e+00 2647 0.00000e+00 1.16392e+00 0.00000e+00
-5.14971e+09 -1.10333e+07 0.00000e+00 -1.07483e+07 -3.98877e+09 0.00000e+00 0.00000e+00 0.00000e+00 -4.75467e+09 3.85029e-02 0.00000e+00 6.98718e-03 0.00000e+00 2649 0.00000e+00 1.21752e+00 0.00000e+00
-5.04996e+09 -7.28512e+06 0.00000e+00 -6.92653e+06 -3.86852e+09 0.00000e+00 0.00000e+00 0.00000e+00 -4.62738e+09 3.94901e-02 0.00000e+00 8.01789e-03 0.00000e+00 2651 0.00000e+00 1.27118e+00 0.00000e+00
-4.92834e+09 -8.47762e+06 0.00000e+00 -8.01156e+06 -3.72956e+09 0.00000e+00 0.00000e+00 0.00000e+00 -4.48585e+09 4.05713e-02 0.00000e+00 9.10405e-03 0.00000e+00 2653 0.00000e+00 1.32489e+00 0.00000e+00
-4.71206e+09 -7.47715e+06 0.00000e+00 -6.97088e+06 -3.50470e+09 0.00000e+00 0.00000e+00 0.00000e+00 -4.27636e+09 4.19503e-02 0.00000e+00 1.02796e-02 0.00000e+00 2655 0.00000e+00 1.37870e+00 0.00000e+00
-4.55532e+09 -4.65923e+06 0.00000e+00 -4.11861e+06 -3.32944e+09 0.00000e+00 0.00000e+00 0.00000e+00 -4.10258e+09 4.33585e-02 0.00000e+00 1.15630e-02 0.00000e+00 2657 0.00000e+00 1.43261e+00 0.00000e+00
-4.46721e+09 -2.58194e+06 0.00000e+00 -1.90570e+06 -3.21614e+09 0.00000e+00 0.00000e+00 0.00000e+00 -3.97756e+09 4.46790e-02 0.00000e+00 1.29260e-02 0.00000e+00 2659 0.00000e+00 1.48661e+00 0.00000e+00
-4.31960e+09 -5.86175e+06 0.00000e+00 -5.15365e+06 -3.05129e+09 0.00000e+00 0.00000e+00 0.00000e+00 -3.81728e+09 4.61921e-02 0.00000e+00 1.43726e-02 0.00000e+00 2661 0.00000e+00 1.54069e+00 0.00000e+00
-4.16081e+09 -7.73497e+06 0.00000e+00 -7.07985e+06 -2.87485e+09 0.00000e+00 0.00000e+00 0.00000e+00 -3.64681e+09 4.78363e-02 0.00000e+00 1.59309e-02 0.00000e+00 2663 0.00000e+00 1.59488e+00 0.00000e+00
-4.07488e+09 -4.22933e+06 0.00000e+00 -3.42516e+06 -2.76237e+09 0.00000e+00 0.00000e+00 0.00000e+00 -3.52512e+09 4.94658e-02 0.00000e+00 1.75898e-02 0.00000e+00 2665 0.00000e+00 1.64917e+00 0.00000e+00
