 Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   Equivalent_Plastic_Strain   Displacements:0   Displacements:1   Displacements:2   vtkOriginalPointIds   Points:0   Points:1   Points:2 
-7.31916e+09 1.43341e+01 0.00000e+00 1.42346e+01 -6.74330e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.83746e+09 2.70742e-02 0.00000e+00 0.00000e+00 0.00000e+00 0 0.00000e+00 0.00000e+00 0.00000e+00
-7.57386e+09 -1.19412e+06 0.00000e+00 -1.36037e+06 -6.96890e+09 0.00000e+00 0.00000e+00 0.00000e+00 -7.06082e+09 2.79285e-02 -4.54817e-03 0.00000e+00 0.00000e+00 1 1.06563e-01 0.00000e+00 0.00000e+00
-7.39512e+09 -2.28169e+06 0.00000e+00 -2.60002e+06 -7.00588e+09 0.00000e+00 0.00000e+00 0.00000e+00 -7.09087e+09 2.99368e-02 -9.38400e-03 0.00000e+00 0.00000e+00 20 2.12838e-01 0.00000e+00 0.00000e+00
-7.61925e+09 -3.04720e+06 0.00000e+00 -3.47898e+06 -7.11303e+09 0.00000e+00 0.00000e+00 0.00000e+00 -7.18740e+09 3.19753e-02 -1.38790e-02 0.00000e+00 0.00000e+00 30 3.19454e-01 0.00000e+00 0.00000e+00
-7.44416e+09 -3.40636e+06 0.00000e+00 -3.88623e+06 -7.09556e+09 0.00000e+00 0.00000e+00 0.00000e+00 -7.15665e+09 3.32025e-02 -1.88756e-02 0.00000e+00 0.00000e+00 40 4.25568e-01 0.00000e+00 0.00000e+00
-7.49757e+09 -2.23819e+06 0.00000e+00 -2.55640e+06 -7.12449e+09 0.00000e+00 0.00000e+00 0.00000e+00 -7.17095e+09 3.26002e-02 -2.32619e-02 0.00000e+00 0.00000e+00 50 5.32294e-01 0.00000e+00 0.00000e+00
-7.49208e+09 -2.70973e+06 0.00000e+00 -3.09961e+06 -7.15830e+09 0.00000e+00 0.00000e+00 0.00000e+00 -7.19124e+09 3.08909e-02 -2.82790e-02 0.00000e+00 0.00000e+00 60 6.38388e-01 0.00000e+00 0.00000e+00
-7.47515e+09 -2.68876e+06 0.00000e+00 -3.07188e+06 -7.14393e+09 0.00000e+00 0.00000e+00 0.00000e+00 -7.16862e+09 2.92388e-02 -3.26685e-02 0.00000e+00 0.00000e+00 70 7.45109e-01 0.00000e+00 0.00000e+00
-7.55794e+09 -1.13057e+06 0.00000e+00 -1.29135e+06 -7.10971e+09 0.00000e+00 0.00000e+00 0.00000e+00 -7.12830e+09 2.82412e-02 -3.76521e-02 0.00000e+00 0.00000e+00 80 8.51237e-01 0.00000e+00 0.00000e+00
-7.41399e+09 -1.60641e+06 0.00000e+00 -1.82855e+06 -6.95255e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.96546e+09 2.74753e-02 -4.20354e-02 0.00000e+00 0.00000e+00 90 9.57965e-01 0.00000e+00 0.00000e+00
-7.69427e+09 -1.00969e+06 0.00000e+00 -1.14806e+06 -6.91773e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.92714e+09 2.63962e-02 -4.68199e-02 0.00000e+00 0.00000e+00 100 1.06429e+00 0.00000e+00 0.00000e+00
-7.28841e+09 -6.95568e+05 0.00000e+00 -7.88342e+05 -6.75853e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.76455e+09 2.63838e-02 -5.12809e-02 0.00000e+00 0.00000e+00 110 1.17094e+00 0.00000e+00 0.00000e+00
-7.61236e+09 -4.92349e+05 0.00000e+00 -5.59893e+05 -6.93742e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.94108e+09 2.67096e-02 -5.57626e-02 0.00000e+00 0.00000e+00 120 1.27757e+00 0.00000e+00 0.00000e+00
-7.48047e+09 -3.00628e+05 0.00000e+00 -3.41502e+05 -6.88421e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.88628e+09 2.66917e-02 -6.05001e-02 0.00000e+00 0.00000e+00 130 1.38394e+00 0.00000e+00 0.00000e+00
-7.62274e+09 -1.81153e+05 0.00000e+00 -2.06145e+05 -6.96354e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.96464e+09 2.68424e-02 -6.48810e-02 0.00000e+00 0.00000e+00 140 1.49068e+00 0.00000e+00 0.00000e+00
-7.49251e+09 -9.28049e+04 0.00000e+00 -1.05502e+05 -6.90305e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.90358e+09 2.67791e-02 -6.97402e-02 0.00000e+00 0.00000e+00 150 1.59693e+00 0.00000e+00 0.00000e+00
-7.46444e+09 -5.10765e+04 0.00000e+00 -5.82983e+04 -6.87859e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.87882e+09 2.66819e-02 -7.40163e-02 0.00000e+00 0.00000e+00 160 1.70376e+00 0.00000e+00 0.00000e+00
-7.48658e+09 -2.06070e+04 0.00000e+00 -2.35459e+04 -6.89499e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.89508e+09 2.67336e-02 -7.88433e-02 0.00000e+00 0.00000e+00 170 1.81005e+00 0.00000e+00 0.00000e+00
-7.38619e+09 -8.22372e+03 0.00000e+00 -9.39987e+03 -6.80657e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.80660e+09 2.63897e-02 -8.31420e-02 0.00000e+00 0.00000e+00 180 1.91686e+00 0.00000e+00 0.00000e+00
-7.44320e+09 -2.71265e+03 0.00000e+00 -3.10378e+03 -6.78706e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.78707e+09 2.60891e-02 -8.78546e-02 0.00000e+00 0.00000e+00 190 2.02326e+00 0.00000e+00 0.00000e+00
-7.32808e+09 -4.05564e+02 0.00000e+00 -4.78404e+02 -6.68538e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.68538e+09 2.56942e-02 -9.21598e-02 0.00000e+00 0.00000e+00 200 2.13006e+00 0.00000e+00 0.00000e+00
-6.21501e+09 -2.09964e+01 0.00000e+00 -2.63321e+01 -5.39909e+09 0.00000e+00 0.00000e+00 0.00000e+00 -5.39909e+09 1.98023e-02 -9.67408e-02 0.00000e+00 0.00000e+00 210 2.23659e+00 0.00000e+00 0.00000e+00
-3.32831e+09 -2.80881e+00 0.00000e+00 -3.14724e+00 -2.76488e+09 0.00000e+00 0.00000e+00 0.00000e+00 -2.76488e+09 9.57237e-03 -9.94926e-02 0.00000e+00 0.00000e+00 220 2.34495e+00 0.00000e+00 0.00000e+00
-1.50672e+09 -1.75398e+00 0.00000e+00 -1.81079e+00 -1.06476e+09 0.00000e+00 0.00000e+00 0.00000e+00 -1.06476e+09 2.96995e-03 -1.00607e-01 0.00000e+00 0.00000e+00 230 2.45495e+00 0.00000e+00 0.00000e+00
-8.90827e+08 -1.66742e+00 0.00000e+00 -1.68631e+00 -4.80445e+08 0.00000e+00 0.00000e+00 0.00000e+00 -4.80445e+08 7.00756e-04 -1.01097e-01 0.00000e+00 0.00000e+00 240 2.56557e+00 0.00000e+00 0.00000e+00
-7.25988e+08 -8.69809e-01 0.00000e+00 -8.76047e-01 -3.27647e+08 0.00000e+00 0.00000e+00 0.00000e+00 -3.27647e+08 1.21594e-04 -1.01427e-01 0.00000e+00 0.00000e+00 250 2.67635e+00 0.00000e+00 0.00000e+00
-5.13639e+08 -2.69694e-01 0.00000e+00 -2.70978e-01 -2.19666e+08 0.00000e+00 0.00000e+00 0.00000e+00 -2.19666e+08 0.00000e+00 -1.01709e-01 0.00000e+00 0.00000e+00 260 2.78718e+00 0.00000e+00 0.00000e+00
-3.42638e+08 -1.18831e-01 0.00000e+00 -1.19209e-01 -1.46658e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.46658e+08 0.00000e+00 -1.01850e-01 0.00000e+00 0.00000e+00 270 2.89815e+00 0.00000e+00 0.00000e+00
