 Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   Deformation_Gradient:0   Deformation_Gradient:1   Deformation_Gradient:2   Deformation_Gradient:3   Deformation_Gradient:4   Deformation_Gradient:5   Deformation_Gradient:6   Deformation_Gradient:7   Deformation_Gradient:8   Equivalent_Plastic_Strain   Displacements:0   Displacements:1   Displacements:2   J   p   vtkOriginalPointIds   Points:0   Points:1   Points:2 
-5.99032e+08 -2.35772e+03 0.00000e+00 -2.60528e+03 6.38014e+08 0.00000e+00 0.00000e+00 0.00000e+00 -2.06558e+08 9.41226e-01 -1.32137e-18 0.00000e+00 1.57342e-18 1.06225e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 7.07034e-02 0.00000e+00 0.00000e+00 0.00000e+00 9.99817e-01 -3.08897e+07 0 0.00000e+00 0.00000e+00 0.00000e+00
-5.95716e+08 -9.09581e+05 0.00000e+00 -9.68513e+05 6.45424e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.96706e+08 9.41262e-01 -8.44949e-05 0.00000e+00 1.11374e-18 1.06225e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 7.10030e-02 -6.53048e-03 0.00000e+00 0.00000e+00 9.99856e-01 -2.39465e+07 1 1.04581e-01 0.00000e+00 0.00000e+00
-4.30229e+08 -1.00482e+06 0.00000e+00 -9.85373e+05 7.88153e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.00677e+08 9.41940e-01 -1.76971e-04 0.00000e+00 4.92603e-20 1.06234e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 7.23184e-02 -1.30529e-02 0.00000e+00 0.00000e+00 1.00066e+00 1.10380e+08 20 2.09169e-01 0.00000e+00 0.00000e+00
-3.87510e+08 -6.33214e+06 0.00000e+00 -6.86379e+06 8.45400e+08 0.00000e+00 0.00000e+00 0.00000e+00 -6.01648e+07 9.42209e-01 -3.06749e-04 0.00000e+00 -5.30243e-19 1.06234e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 7.43048e-02 -1.94327e-02 0.00000e+00 0.00000e+00 1.00095e+00 1.57459e+08 30 3.13900e-01 0.00000e+00 0.00000e+00
-1.79511e+08 -2.27399e+05 0.00000e+00 -5.34829e+04 1.00339e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.52168e+07 9.43241e-01 -1.94322e-04 0.00000e+00 -5.01444e-19 1.06217e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 7.50512e-02 -2.58952e-02 0.00000e+00 0.00000e+00 1.00188e+00 3.13299e+08 40 4.18549e-01 0.00000e+00 0.00000e+00
1.76411e+07 -1.16750e+07 0.00000e+00 -1.27276e+07 1.14470e+09 0.00000e+00 0.00000e+00 0.00000e+00 1.51509e+08 9.44683e-01 -3.22746e-04 0.00000e+00 -5.82759e-19 1.06149e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 7.38936e-02 -3.20458e-02 0.00000e+00 0.00000e+00 1.00277e+00 4.59814e+08 50 5.23510e-01 0.00000e+00 0.00000e+00
5.75508e+08 -1.22134e+06 0.00000e+00 -1.26893e+06 1.45435e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.16228e+08 9.47899e-01 -7.05431e-05 0.00000e+00 -1.24683e-18 1.06027e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 7.06790e-02 -3.81879e-02 0.00000e+00 0.00000e+00 1.00503e+00 8.30409e+08 60 6.28479e-01 0.00000e+00 0.00000e+00
1.01095e+09 -8.76216e+06 0.00000e+00 -9.58228e+06 1.74164e+09 0.00000e+00 0.00000e+00 0.00000e+00 6.71796e+08 9.51300e-01 -9.11436e-05 0.00000e+00 -7.31836e-19 1.05853e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 6.68065e-02 -4.36238e-02 0.00000e+00 0.00000e+00 1.00698e+00 1.15100e+09 70 7.34154e-01 0.00000e+00 0.00000e+00
1.48026e+09 5.69180e+06 0.00000e+00 5.83025e+06 1.98527e+09 0.00000e+00 0.00000e+00 0.00000e+00 9.70401e+08 9.55701e-01 2.18589e-04 0.00000e+00 4.33681e-19 1.05579e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 6.30865e-02 -4.90100e-02 0.00000e+00 0.00000e+00 1.00902e+00 1.48035e+09 80 8.39879e-01 0.00000e+00 0.00000e+00
2.63940e+09 9.75951e+06 0.00000e+00 9.76662e+06 2.65263e+09 0.00000e+00 0.00000e+00 0.00000e+00 1.70214e+09 9.62990e-01 3.26601e-04 0.00000e+00 3.27971e-18 1.05316e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 5.95432e-02 -5.34679e-02 0.00000e+00 0.00000e+00 1.01418e+00 2.31303e+09 90 9.46532e-01 0.00000e+00 0.00000e+00
3.74462e+09 3.24929e+06 0.00000e+00 2.74317e+06 3.34051e+09 0.00000e+00 0.00000e+00 0.00000e+00 2.63263e+09 9.71097e-01 2.27084e-04 0.00000e+00 4.06576e-19 1.05012e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 5.71539e-02 -5.72344e-02 0.00000e+00 0.00000e+00 1.01977e+00 3.19581e+09 100 1.05388e+00 0.00000e+00 0.00000e+00
4.80695e+09 9.89243e+06 0.00000e+00 9.65100e+06 4.10595e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.61135e+09 9.79086e-01 2.23165e-04 0.00000e+00 -8.13152e-20 1.04747e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 5.60458e-02 -5.98909e-02 0.00000e+00 0.00000e+00 1.02556e+00 4.10137e+09 110 1.16233e+00 0.00000e+00 0.00000e+00
5.29654e+09 -2.41039e+06 0.00000e+00 -2.49798e+06 4.67944e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.19792e+09 9.84589e-01 -1.16909e-05 0.00000e+00 -1.24683e-18 1.04513e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 5.50351e-02 -6.18819e-02 0.00000e+00 0.00000e+00 1.02902e+00 4.63334e+09 120 1.27145e+00 0.00000e+00 0.00000e+00
4.99202e+09 -1.59011e+06 0.00000e+00 -1.19410e+06 4.86706e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.25924e+09 9.86754e-01 -9.86479e-05 0.00000e+00 -2.11419e-18 1.04274e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 5.38090e-02 -6.33155e-02 0.00000e+00 0.00000e+00 1.02893e+00 4.61976e+09 130 1.38112e+00 0.00000e+00 0.00000e+00
4.66549e+09 -9.67506e+06 0.00000e+00 -8.56229e+06 4.93686e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.15166e+09 9.87987e-01 -3.26123e-04 0.00000e+00 3.52366e-18 1.04069e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 5.24889e-02 -6.48255e-02 0.00000e+00 0.00000e+00 1.02819e+00 4.50593e+09 140 1.49073e+00 0.00000e+00 0.00000e+00
4.68043e+09 5.49940e+06 0.00000e+00 6.97857e+06 5.05182e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.19626e+09 9.90459e-01 -2.37078e-04 0.00000e+00 -9.21572e-19 1.03846e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 5.17628e-02 -6.59851e-02 0.00000e+00 0.00000e+00 1.02855e+00 4.56245e+09 150 1.60068e+00 0.00000e+00 0.00000e+00
4.38278e+09 -6.25802e+06 0.00000e+00 -4.08527e+06 4.91279e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.07047e+09 9.92038e-01 -4.94348e-04 0.00000e+00 2.11419e-18 1.03563e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 5.13548e-02 -6.69458e-02 0.00000e+00 0.00000e+00 1.02738e+00 4.38206e+09 160 1.71083e+00 0.00000e+00 0.00000e+00
4.24297e+09 -7.57984e+06 0.00000e+00 -4.58071e+06 4.85184e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.02076e+09 9.93985e-01 -6.75006e-04 0.00000e+00 2.08709e-18 1.03307e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 5.08468e-02 -6.77545e-02 0.00000e+00 0.00000e+00 1.02686e+00 4.30132e+09 170 1.82114e+00 0.00000e+00 0.00000e+00
4.04770e+09 -2.69578e+06 0.00000e+00 1.39683e+06 4.71980e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.91034e+09 9.95510e-01 -8.83223e-04 0.00000e+00 6.23416e-19 1.03056e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 5.03916e-02 -6.82825e-02 0.00000e+00 0.00000e+00 1.02593e+00 4.16008e+09 180 1.93172e+00 0.00000e+00 0.00000e+00
3.72821e+09 -7.50337e+06 0.00000e+00 -2.61095e+06 4.44926e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.63224e+09 9.96523e-01 -1.14975e-03 0.00000e+00 2.87314e-18 1.02770e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 5.00244e-02 -6.87523e-02 0.00000e+00 0.00000e+00 1.02413e+00 3.87973e+09 190 2.04236e+00 0.00000e+00 0.00000e+00
3.39668e+09 -2.56372e+07 0.00000e+00 -2.04929e+07 4.12255e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.26970e+09 9.97392e-01 -1.41758e-03 0.00000e+00 -6.77626e-19 1.02467e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 5.01589e-02 -6.90551e-02 0.00000e+00 0.00000e+00 1.02200e+00 3.54919e+09 200 2.15316e+00 0.00000e+00 0.00000e+00
3.05079e+09 -5.25504e+07 0.00000e+00 -4.72753e+07 3.79297e+09 0.00000e+00 0.00000e+00 0.00000e+00 2.92716e+09 9.97378e-01 -1.73880e-03 0.00000e+00 -1.42302e-18 1.02257e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 5.03309e-02 -6.93319e-02 0.00000e+00 0.00000e+00 1.01989e+00 3.21885e+09 210 2.26400e+00 0.00000e+00 0.00000e+00
2.54621e+09 -5.90046e+07 0.00000e+00 -5.47383e+07 3.36634e+09 0.00000e+00 0.00000e+00 0.00000e+00 2.56213e+09 9.96145e-01 -1.69936e-03 0.00000e+00 1.80249e-18 1.02116e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 5.06378e-02 -6.96377e-02 0.00000e+00 0.00000e+00 1.01722e+00 2.79722e+09 220 2.37480e+00 0.00000e+00 0.00000e+00
2.10572e+09 -4.49605e+07 0.00000e+00 -4.17574e+07 3.00350e+09 0.00000e+00 0.00000e+00 0.00000e+00 2.26516e+09 9.95167e-01 -1.42888e-03 0.00000e+00 -9.21572e-19 1.01989e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 4.97912e-02 -7.01886e-02 0.00000e+00 0.00000e+00 1.01496e+00 2.43819e+09 230 2.48537e+00 0.00000e+00 0.00000e+00
1.58124e+09 -2.05085e+07 0.00000e+00 -1.83515e+07 2.52435e+09 0.00000e+00 0.00000e+00 0.00000e+00 1.87782e+09 9.93311e-01 -1.05198e-03 0.00000e+00 3.59142e-19 1.01893e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 5.00782e-02 -7.07117e-02 0.00000e+00 0.00000e+00 1.01211e+00 1.98286e+09 240 2.59596e+00 0.00000e+00 0.00000e+00
9.12390e+08 1.49516e+06 0.00000e+00 2.92274e+06 1.91281e+09 0.00000e+00 0.00000e+00 0.00000e+00 1.37270e+09 9.89952e-01 -7.15329e-04 0.00000e+00 1.35525e-20 1.01872e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 5.06208e-02 -7.16750e-02 0.00000e+00 0.00000e+00 1.00848e+00 1.39633e+09 250 2.70610e+00 0.00000e+00 0.00000e+00
