 Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   Deformation_Gradient:0   Deformation_Gradient:1   Deformation_Gradient:2   Deformation_Gradient:3   Deformation_Gradient:4   Deformation_Gradient:5   Deformation_Gradient:6   Deformation_Gradient:7   Deformation_Gradient:8   Equivalent_Plastic_Strain   Displacements:0   Displacements:1   Displacements:2   J   p   vtkOriginalPointIds   Points:0   Points:1   Points:2 
-7.32244e+09 1.38857e+01 0.00000e+00 1.37893e+01 -6.74715e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.83952e+09 9.59060e-01 -2.03923e-19 0.00000e+00 2.47757e-20 1.00058e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 2.70742e-02 0.00000e+00 0.00000e+00 0.00000e+00 9.59616e-01 -7.16024e+09 0 0.00000e+00 0.00000e+00 0.00000e+00
-7.28413e+09 -1.26224e+06 0.00000e+00 -1.20748e+06 -6.65072e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.80022e+09 9.59045e-01 -9.57994e-19 0.00000e+00 -1.44693e-05 1.00093e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 2.70742e-02 0.00000e+00 6.39301e-05 0.00000e+00 9.59937e-01 -7.09871e+09 3 0.00000e+00 1.11175e-01 0.00000e+00
-7.21133e+09 -3.51756e+06 0.00000e+00 -3.37027e+06 -6.45127e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.72071e+09 9.58987e-01 1.65087e-18 0.00000e+00 -4.04140e-05 1.00168e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 2.70742e-02 0.00000e+00 2.07156e-04 0.00000e+00 9.60598e-01 -6.97426e+09 5 0.00000e+00 2.22429e-01 0.00000e+00
-7.17715e+09 -5.81517e+06 0.00000e+00 -5.57739e+06 -6.30983e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.66921e+09 9.58875e-01 -5.43795e-19 0.00000e+00 -6.69078e-05 1.00225e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 2.70742e-02 0.00000e+00 4.37836e-04 0.00000e+00 9.61032e-01 -6.89371e+09 7 0.00000e+00 3.33771e-01 0.00000e+00
-7.17186e+09 -4.59031e+06 0.00000e+00 -4.39609e+06 -6.22433e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.64246e+09 9.58706e-01 -3.69306e-19 0.00000e+00 -5.40900e-05 1.00266e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 2.71234e-02 0.00000e+00 7.06362e-04 0.00000e+00 9.61256e-01 -6.85182e+09 9 0.00000e+00 4.45150e-01 0.00000e+00
-7.11870e+09 -2.30752e+06 0.00000e+00 -2.16045e+06 -6.09153e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.58730e+09 9.58460e-01 -3.30343e-19 0.00000e+00 -3.43355e-05 1.00339e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 2.74084e-02 0.00000e+00 1.02808e-03 0.00000e+00 9.61709e-01 -6.76659e+09 11 0.00000e+00 5.56584e-01 0.00000e+00
-6.95208e+09 -4.35980e+06 0.00000e+00 -4.11176e+06 -5.87269e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.45205e+09 9.58250e-01 -2.23617e-19 0.00000e+00 -6.31869e-05 1.00463e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 2.80687e-02 0.00000e+00 1.45943e-03 0.00000e+00 9.62687e-01 -6.58358e+09 13 0.00000e+00 6.68126e-01 0.00000e+00
-6.66060e+09 -2.66800e+06 0.00000e+00 -2.74486e+06 -5.57751e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.20443e+09 9.57864e-01 3.38813e-20 0.00000e+00 -8.47573e-06 1.00667e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 2.95145e-02 0.00000e+00 2.05709e-03 0.00000e+00 9.64253e-01 -6.29126e+09 15 0.00000e+00 7.79835e-01 0.00000e+00
-6.15896e+09 -7.83712e+06 0.00000e+00 -7.96176e+06 -5.06522e+09 0.00000e+00 0.00000e+00 0.00000e+00 -5.74846e+09 9.57355e-01 -3.38813e-20 0.00000e+00 -4.79659e-05 1.01011e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 3.18729e-02 0.00000e+00 2.94267e-03 0.00000e+00 9.67034e-01 -5.77753e+09 17 0.00000e+00 8.91832e-01 0.00000e+00
-5.61325e+09 -5.37582e+06 0.00000e+00 -5.03342e+06 -4.49712e+09 0.00000e+00 0.00000e+00 0.00000e+00 -5.21982e+09 9.56678e-01 -3.29055e-17 0.00000e+00 -1.13413e-04 1.01409e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 3.46299e-02 0.00000e+00 4.30436e-03 0.00000e+00 9.70158e-01 -5.20547e+09 19 0.00000e+00 1.00430e+00 0.00000e+00
