 Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   Equivalent_Plastic_Strain   Displacements:0   Displacements:1   Displacements:2   vtkOriginalPointIds   Points:0   Points:1   Points:2 
-5.91553e+08 -2.37011e+03 0.00000e+00 -2.61956e+03 6.44674e+08 0.00000e+00 0.00000e+00 0.00000e+00 -2.00685e+08 7.07374e-02 0.00000e+00 0.00000e+00 0.00000e+00 0 0.00000e+00 0.00000e+00 0.00000e+00
-6.59654e+08 -2.88622e+06 0.00000e+00 -3.25934e+06 5.86589e+08 0.00000e+00 0.00000e+00 0.00000e+00 -2.50086e+08 7.06133e-02 0.00000e+00 6.92216e-03 0.00000e+00 3 0.00000e+00 1.18033e-01 0.00000e+00
-6.84817e+08 1.43006e+06 0.00000e+00 1.52041e+06 5.66078e+08 0.00000e+00 0.00000e+00 0.00000e+00 -2.70331e+08 7.07115e-02 0.00000e+00 1.37829e-02 0.00000e+00 5 0.00000e+00 2.36005e-01 0.00000e+00
-6.55645e+08 2.32047e+06 0.00000e+00 2.49906e+06 5.93637e+08 0.00000e+00 0.00000e+00 0.00000e+00 -2.52235e+08 7.11057e-02 0.00000e+00 2.07172e-02 0.00000e+00 7 0.00000e+00 3.54050e-01 0.00000e+00
-7.38331e+08 2.09441e+06 0.00000e+00 2.21612e+06 5.27751e+08 0.00000e+00 0.00000e+00 0.00000e+00 -3.12120e+08 7.14234e-02 0.00000e+00 2.76813e-02 0.00000e+00 9 0.00000e+00 4.72125e-01 0.00000e+00
-8.02834e+08 -1.61638e+06 0.00000e+00 -1.91305e+06 4.78869e+08 0.00000e+00 0.00000e+00 0.00000e+00 -3.64083e+08 7.20499e-02 0.00000e+00 3.46448e-02 0.00000e+00 11 0.00000e+00 5.90201e-01 0.00000e+00
-8.26859e+08 -3.91488e+06 0.00000e+00 -4.38482e+06 4.64420e+08 0.00000e+00 0.00000e+00 0.00000e+00 -3.94830e+08 7.28982e-02 0.00000e+00 4.17177e-02 0.00000e+00 13 0.00000e+00 7.08385e-01 0.00000e+00
-9.05008e+08 -2.85134e+06 0.00000e+00 -3.05452e+06 3.99044e+08 0.00000e+00 0.00000e+00 0.00000e+00 -4.80262e+08 7.35007e-02 0.00000e+00 4.88581e-02 0.00000e+00 15 0.00000e+00 8.26636e-01 0.00000e+00
-1.02507e+09 -4.18135e+06 0.00000e+00 -4.38832e+06 2.98774e+08 0.00000e+00 0.00000e+00 0.00000e+00 -5.95988e+08 7.40889e-02 0.00000e+00 5.60187e-02 0.00000e+00 17 0.00000e+00 9.44908e-01 0.00000e+00
-1.13765e+09 -2.51058e+06 0.00000e+00 -2.38080e+06 2.13379e+08 0.00000e+00 0.00000e+00 0.00000e+00 -6.91474e+08 7.51700e-02 0.00000e+00 6.32198e-02 0.00000e+00 19 0.00000e+00 1.06322e+00 0.00000e+00
-1.18711e+09 5.44044e+04 0.00000e+00 5.79339e+05 1.92169e+08 0.00000e+00 0.00000e+00 0.00000e+00 -7.32447e+08 7.72199e-02 0.00000e+00 7.05576e-02 0.00000e+00 623 0.00000e+00 1.18167e+00 0.00000e+00
-1.26488e+09 -4.26022e+06 0.00000e+00 -4.12420e+06 1.61111e+08 0.00000e+00 0.00000e+00 0.00000e+00 -7.80641e+08 8.02329e-02 0.00000e+00 7.81833e-02 0.00000e+00 625 0.00000e+00 1.30040e+00 0.00000e+00
-1.43339e+09 -8.98214e+06 0.00000e+00 -9.15119e+06 7.01305e+07 0.00000e+00 0.00000e+00 0.00000e+00 -8.77181e+08 8.42821e-02 0.00000e+00 8.61461e-02 0.00000e+00 627 0.00000e+00 1.41948e+00 0.00000e+00
-1.57475e+09 -1.42974e+07 0.00000e+00 -1.47132e+07 2.02174e+07 0.00000e+00 0.00000e+00 0.00000e+00 -9.35024e+08 8.97698e-02 0.00000e+00 9.45812e-02 0.00000e+00 629 0.00000e+00 1.53902e+00 0.00000e+00
-1.65828e+09 -2.29280e+07 0.00000e+00 -2.39223e+07 3.79116e+07 0.00000e+00 0.00000e+00 0.00000e+00 -9.30880e+08 9.68884e-02 0.00000e+00 1.03690e-01 0.00000e+00 631 0.00000e+00 1.65925e+00 0.00000e+00
-1.72010e+09 -3.16675e+07 0.00000e+00 -3.31154e+07 9.09905e+07 0.00000e+00 0.00000e+00 0.00000e+00 -8.96146e+08 1.05547e-01 0.00000e+00 1.13670e-01 0.00000e+00 633 0.00000e+00 1.78034e+00 0.00000e+00
-1.74846e+09 -3.88167e+07 0.00000e+00 -4.02669e+07 1.83382e+08 0.00000e+00 0.00000e+00 0.00000e+00 -8.34101e+08 1.15418e-01 0.00000e+00 1.24687e-01 0.00000e+00 635 0.00000e+00 1.90247e+00 0.00000e+00
-1.78937e+09 -5.51545e+07 0.00000e+00 -5.81429e+07 2.68678e+08 0.00000e+00 0.00000e+00 0.00000e+00 -7.84773e+08 1.25685e-01 0.00000e+00 1.36885e-01 0.00000e+00 637 0.00000e+00 2.02577e+00 0.00000e+00
-1.86381e+09 -6.74348e+07 0.00000e+00 -7.05083e+07 3.18579e+08 0.00000e+00 0.00000e+00 0.00000e+00 -7.66116e+08 1.35096e-01 0.00000e+00 1.50216e-01 0.00000e+00 639 0.00000e+00 2.15022e+00 0.00000e+00
-1.89348e+09 -8.18843e+07 0.00000e+00 -8.52160e+07 3.80641e+08 0.00000e+00 0.00000e+00 0.00000e+00 -7.38038e+08 1.42617e-01 0.00000e+00 1.64530e-01 0.00000e+00 641 0.00000e+00 2.27564e+00 0.00000e+00
-2.02171e+09 -1.15302e+08 0.00000e+00 -1.21973e+08 3.33903e+08 0.00000e+00 0.00000e+00 0.00000e+00 -7.70972e+08 1.47437e-01 0.00000e+00 1.79563e-01 0.00000e+00 643 0.00000e+00 2.40178e+00 0.00000e+00
-2.06832e+09 -1.23850e+08 0.00000e+00 -1.26916e+08 3.24268e+08 0.00000e+00 0.00000e+00 0.00000e+00 -7.70812e+08 1.49371e-01 0.00000e+00 1.94902e-01 0.00000e+00 645 0.00000e+00 2.52823e+00 0.00000e+00
-2.02466e+09 -1.51321e+08 0.00000e+00 -1.56118e+08 3.48566e+08 0.00000e+00 0.00000e+00 0.00000e+00 -7.30902e+08 1.49027e-01 0.00000e+00 2.10350e-01 0.00000e+00 647 0.00000e+00 2.65479e+00 0.00000e+00
-2.05222e+09 -1.79956e+08 0.00000e+00 -1.83560e+08 2.55277e+08 0.00000e+00 0.00000e+00 0.00000e+00 -7.51793e+08 1.46971e-01 0.00000e+00 2.25608e-01 0.00000e+00 649 0.00000e+00 2.78117e+00 0.00000e+00
-1.93388e+09 -1.80952e+08 0.00000e+00 -1.77830e+08 2.78959e+08 0.00000e+00 0.00000e+00 0.00000e+00 -6.92302e+08 1.43270e-01 0.00000e+00 2.40445e-01 0.00000e+00 651 0.00000e+00 2.90711e+00 0.00000e+00
-1.64679e+09 -2.05016e+08 0.00000e+00 -2.05846e+08 2.77269e+08 0.00000e+00 0.00000e+00 0.00000e+00 -5.77647e+08 1.38612e-01 0.00000e+00 2.54785e-01 0.00000e+00 653 0.00000e+00 3.03257e+00 0.00000e+00
-1.84114e+09 -2.51592e+08 0.00000e+00 -2.42683e+08 -2.73253e+08 0.00000e+00 0.00000e+00 0.00000e+00 -8.92315e+08 1.30204e-01 0.00000e+00 2.68292e-01 0.00000e+00 655 0.00000e+00 3.15718e+00 0.00000e+00
1.24944e+09 -1.14068e+06 0.00000e+00 -5.03095e+07 1.92796e+09 0.00000e+00 0.00000e+00 0.00000e+00 1.55242e+09 1.17041e-01 0.00000e+00 2.80213e-01 0.00000e+00 657 0.00000e+00 3.28021e+00 0.00000e+00
