 Equivalent_Plastic_Strain   F:0   F:1   F:2   F:3   Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   p   sig:0   sig:1   sig:2   sig:3   velocity:0   velocity:1   vtkOriginalPointIds   Points:0   Points:1   Points:2 
2.51528e-02 9.58927e-01 4.71323e-05 -2.31186e-06 1.00005e+00 -7.73427e+09 3.45606e+05 7.11549e+05 -6.76438e+09 -6.98224e+09 -7.41659e+09 3.47049e+05 -6.76470e+09 -6.76543e+09 0.00000e+00 0.00000e+00 0 -1.48348e-03 2.40524e-06 0.00000e+00
2.50356e-02 9.59089e-01 -2.44952e-06 -2.92568e-06 1.00002e+00 -7.70749e+09 -6.51838e+04 -6.16719e+04 -6.74154e+09 -6.95861e+09 -7.39218e+09 -4.27935e+04 -6.74167e+09 -6.74197e+09 5.87413e+00 0.00000e+00 1 9.59198e-01 1.58114e-06 0.00000e+00
0.00000e+00 9.99201e-01 -4.13182e-08 -3.23542e-08 1.00000e+00 -2.15374e+08 -5.67661e+03 -5.67799e+03 -9.22204e+07 -1.33216e+08 -2.15202e+08 -5.66909e+03 -9.22204e+07 -9.22268e+07 -1.76548e+02 0.00000e+00 2 2.89899e+00 4.41441e-09 0.00000e+00
2.51890e-02 9.58893e-01 -4.04542e-06 -5.30007e-06 1.00009e+00 -7.73339e+09 -1.14788e+05 -1.05504e+05 -6.76230e+09 -6.98091e+09 -7.41550e+09 -7.42283e+04 -6.76291e+09 -6.76431e+09 2.78410e+00 0.00000e+00 9 1.06167e-01 4.26097e-06 0.00000e+00
2.44224e-02 9.60040e-01 -4.92676e-06 -4.69066e-06 1.00008e+00 -7.51288e+09 -1.12714e+05 -1.14410e+05 -6.56727e+09 -6.78319e+09 -7.21267e+09 -7.74053e+04 -6.56780e+09 -6.56909e+09 7.77951e-02 0.00000e+00 10 2.12762e-01 3.64218e-06 0.00000e+00
2.42682e-02 9.60267e-01 -5.34198e-06 -3.75879e-06 1.00007e+00 -7.47082e+09 -1.01869e+05 -1.13176e+05 -6.53027e+09 -6.74553e+09 -7.17398e+09 -7.32753e+04 -6.53074e+09 -6.53186e+09 -6.74161e+00 0.00000e+00 11 3.19394e-01 3.46136e-06 0.00000e+00
2.55341e-02 9.58361e-01 -5.50136e-06 -4.14493e-06 1.00006e+00 -7.84187e+09 -1.08578e+05 -1.18760e+05 -6.85912e+09 -7.07845e+09 -7.51534e+09 -7.56265e+04 -6.85954e+09 -6.86046e+09 -2.09845e+00 0.00000e+00 12 4.26023e-01 3.22346e-06 0.00000e+00
2.60733e-02 9.57548e-01 -5.12715e-06 -4.15067e-06 1.00005e+00 -8.00192e+09 -1.05530e+05 -1.13014e+05 -7.00076e+09 -7.22173e+09 -7.66222e+09 -7.19924e+04 -7.00111e+09 -7.00186e+09 1.15334e+01 0.00000e+00 13 5.32565e-01 2.94563e-06 0.00000e+00
2.50325e-02 9.59104e-01 -4.49163e-06 -3.98557e-06 1.00004e+00 -7.70118e+09 -9.81418e+04 -1.01871e+05 -6.73532e+09 -6.95268e+09 -7.38623e+09 -6.72840e+04 -6.73559e+09 -6.73621e+09 7.06697e+00 0.00000e+00 14 6.39013e-01 2.62509e-06 0.00000e+00
2.37959e-02 9.60958e-01 -3.74938e-06 -3.66904e-06 1.00003e+00 -7.34424e+09 -8.75410e+04 -8.81048e+04 -6.41909e+09 -6.63220e+09 -7.05750e+09 -6.05713e+04 -6.41929e+09 -6.41980e+09 -1.36161e+01 0.00000e+00 15 7.45516e-01 2.27784e-06 0.00000e+00
2.33013e-02 9.61699e-01 -3.04729e-06 -3.30378e-06 1.00002e+00 -7.20275e+09 -7.62184e+04 -7.44538e+04 -6.29351e+09 -6.50487e+09 -6.92688e+09 -5.25068e+04 -6.29366e+09 -6.29406e+09 -1.42884e+01 0.00000e+00 16 8.52327e-01 1.92327e-06 0.00000e+00
2.81830e-02 9.54375e-01 -1.96991e-06 -2.53783e-06 1.00001e+00 -8.62892e+09 -5.54752e+04 -5.07729e+04 -7.55317e+09 -7.78067e+09 -8.23522e+09 -3.37755e+04 -7.55328e+09 -7.55350e+09 1.71218e+01 0.00000e+00 17 1.06559e+00 1.26611e-06 0.00000e+00
2.72397e-02 9.55783e-01 -1.58299e-06 -2.13906e-06 1.00001e+00 -8.35313e+09 -4.60681e+04 -4.16144e+04 -7.31121e+09 -7.53551e+09 -7.98378e+09 -2.83920e+04 -7.31129e+09 -7.31146e+09 1.66037e+01 0.00000e+00 18 1.17171e+00 9.87451e-07 0.00000e+00
2.28472e-02 9.62375e-01 -1.25670e-06 -1.73875e-06 1.00001e+00 -7.07571e+09 -3.72396e+04 -3.39831e+04 -6.18089e+09 -6.39050e+09 -6.80948e+09 -2.50914e+04 -6.18094e+09 -6.18108e+09 -1.60042e+00 0.00000e+00 19 1.27813e+00 7.51007e-07 0.00000e+00
2.11368e-02 9.64953e-01 -9.77909e-07 -1.36373e-06 1.00001e+00 -6.58324e+09 -2.93397e+04 -2.69198e+04 -5.74106e+09 -5.94494e+09 -6.35252e+09 -2.04821e+04 -5.74109e+09 -5.74120e+09 -3.37318e+01 0.00000e+00 20 1.38494e+00 5.58620e-07 0.00000e+00
2.14186e-02 9.64527e-01 -7.43652e-07 -1.04290e-06 1.00000e+00 -6.66476e+09 -2.23690e+04 -2.04681e+04 -5.81409e+09 -6.01888e+09 -6.42834e+09 -1.55120e+04 -5.81411e+09 -5.81419e+09 -3.03012e+01 0.00000e+00 21 1.49216e+00 4.07728e-07 0.00000e+00
2.46557e-02 9.59652e-01 -5.52081e-07 -7.83052e-07 1.00000e+00 -7.60127e+09 -1.66110e+04 -1.49316e+04 -6.64797e+09 -6.86353e+09 -7.29457e+09 -1.07351e+04 -6.64799e+09 -6.64804e+09 1.12884e+00 0.00000e+00 22 1.59931e+00 2.93218e-07 0.00000e+00
3.07676e-02 9.50516e-01 -4.01969e-07 -5.77595e-07 1.00000e+00 -9.39464e+09 -1.23987e+04 -1.08125e+04 -8.22204e+09 -8.45797e+09 -8.92975e+09 -7.03614e+03 -8.22206e+09 -8.22209e+09 2.82624e+01 0.00000e+00 23 1.70565e+00 2.08580e-07 0.00000e+00
3.20201e-02 9.48655e-01 -2.86810e-07 -4.18270e-07 1.00000e+00 -9.76642e+09 -9.00554e+03 -7.77023e+03 -8.54473e+09 -8.78482e+09 -9.26496e+09 -4.96914e+03 -8.54475e+09 -8.54477e+09 5.80218e+01 0.00000e+00 24 1.81140e+00 1.47194e-07 0.00000e+00
3.00629e-02 9.51564e-01 -1.99516e-07 -2.97083e-07 1.00000e+00 -9.18650e+09 -6.30329e+03 -5.44202e+03 -8.04090e+09 -8.27446e+09 -8.74155e+09 -3.60917e+03 -8.04091e+09 -8.04093e+09 4.59963e+01 0.00000e+00 25 1.91687e+00 1.03581e-07 0.00000e+00
2.52023e-02 9.58830e-01 -1.34781e-07 -2.09455e-07 1.00000e+00 -7.76093e+09 -4.33901e+03 -3.78432e+03 -6.78937e+09 -7.00673e+09 -7.44141e+09 -2.73830e+03 -6.78938e+09 -6.78939e+09 2.12826e+00 0.00000e+00 26 2.02265e+00 7.33989e-08 0.00000e+00
1.68791e-02 9.71401e-01 -8.97354e-08 -1.50835e-07 1.00000e+00 -5.36854e+09 -3.19324e+03 -2.88286e+03 -4.64621e+09 -4.83581e+09 -5.21501e+09 -2.40111e+03 -4.64621e+09 -4.64622e+09 -4.05585e+01 0.00000e+00 27 2.12955e+00 5.30915e-08 0.00000e+00
1.17812e-02 9.79182e-01 -6.10746e-08 -1.14291e-07 1.00000e+00 -3.93324e+09 -2.62355e+03 -2.42816e+03 -3.33354e+09 -3.50615e+09 -3.85136e+09 -2.18794e+03 -3.33354e+09 -3.33355e+09 -9.90341e+01 0.00000e+00 28 2.23744e+00 3.94987e-08 0.00000e+00
6.00613e-03 9.88072e-01 -4.39423e-08 -9.21794e-08 1.00000e+00 -2.33440e+09 -2.83472e+03 -2.73328e+03 -1.84648e+09 -1.99984e+09 -2.30655e+09 -2.63071e+03 -1.84648e+09 -1.84650e+09 -1.28207e+02 0.00000e+00 29 2.34650e+00 3.02399e-08 0.00000e+00
3.57623e-03 9.91837e-01 -3.54306e-08 -7.71083e-08 1.00000e+00 -1.67021e+09 -3.12793e+03 -3.06744e+03 -1.22080e+09 -1.36607e+09 -1.65657e+09 -3.00826e+03 -1.22080e+09 -1.22082e+09 -1.57478e+02 0.00000e+00 30 2.45626e+00 2.33999e-08 0.00000e+00
1.27507e-03 9.95415e-01 -2.95916e-08 -6.37882e-08 1.00000e+00 -1.04583e+09 -4.26634e+03 -4.23765e+03 -6.28272e+08 -7.65864e+08 -1.04103e+09 -4.20670e+03 -6.28272e+08 -6.28290e+08 -1.67912e+02 0.00000e+00 31 2.56658e+00 1.79395e-08 0.00000e+00
4.10114e-04 9.96763e-01 -2.47348e-08 -4.89320e-08 1.00000e+00 -8.12298e+08 -4.63612e+03 -4.62136e+03 -4.05558e+08 -5.40268e+08 -8.09669e+08 -4.60127e+03 -4.05558e+08 -4.05577e+08 -1.74742e+02 0.00000e+00 32 2.67720e+00 1.35030e-08 0.00000e+00
