 Equivalent_Plastic_Strain   F:0   F:1   F:2   F:3   Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   p   sig:0   sig:1   sig:2   sig:3   velocity:0   velocity:1   vtkOriginalPointIds   Points:0   Points:1   Points:2 
2.51528e-02 9.58927e-01 4.71323e-05 -2.31186e-06 1.00005e+00 -7.73427e+09 3.45606e+05 7.11549e+05 -6.76438e+09 -6.98224e+09 -7.41659e+09 3.47049e+05 -6.76470e+09 -6.76543e+09 0.00000e+00 0.00000e+00 0 -1.48348e-03 2.40524e-06 0.00000e+00
8.22516e-02 9.24982e-01 5.61022e-03 2.16313e-02 1.07371e+00 -2.02246e+09 1.53953e+08 1.34138e+08 -4.49591e+08 -1.16401e+09 -1.86783e+09 1.32679e+08 -4.81866e+08 -1.14234e+09 0.00000e+00 2.59840e+02 4 -4.01477e-03 3.12498e+00 0.00000e+00
2.79182e-02 9.57921e-01 -3.64655e-04 -2.32205e-04 1.00603e+00 -6.90379e+09 -6.05060e+06 -6.91134e+06 -5.85905e+09 -6.16340e+09 -6.61328e+09 -4.43550e+06 -5.89436e+09 -5.98254e+09 0.00000e+00 8.21042e+01 5 -1.56898e-03 1.00347e+00 0.00000e+00
1.23343e-01 8.88915e-01 -5.25680e-03 1.44356e-02 1.11393e+00 -2.90963e+09 6.38861e+07 2.90769e+07 -6.30690e+08 -1.63082e+09 -2.58599e+09 4.76849e+07 -7.02879e+08 -1.60359e+09 0.00000e+00 2.76553e+02 84 -6.70690e-03 3.00356e+00 0.00000e+00
1.41276e-01 8.79435e-01 -1.46047e-02 -4.95541e-03 1.13779e+00 -1.08510e+09 -7.85569e+07 -7.89844e+07 9.95728e+08 8.93710e+07 -9.53882e+08 -7.40199e+07 1.13407e+09 8.79225e+07 0.00000e+00 2.56148e+02 85 -7.52849e-03 2.87833e+00 0.00000e+00
1.28763e-01 8.86995e-01 -1.62357e-02 -2.60541e-03 1.12188e+00 -2.03478e+09 -8.00372e+07 -9.30121e+07 1.22510e+08 -8.26098e+08 -1.80460e+09 -7.13118e+07 1.38740e+08 -8.12438e+08 0.00000e+00 2.68222e+02 86 -7.04715e-03 2.75285e+00 0.00000e+00
1.15055e-01 8.96696e-01 -1.39968e-02 -7.09500e-03 1.10601e+00 -2.56554e+09 -1.00362e+08 -1.10822e+08 -4.69787e+08 -1.39709e+09 -2.29973e+09 -8.66609e+07 -5.18182e+08 -1.37338e+09 0.00000e+00 2.38491e+02 87 -6.26574e-03 2.62887e+00 0.00000e+00
9.54219e-02 9.09344e-01 -1.24546e-02 -5.55359e-03 1.08245e+00 -3.79098e+09 -9.65725e+07 -1.15770e+08 -1.74984e+09 -2.64620e+09 -3.44666e+09 -7.80997e+07 -1.89291e+09 -2.59903e+09 0.00000e+00 2.37216e+02 88 -5.30487e-03 2.50726e+00 0.00000e+00
8.83039e-02 9.19720e-01 -9.84512e-03 -4.82228e-03 1.08133e+00 -1.81595e+09 -7.17175e+07 -7.67284e+07 -1.80332e+08 -9.23629e+08 -1.66980e+09 -6.50905e+07 -1.94292e+08 -9.06795e+08 0.00000e+00 1.77978e+02 89 -4.52389e-03 2.38659e+00 0.00000e+00
7.42932e-02 9.28048e-01 -7.55862e-03 -3.50575e-03 1.06389e+00 -3.02226e+09 -6.14934e+07 -7.04946e+07 -1.40175e+09 -2.12725e+09 -2.80455e+09 -5.21546e+07 -1.49085e+09 -2.08634e+09 0.00000e+00 2.08841e+02 90 -3.89417e-03 2.26764e+00 0.00000e+00
6.64647e-02 9.34573e-01 -6.17610e-03 -3.01919e-03 1.05641e+00 -2.96226e+09 -5.30954e+07 -6.01110e+07 -1.46232e+09 -2.13505e+09 -2.76827e+09 -4.52065e+07 -1.54447e+09 -2.09241e+09 0.00000e+00 1.86290e+02 91 -3.36898e-03 2.14969e+00 0.00000e+00
5.98587e-02 9.39742e-01 -4.65573e-03 -2.14978e-03 1.04973e+00 -3.05286e+09 -4.07741e+07 -4.66845e+07 -1.63939e+09 -2.27121e+09 -2.86880e+09 -3.47928e+07 -1.72073e+09 -2.22409e+09 0.00000e+00 1.57698e+02 92 -2.97638e-03 2.03243e+00 0.00000e+00
5.28763e-02 9.43627e-01 -3.69779e-03 -1.73471e-03 1.04062e+00 -3.81678e+09 -3.55207e+07 -4.17086e+07 -2.43794e+09 -3.03615e+09 -3.60154e+09 -2.92891e+07 -2.53683e+09 -2.97007e+09 0.00000e+00 1.44059e+02 93 -2.66957e-03 1.91621e+00 0.00000e+00
4.80217e-02 9.46704e-01 -2.91185e-03 -1.34227e-03 1.03470e+00 -4.20977e+09 -2.93520e+07 -3.49676e+07 -2.87928e+09 -3.44326e+09 -3.98536e+09 -2.39229e+07 -2.97911e+09 -3.36530e+09 0.00000e+00 1.30336e+02 94 -2.43443e-03 1.80079e+00 0.00000e+00
4.47651e-02 9.49331e-01 -2.53017e-03 -1.28497e-03 1.03141e+00 -4.25333e+09 -2.73930e+07 -3.19384e+07 -2.97694e+09 -3.51309e+09 -4.03778e+09 -2.21798e+07 -3.07036e+09 -3.43112e+09 0.00000e+00 1.21217e+02 95 -2.22789e-03 1.68594e+00 0.00000e+00
4.37893e-02 9.51591e-01 -1.92166e-03 -9.75586e-04 1.03233e+00 -3.65931e+09 -2.03529e+07 -2.32633e+07 -2.44387e+09 -2.96753e+09 -3.48214e+09 -1.69834e+07 -2.52284e+09 -2.89762e+09 0.00000e+00 1.06336e+02 96 -2.06325e-03 1.57116e+00 0.00000e+00
3.77078e-02 9.53497e-01 -1.63430e-03 -9.29639e-04 1.02215e+00 -5.01061e+09 -2.07297e+07 -2.38780e+07 -3.81613e+09 -4.28506e+09 -4.77758e+09 -1.62181e+07 -3.90064e+09 -4.17698e+09 0.00000e+00 1.34787e+02 97 -1.91124e-03 1.45726e+00 0.00000e+00
4.08344e-02 9.55124e-01 -1.20704e-03 -6.97418e-04 1.03079e+00 -3.23838e+09 -1.36196e+07 -1.49900e+07 -2.10167e+09 -2.59813e+09 -3.09304e+09 -1.15427e+07 -2.16637e+09 -2.53497e+09 0.00000e+00 7.36857e+01 98 -1.78963e-03 1.34271e+00 0.00000e+00
3.17409e-02 9.56348e-01 -8.61122e-04 -5.27278e-04 1.01294e+00 -6.02663e+09 -1.27579e+07 -1.46121e+07 -4.91106e+09 -5.29638e+09 -5.76355e+09 -9.61149e+06 -4.97459e+09 -5.15101e+09 0.00000e+00 1.23301e+02 99 -1.69307e-03 1.22957e+00 0.00000e+00
3.54266e-02 9.57282e-01 -6.41419e-04 -4.06371e-04 1.02245e+00 -4.23117e+09 -8.46052e+06 -9.33383e+06 -3.12445e+09 -3.57603e+09 -4.05042e+09 -6.82941e+06 -3.19459e+09 -3.48309e+09 0.00000e+00 4.08734e+01 100 -1.61795e-03 1.11583e+00 0.00000e+00
3.01158e-02 9.58339e-01 -2.77897e-04 -1.86209e-04 1.01219e+00 -5.77071e+09 -4.36081e+06 -4.84811e+06 -4.70224e+09 -5.07339e+09 -5.53029e+09 -3.30354e+06 -4.75954e+09 -4.93033e+09 0.00000e+00 1.77367e+01 101 -1.53226e-03 8.90832e-01 0.00000e+00
2.60843e-02 9.58606e-01 -1.24014e-04 -8.06489e-05 1.00221e+00 -7.42533e+09 -2.19027e+06 -2.49662e+06 -6.42676e+09 -6.67783e+09 -7.11797e+09 -1.58129e+06 -6.44097e+09 -6.47457e+09 0.00000e+00 4.05422e+01 102 -1.51243e-03 7.79105e-01 0.00000e+00
2.69834e-02 9.58754e-01 -9.67532e-05 -6.70992e-05 1.00501e+00 -6.91720e+09 -1.70786e+06 -1.90138e+06 -5.89831e+09 -6.18742e+09 -6.63189e+09 -1.24164e+06 -5.92786e+09 -6.00252e+09 0.00000e+00 6.00576e+00 103 -1.49822e-03 6.67315e-01 0.00000e+00
2.54007e-02 9.58843e-01 -3.36827e-05 -2.22209e-05 1.00064e+00 -7.64860e+09 -6.12120e+05 -6.95878e+05 -6.67063e+09 -6.89784e+09 -7.33380e+09 -4.38699e+05 -6.67490e+09 -6.68480e+09 0.00000e+00 1.51548e+01 104 -1.49177e-03 5.55964e-01 0.00000e+00
2.56865e-02 9.58884e-01 -2.68646e-05 -1.90686e-05 1.00159e+00 -7.47853e+09 -5.02783e+05 -5.58339e+05 -6.49206e+09 -6.73336e+09 -7.17105e+09 -3.58316e+05 -6.50236e+09 -6.52668e+09 0.00000e+00 1.59946e+00 105 -1.48742e-03 4.44620e-01 0.00000e+00
2.51999e-02 9.58908e-01 -6.39832e-06 -4.43752e-06 1.00015e+00 -7.71954e+09 -1.20363e+05 -1.34844e+05 -6.74809e+09 -6.96766e+09 -7.40233e+09 -8.54727e+04 -6.74913e+09 -6.75153e+09 0.00000e+00 4.38578e+00 106 -1.48576e-03 3.33435e-01 0.00000e+00
2.52719e-02 9.58916e-01 -4.33051e-06 -3.77119e-06 1.00039e+00 -7.67675e+09 -9.30489e+04 -9.71538e+04 -6.70296e+09 -6.92623e+09 -7.36136e+09 -6.39479e+04 -6.70561e+09 -6.71172e+09 0.00000e+00 2.59340e-01 107 -1.48498e-03 2.22260e-01 0.00000e+00
