 velocity:0   velocity:1   Piola:0   Piola:1   Piola:2   Piola:3   epeq   F:0   F:1   F:2   F:3   vtkOriginalPointIds   Points:0   Points:1   Points:2 
0.00000e+00 0.00000e+00 -4.12676e+09 -9.21904e-09 7.68920e-09 -4.57893e+09 4.33641e-02 9.73990e-01 2.37461e-18 -1.50013e-18 1.00000e+00 0 1.15836e-20 2.87655e-35 0.00000e+00
8.15730e+00 0.00000e+00 5.66229e+08 -7.09727e+07 -7.41615e+07 1.45310e+09 6.10210e-02 9.59418e-01 -5.86378e-18 -6.60912e-03 1.04766e+00 1 9.57904e-01 5.88475e-19 0.00000e+00
9.27861e+01 0.00000e+00 -5.29649e+08 -9.30270e+07 -9.16801e+07 2.31133e+07 1.13052e-02 9.90550e-01 6.16373e-18 -1.12226e-02 1.00793e+00 2 2.93601e+00 9.73902e-20 0.00000e+00
-8.84298e+01 0.00000e+00 -6.60425e+08 -3.38132e+08 -3.13309e+08 -6.90313e+08 4.58911e-02 9.73990e-01 2.30041e-18 -1.35120e-02 1.02139e+00 9 1.11215e-01 2.59097e-19 0.00000e+00
2.31404e+01 0.00000e+00 2.68272e+09 -3.96876e+08 -4.42866e+08 2.78484e+09 5.87794e-02 9.73990e-01 1.18731e-18 -2.70239e-02 1.04278e+00 10 2.22431e-01 5.18194e-19 0.00000e+00
2.02780e+01 0.00000e+00 -1.32030e+09 -4.50674e+08 -3.95507e+08 -3.82815e+08 8.22699e-02 9.43549e-01 -2.53403e-18 -2.26801e-02 1.05321e+00 11 3.26973e-01 6.52812e-19 0.00000e+00
1.74157e+01 0.00000e+00 3.93823e+08 -3.18290e+08 -3.04104e+08 1.26162e+09 8.75740e-02 9.43549e-01 1.15798e-18 -1.83362e-02 1.06364e+00 12 4.31516e-01 7.87430e-19 0.00000e+00
3.97806e+00 0.00000e+00 -8.48350e+08 -1.76491e+08 -1.62525e+08 4.76640e+08 7.89840e-02 9.39919e-01 -1.48713e-17 -1.42572e-02 1.06250e+00 13 5.35856e-01 7.74293e-19 0.00000e+00
-9.45955e+00 0.00000e+00 -1.03259e+09 -1.31424e+08 -1.19424e+08 3.16786e+08 7.79840e-02 9.39919e-01 -1.37510e-17 -1.01782e-02 1.06136e+00 14 6.40195e-01 7.61157e-19 0.00000e+00
-4.19070e-01 0.00000e+00 2.08886e+08 -1.18316e+08 -1.16581e+08 1.27691e+09 7.31010e-02 9.49469e-01 -9.98132e-18 -8.53555e-03 1.05709e+00 15 7.45770e-01 7.07488e-19 0.00000e+00
8.62141e+00 0.00000e+00 -5.00883e+08 -9.19019e+07 -8.70006e+07 6.29291e+08 7.04264e-02 9.49469e-01 -4.74258e-19 -6.89289e-03 1.05282e+00 16 8.51344e-01 6.53818e-19 0.00000e+00
7.69318e+00 0.00000e+00 2.27039e+09 -5.23370e+07 -6.40157e+07 2.51129e+09 4.96091e-02 9.71627e-01 -5.56334e-19 -6.32534e-03 1.04251e+00 17 1.06446e+00 5.23132e-19 0.00000e+00
1.36704e+01 0.00000e+00 1.44299e+09 -5.54703e+07 -6.33110e+07 1.73327e+09 4.66426e-02 9.71627e-01 -1.51264e-17 -6.80129e-03 1.03750e+00 18 1.17243e+00 4.62785e-19 0.00000e+00
1.96477e+01 0.00000e+00 3.65162e+09 -2.24993e+07 -4.42744e+07 3.22917e+09 4.57992e-02 9.87289e-01 -3.17220e-19 -7.27723e-03 1.03248e+00 19 1.28039e+00 4.02438e-19 0.00000e+00
