 velocity:0   velocity:1   Piola:0   Piola:1   Piola:2   Piola:3   epeq   F:0   F:1   F:2   F:3   vtkOriginalPointIds   Points:0   Points:1   Points:2 
0.00000e+00 0.00000e+00 -8.32112e+09 7.51709e-09 8.06598e-09 -7.75983e+09 3.28586e-02 9.54165e-01 1.00142e-19 -7.75039e-21 1.00000e+00 0 -2.37693e-19 1.58947e-36 0.00000e+00
0.00000e+00 3.46420e+02 1.28822e+09 1.52112e+08 1.99058e+08 1.21305e+09 1.42269e-01 9.00570e-01 -6.66285e-02 -9.57765e-18 1.11937e+00 4 -9.44017e-19 3.13339e+00 0.00000e+00
0.00000e+00 5.57971e+01 -6.99960e+09 1.30117e+08 1.42904e+08 -5.98956e+09 3.24134e-02 9.59144e-01 2.64589e-03 -4.18691e-18 1.00292e+00 5 -1.95690e-19 1.00361e+00 0.00000e+00
0.00000e+00 2.30545e+02 -1.76118e+09 -5.50189e+08 -5.30849e+08 -1.00711e+09 1.46695e-01 8.87408e-01 -6.01729e-02 1.46126e-18 1.11937e+00 84 -1.09206e-18 3.00627e+00 0.00000e+00
0.00000e+00 2.54697e+02 -8.53494e+08 -1.88966e+08 -1.87154e+08 1.06840e+09 1.39821e-01 8.87286e-01 -5.07873e-02 1.25274e-17 1.12749e+00 85 -1.09312e-18 2.88154e+00 0.00000e+00
0.00000e+00 2.78850e+02 -1.08105e+09 -1.97986e+08 -1.95482e+08 9.60045e+08 1.40215e-01 8.87163e-01 -4.14018e-02 1.36267e-20 1.12749e+00 86 -1.09417e-18 2.75681e+00 0.00000e+00
0.00000e+00 2.54784e+02 -2.34480e+09 -1.51714e+08 -1.87133e+08 -1.45863e+08 1.29699e-01 8.91706e-01 -3.11766e-02 -7.26428e-17 1.11358e+00 87 -1.02948e-18 2.63256e+00 0.00000e+00
0.00000e+00 2.30718e+02 -1.40339e+09 -1.59943e+08 -1.55132e+08 5.87140e+08 1.27877e-01 8.96249e-01 -2.09514e-02 -5.04356e-19 1.11358e+00 88 -9.64785e-19 2.50830e+00 0.00000e+00
0.00000e+00 1.95582e+02 -1.85160e+09 -3.46157e+07 -4.12590e+07 1.15065e+08 1.19086e-01 9.00730e-01 -7.76909e-03 -4.45822e-17 1.10436e+00 89 -9.12024e-19 2.38485e+00 0.00000e+00
0.00000e+00 1.60446e+02 -8.89290e+08 4.36257e+07 4.01180e+07 8.61252e+08 1.16977e-01 9.05212e-01 5.41326e-03 -4.97545e-19 1.10436e+00 90 -8.59263e-19 2.26141e+00 0.00000e+00
0.00000e+00 1.58468e+02 -2.60862e+09 7.01687e+07 9.80278e+07 -6.77243e+08 1.04598e-01 9.10697e-01 1.63633e-02 -2.04382e-17 1.08733e+00 91 -7.82583e-19 2.14054e+00 0.00000e+00
0.00000e+00 1.56490e+02 -1.44771e+09 8.19042e+07 1.05379e+08 2.50335e+08 1.03132e-01 9.16183e-01 2.73134e-02 -6.09012e-19 1.08733e+00 92 -7.05903e-19 2.01968e+00 0.00000e+00
0.00000e+00 1.33820e+02 -4.68176e+09 1.78562e+08 2.85700e+08 -2.85279e+09 8.01901e-02 9.27390e-01 2.89800e-02 -1.24430e-18 1.05451e+00 93 -5.78355e-19 1.90202e+00 0.00000e+00
0.00000e+00 1.11151e+02 -2.42874e+09 2.41559e+08 2.85591e+08 -9.71865e+08 7.78640e-02 9.38598e-01 3.06466e-02 -1.24430e-18 1.05451e+00 94 -4.50807e-19 1.78436e+00 0.00000e+00
0.00000e+00 1.13715e+02 -6.06396e+09 1.72179e+08 3.28312e+08 -4.71747e+09 6.06194e-02 9.57066e-01 2.75909e-02 -1.39670e-17 1.01153e+00 95 -2.32408e-19 1.67203e+00 0.00000e+00
0.00000e+00 1.16278e+02 -2.58005e+09 1.67311e+08 2.23938e+08 -1.56495e+09 5.99994e-02 9.75533e-01 2.45353e-02 -2.05033e-18 1.01153e+00 96 -1.40094e-20 1.55970e+00 0.00000e+00
0.00000e+00 9.86176e+01 -5.58860e+09 1.46681e+08 2.45620e+08 -4.71105e+09 4.99748e-02 9.73465e-01 1.81976e-02 -1.24332e-18 9.95388e-01 97 -3.22170e-20 1.44874e+00 0.00000e+00
0.00000e+00 8.09572e+01 -5.94870e+09 9.91508e+07 1.67639e+08 -5.07083e+09 4.78606e-02 9.71396e-01 1.18600e-02 2.29686e-19 9.95388e-01 98 -5.04247e-20 1.33778e+00 0.00000e+00
0.00000e+00 7.60001e+01 -5.97492e+09 1.10628e+08 1.52930e+08 -5.14844e+09 3.86582e-02 9.66842e-01 7.69074e-03 -1.05383e-17 9.99878e-01 99 -1.00159e-19 1.22657e+00 0.00000e+00
0.00000e+00 7.10430e+01 -6.89295e+09 6.51183e+07 8.69467e+07 -5.92569e+09 3.65734e-02 9.62288e-01 3.52150e-03 5.05606e-19 9.99878e-01 100 -1.49893e-19 1.11537e+00 0.00000e+00
0.00000e+00 4.05512e+01 -7.52584e+09 1.23200e+08 1.30690e+08 -6.59047e+09 3.22416e-02 9.56000e-01 1.77029e-03 5.31031e-20 1.00315e+00 101 -2.41488e-19 8.91851e-01 0.00000e+00
0.00000e+00 3.60889e+01 -7.64940e+09 8.00130e+07 8.48819e+07 -6.65531e+09 3.21651e-02 9.55522e-01 1.13670e-03 4.99114e-18 1.00315e+00 102 -2.37165e-19 7.80295e-01 0.00000e+00
0.00000e+00 3.16267e+01 -7.78784e+09 3.27743e+07 3.51085e+07 -6.71594e+09 3.21873e-02 9.55044e-01 5.03121e-04 5.31031e-20 1.00315e+00 103 -2.32842e-19 6.68740e-01 0.00000e+00
0.00000e+00 2.11322e+01 -7.86905e+09 4.37499e+07 4.63410e+07 -6.82423e+09 3.24563e-02 9.54656e-01 5.99354e-04 4.31118e-20 1.00305e+00 104 -2.35960e-19 5.57066e-01 0.00000e+00
0.00000e+00 1.06377e+01 -7.95400e+09 5.57626e+07 5.85663e+07 -6.88660e+09 3.26597e-02 9.54267e-01 6.95588e-04 -2.49557e-18 1.00305e+00 105 -2.39077e-19 4.45393e-01 0.00000e+00
0.00000e+00 5.31885e+00 -7.93487e+09 1.02024e+08 1.06915e+08 -6.87029e+09 3.28554e-02 9.54146e-01 1.24979e-03 2.55882e-18 1.00325e+00 106 -2.39990e-19 3.33808e-01 0.00000e+00
0.00000e+00 4.42751e-11 -7.95922e+09 1.48437e+08 1.55465e+08 -6.89110e+09 3.29329e-02 9.54025e-01 1.80400e-03 1.92751e-18 1.00325e+00 107 -2.40903e-19 2.22222e-01 0.00000e+00
0.00000e+00 1.50113e-16 -8.34508e+09 7.45522e+07 7.86572e+07 -7.76703e+09 3.28421e-02 9.54095e-01 9.01999e-04 -6.44809e-19 1.00000e+00 108 -2.39298e-19 1.11111e-01 0.00000e+00
