 velocity:0   velocity:1   Piola:0   Piola:1   Piola:2   Piola:3   epeq   F:0   F:1   F:2   F:3   vtkOriginalPointIds   Points:0   Points:1   Points:2 
0.00000e+00 0.00000e+00 -1.37183e+09 1.18921e+08 1.62318e+08 -4.66311e+08 5.10153e-02 9.59859e-01 3.46895e-02 -1.33245e-02 1.03469e+00 0 4.97583e-05 1.00864e-03 0.00000e+00
1.39924e+01 0.00000e+00 1.39715e+09 5.47489e+07 5.54372e+07 1.92899e+09 5.70218e-02 9.61045e-01 -8.88068e-04 2.24162e-03 1.04949e+00 1 9.47892e-01 2.95939e-03 0.00000e+00
5.00506e+01 0.00000e+00 4.04874e+07 -1.94570e+08 -1.92699e+08 4.28125e+08 8.90953e-03 9.95351e-01 -5.88575e-03 -9.48012e-04 1.00589e+00 2 2.92621e+00 6.01821e-04 0.00000e+00
1.38674e+01 0.00000e+00 -6.82232e+08 -1.00541e+08 -9.74933e+07 6.51557e+08 7.91697e-02 9.34709e-01 1.63371e-04 -1.59737e-02 1.06954e+00 9 1.05811e-01 1.79419e-03 0.00000e+00
-7.02532e+00 0.00000e+00 -1.02559e+09 -8.70687e+07 -7.59554e+07 3.72522e+08 8.19556e-02 9.33516e-01 -9.25110e-04 2.81631e-03 1.06878e+00 10 2.09388e-01 1.89457e-03 0.00000e+00
6.18475e+00 0.00000e+00 2.59077e+07 -1.47581e+08 -1.24259e+08 1.16690e+09 7.20749e-02 9.42909e-01 -3.93728e-03 5.87255e-03 1.06392e+00 11 3.13794e-01 2.07103e-03 0.00000e+00
-1.31790e+01 0.00000e+00 -4.60071e+08 -1.06676e+08 -9.30753e+07 7.49630e+08 7.23553e-02 9.44057e-01 -2.51027e-04 2.92030e-03 1.05973e+00 12 4.18428e-01 2.15782e-03 0.00000e+00
-1.69488e+00 0.00000e+00 3.15735e+08 -8.97532e+07 -7.67322e+07 1.37925e+09 6.63205e-02 9.49472e-01 -1.36612e-03 2.60678e-03 1.05811e+00 13 5.23758e-01 2.37861e-03 0.00000e+00
-2.01417e+01 0.00000e+00 1.14377e+07 -2.37813e+07 -1.90501e+07 1.08943e+09 6.67196e-02 9.49674e-01 -9.36904e-04 2.25846e-03 1.05581e+00 14 6.29074e-01 2.52506e-03 0.00000e+00
-6.03697e+00 0.00000e+00 8.40316e+08 3.35456e+07 3.64458e+07 1.66516e+09 6.15345e-02 9.55271e-01 -1.23475e-03 3.19362e-03 1.05364e+00 15 7.35047e-01 2.71427e-03 0.00000e+00
