 velocity:0   velocity:1   Piola:0   Piola:1   Piola:2   Piola:3   epeq   F:0   F:1   F:2   F:3   vtkOriginalPointIds   Points:0   Points:1   Points:2 
0.00000e+00 0.00000e+00 -1.37183e+09 1.18921e+08 1.62318e+08 -4.66311e+08 5.10153e-02 9.59859e-01 3.46895e-02 -1.33245e-02 1.03469e+00 0 4.97583e-05 1.00864e-03 0.00000e+00
0.00000e+00 2.81531e+02 -9.79051e+08 -2.54595e+07 -5.05685e+07 -8.86668e+07 1.22160e-01 9.01748e-01 -3.24519e-02 1.30391e-02 1.10516e+00 4 -5.53425e-03 3.27800e+00 0.00000e+00
0.00000e+00 1.37077e+02 -7.87866e+08 -5.59098e+05 -2.15881e+06 5.01824e+08 7.48612e-02 9.37517e-01 -1.57303e-03 -1.06870e-03 1.06531e+00 5 -2.52700e-03 1.06410e+00 0.00000e+00
0.00000e+00 2.88278e+02 -1.94012e+09 -1.29980e+07 -6.24206e+07 -9.63785e+07 1.44880e-01 8.80402e-01 -3.00360e-02 8.30720e-03 1.12971e+00 84 -7.22302e-03 3.15380e+00 0.00000e+00
0.00000e+00 2.89870e+02 -2.13034e+09 -7.55954e+06 -5.80537e+07 5.76572e+07 1.53345e-01 8.73631e-01 -2.78860e-02 -1.53668e-03 1.13859e+00 85 -7.79456e-03 3.02787e+00 0.00000e+00
0.00000e+00 2.83983e+02 -2.22638e+09 7.85618e+06 -4.08560e+07 1.58953e+08 1.54580e-01 8.72712e-01 -2.41723e-02 2.45652e-03 1.13986e+00 86 -7.83663e-03 2.90116e+00 0.00000e+00
0.00000e+00 2.85506e+02 -2.27556e+09 5.61201e+07 2.18718e+06 1.10233e+08 1.56639e-01 8.69695e-01 -2.03765e-02 5.60433e-04 1.14353e+00 87 -8.08694e-03 2.77438e+00 0.00000e+00
0.00000e+00 2.86617e+02 -2.30453e+09 2.38669e+07 -1.55896e+07 2.38086e+08 1.57144e-01 8.69535e-01 -1.67038e-02 -4.00362e-04 1.14414e+00 88 -8.12310e-03 2.64726e+00 0.00000e+00
0.00000e+00 2.82837e+02 -1.90600e+09 1.65434e+07 -1.03696e+07 4.91309e+08 1.52892e-01 8.72560e-01 -1.31102e-02 -2.62533e-03 1.14207e+00 89 -7.89492e-03 2.52026e+00 0.00000e+00
0.00000e+00 2.72145e+02 -1.99300e+09 -1.63660e+07 -3.20780e+07 3.41926e+08 1.45407e-01 8.78775e-01 -1.04068e-02 -3.58922e-03 1.13317e+00 90 -7.39810e-03 2.39375e+00 0.00000e+00
0.00000e+00 2.63258e+02 -1.78721e+09 -3.00274e+07 -3.88838e+07 3.77751e+08 1.34576e-01 8.86972e-01 -8.56250e-03 -4.60793e-03 1.12327e+00 91 -6.71482e-03 2.26837e+00 0.00000e+00
0.00000e+00 2.44997e+02 -1.97495e+09 -4.10419e+07 -4.58325e+07 1.06215e+08 1.23769e-01 8.95503e-01 -6.96245e-03 -3.92281e-03 1.11101e+00 92 -6.01720e-03 2.14409e+00 0.00000e+00
0.00000e+00 2.36864e+02 -1.85395e+09 -4.23532e+07 -4.45029e+07 8.37997e+07 1.13733e-01 9.03100e-01 -5.65036e-03 -3.67415e-03 1.10178e+00 93 -5.38028e-03 2.02115e+00 0.00000e+00
