 stress_11   strain_11   velocity_x   strain_21   strain_22   epsp_11   epsp_21   epsp_22   velocity_y   stress_21   stress_22   epeq   vtkOriginalPointIds   Points:0   Points:1   Points:2 
8.00654e+08 3.76599e-03 -1.85274e+01 2.30992e-04 -4.02669e-04 1.08423e-03 8.66192e-06 -6.13983e-04 1.94244e-01 1.71023e+07 4.20585e+08 1.08978e-03 0 0.00000e+00 0.00000e+00 0.00000e+00
7.59593e+08 7.74810e-03 -1.50179e+01 1.53218e-03 -4.60924e-03 5.16490e-03 1.09693e-03 -4.22324e-03 -6.67065e-01 3.34812e+07 3.02793e+08 5.56344e-03 1 1.00000e+00 0.00000e+00 0.00000e+00
5.65603e+08 5.47910e-03 -4.66434e-01 3.15652e-04 -3.46539e-03 3.31297e-03 1.88640e-04 -2.62941e-03 -7.38998e-01 9.77014e+06 1.03738e+08 3.54164e-03 2 3.00000e+00 0.00000e+00 0.00000e+00
8.04289e+08 3.77316e-03 -1.85037e+01 2.54780e-04 -4.02869e-04 1.07299e-03 9.09301e-06 -6.09014e-04 1.17495e-01 1.88990e+07 4.20594e+08 1.07860e-03 9 1.11111e-01 0.00000e+00 0.00000e+00
7.99605e+08 4.82639e-03 -1.83115e+01 6.13134e-04 -1.54150e-03 2.09263e-03 1.61885e-04 -1.38050e-03 -3.75327e-02 3.47115e+07 3.54256e+08 2.14263e-03 10 2.22222e-01 0.00000e+00 0.00000e+00
8.00852e+08 4.83279e-03 -1.82179e+01 6.20681e-04 -1.54168e-03 2.09558e-03 1.68468e-04 -1.38619e-03 -1.05665e-01 3.47856e+07 3.55820e+08 2.14620e-03 11 3.33333e-01 0.00000e+00 0.00000e+00
7.91121e+08 6.28477e-03 -1.77323e+01 1.06026e-03 -2.98887e-03 3.61442e-03 5.71888e-04 -2.71404e-03 -3.08065e-01 3.75673e+07 3.38016e+08 3.80612e-03 12 4.44444e-01 0.00000e+00 0.00000e+00
7.91750e+08 6.28702e-03 -1.75311e+01 1.06114e-03 -2.98897e-03 3.61419e-03 5.76089e-04 -2.71684e-03 -3.47101e-01 3.73113e+07 3.38678e+08 3.80565e-03 13 5.55556e-01 0.00000e+00 0.00000e+00
7.78473e+08 7.25963e-03 -1.67242e+01 1.37101e-03 -4.01737e-03 4.63125e-03 9.03714e-04 -3.68558e-03 -5.12180e-01 3.59460e+07 3.23063e+08 4.95320e-03 14 6.66667e-01 0.00000e+00 0.00000e+00
7.77997e+08 7.25601e-03 -1.64317e+01 1.36958e-03 -4.01742e-03 4.62797e-03 9.04605e-04 -3.68515e-03 -5.30648e-01 3.57676e+07 3.22566e+08 4.94893e-03 15 7.77778e-01 0.00000e+00 0.00000e+00
7.61260e+08 7.75801e-03 -1.53747e+01 1.53406e-03 -4.60922e-03 5.17140e-03 1.09808e-03 -4.22675e-03 -6.60463e-01 3.35362e+07 3.04480e+08 5.57117e-03 16 8.88889e-01 0.00000e+00 0.00000e+00
7.39626e+08 7.88347e-03 -1.37948e+01 1.57320e-03 -4.85743e-03 5.34543e-03 1.16583e-03 -4.42014e-03 -7.67232e-01 3.13361e+07 2.81883e+08 5.77434e-03 17 1.11111e+00 0.00000e+00 0.00000e+00
7.36877e+08 7.86778e-03 -1.33995e+01 1.57139e-03 -4.85742e-03 5.33584e-03 1.16347e-03 -4.41396e-03 -7.66296e-01 3.13789e+07 2.79124e+08 5.76369e-03 18 1.22222e+00 0.00000e+00 0.00000e+00
7.14338e+08 7.75153e-03 -1.20841e+01 1.51716e-03 -4.87049e-03 5.26911e-03 1.13443e-03 -4.37294e-03 -8.40078e-01 2.94403e+07 2.55882e+08 5.69309e-03 19 1.33333e+00 0.00000e+00 0.00000e+00
7.10760e+08 7.73133e-03 -1.16705e+01 1.51540e-03 -4.87047e-03 5.25703e-03 1.13133e-03 -4.36480e-03 -8.33608e-01 2.95443e+07 2.52305e+08 5.68028e-03 20 1.44444e+00 0.00000e+00 0.00000e+00
6.86730e+08 7.46292e-03 -1.03194e+01 1.39290e-03 -4.74097e-03 5.04063e-03 1.03289e-03 -4.17965e-03 -8.83428e-01 2.76925e+07 2.27715e+08 5.44011e-03 21 1.55556e+00 0.00000e+00 0.00000e+00
6.82665e+08 7.44001e-03 -9.90167e+00 1.39106e-03 -4.74093e-03 5.02699e-03 1.02935e-03 -4.17043e-03 -8.72634e-01 2.78234e+07 2.23662e+08 5.42620e-03 22 1.66667e+00 0.00000e+00 0.00000e+00
6.58541e+08 7.09901e-03 -8.55465e+00 1.22437e-03 -4.54024e-03 4.73757e-03 8.87841e-04 -3.91498e-03 -9.00999e-01 2.58868e+07 1.99049e+08 5.10462e-03 23 1.77778e+00 0.00000e+00 0.00000e+00
6.54359e+08 7.07541e-03 -8.14219e+00 1.22226e-03 -4.54020e-03 4.72349e-03 8.84058e-04 -3.90553e-03 -8.87021e-01 2.60157e+07 1.94884e+08 5.09075e-03 24 1.88889e+00 0.00000e+00 0.00000e+00
6.31645e+08 6.72423e-03 -6.82750e+00 1.03388e-03 -4.32184e-03 4.42033e-03 7.24397e-04 -3.63606e-03 -8.97014e-01 2.38065e+07 1.71694e+08 4.75522e-03 25 2.00000e+00 0.00000e+00 0.00000e+00
6.27683e+08 6.70184e-03 -6.42750e+00 1.03129e-03 -4.32179e-03 4.40693e-03 7.20493e-04 -3.62712e-03 -8.81264e-01 2.39075e+07 1.67747e+08 4.74247e-03 26 2.11111e+00 0.00000e+00 0.00000e+00
6.07751e+08 6.36828e-03 -5.16697e+00 8.38080e-04 -4.10535e-03 4.11510e-03 5.62219e-04 -3.36570e-03 -8.76969e-01 2.12201e+07 1.47313e+08 4.42073e-03 27 2.22222e+00 0.00000e+00 0.00000e+00
6.04280e+08 6.34869e-03 -4.78545e+00 8.34798e-04 -4.10531e-03 4.10341e-03 5.58278e-04 -3.35781e-03 -8.61008e-01 2.12708e+07 1.43852e+08 4.41006e-03 28 2.33333e+00 0.00000e+00 0.00000e+00
5.88235e+08 6.03642e-03 -3.59557e+00 6.46325e-04 -3.88772e-03 3.82442e-03 4.13178e-04 -3.10349e-03 -8.46779e-01 1.79344e+07 1.27276e+08 4.10300e-03 29 2.44444e+00 0.00000e+00 0.00000e+00
5.85470e+08 6.02092e-03 -3.23701e+00 6.42304e-04 -3.88768e-03 3.81530e-03 4.09326e-04 -3.09708e-03 -8.31521e-01 1.79214e+07 1.24512e+08 4.09504e-03 30 2.55556e+00 0.00000e+00 0.00000e+00
5.74168e+08 5.72655e-03 -2.12769e+00 4.67435e-04 -3.66101e-03 3.54362e-03 2.85746e-04 -2.84442e-03 -8.09317e-01 1.39761e+07 1.12703e+08 3.79531e-03 31 2.66667e+00 0.00000e+00 0.00000e+00
5.72279e+08 5.71605e-03 -1.79468e+00 4.63054e-04 -3.66097e-03 3.53756e-03 2.82289e-04 -2.83992e-03 -7.93766e-01 1.39050e+07 1.10810e+08 3.79018e-03 32 2.77778e+00 0.00000e+00 0.00000e+00
5.66337e+08 5.48317e-03 -7.76599e-01 3.20211e-04 -3.46543e-03 3.31528e-03 1.91892e-04 -2.63125e-03 -7.53654e-01 9.87075e+06 1.04480e+08 3.54360e-03 33 2.88889e+00 0.00000e+00 0.00000e+00
