 UU:0   UU:1   VV:0   VV:1   S11   S22   S12   S33   EEQ   EP11   EP22   GP12   EP33   vtkValidPointMask   arc_length   Points:0   Points:1   Points:2 
-1.83833e-02 9.04116e-20 -1.05516e+01 -1.69060e-15 7.37415e+08 6.28078e+08 4.35001e+05 5.32314e+08 1.31947e-03 1.31442e-03 -7.01091e-04 -4.59346e-07 -6.13331e-04 1 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
-1.80273e-02 -3.26712e-18 -1.34479e+01 -6.98072e-15 7.37415e+08 6.28078e+08 4.35001e+05 5.32314e+08 1.31947e-03 1.31442e-03 -7.01091e-04 -4.59346e-07 -6.13331e-04 1 1.11111e-01 1.11111e-01 0.00000e+00 0.00000e+00
-1.75764e-02 -2.07263e-18 -9.80203e+00 -3.38471e-15 8.48248e+08 4.49804e+08 1.09971e+07 5.02692e+08 1.23176e-03 1.22684e-03 -6.60460e-04 -7.92463e-06 -5.66381e-04 1 2.22222e-01 2.22222e-01 0.00000e+00 0.00000e+00
-1.70677e-02 0.00000e+00 -1.12318e+01 0.00000e+00 7.97035e+08 3.43499e+08 9.81996e+06 4.87592e+08 1.89467e-03 1.86397e-03 -1.13681e-03 -2.67953e-06 -7.27159e-04 1 3.33333e-01 3.33333e-01 0.00000e+00 0.00000e+00
-1.64505e-02 -1.18871e-18 -8.21822e+00 -2.11568e-15 8.12002e+08 3.21030e+08 9.50580e+06 5.11735e+08 2.82253e-03 2.72808e-03 -1.86895e-03 5.85917e-05 -8.59129e-04 1 4.44444e-01 4.44444e-01 0.00000e+00 0.00000e+00
-1.57259e-02 1.04503e-18 -8.74265e+00 3.17127e-15 8.36547e+08 3.36324e+08 2.90315e+06 5.38115e+08 3.82128e-03 3.63289e-03 -2.70162e-03 1.81630e-04 -9.31271e-04 1 5.55556e-01 5.55556e-01 0.00000e+00 0.00000e+00
-1.49261e-02 5.92405e-19 -7.36643e+00 2.53521e-15 8.46464e+08 3.33300e+08 4.73808e+06 5.39688e+08 4.50716e-03 4.23491e-03 -3.30611e-03 2.97633e-04 -9.28794e-04 1 6.66667e-01 6.66667e-01 0.00000e+00 0.00000e+00
-1.40849e-02 -9.71250e-19 -9.14375e+00 -8.48926e-16 8.30453e+08 3.37674e+08 1.56907e+06 5.34015e+08 5.08843e-03 4.74112e-03 -3.82323e-03 3.82088e-04 -9.17884e-04 1 7.77778e-01 7.77778e-01 0.00000e+00 0.00000e+00
-1.32276e-02 -4.63314e-19 -9.92762e+00 -2.53490e-15 7.73854e+08 2.95412e+08 6.16246e+06 4.99027e+08 5.41348e-03 5.01872e-03 -4.12749e-03 4.40149e-04 -8.91237e-04 1 8.88889e-01 8.88889e-01 0.00000e+00 0.00000e+00
-1.23894e-02 -2.53214e-19 -1.04696e+01 4.07858e-16 6.67245e+08 2.22843e+08 4.25763e+06 4.39319e+08 5.60570e-03 5.18031e-03 -4.31885e-03 4.88096e-04 -8.61462e-04 1 1.00000e+00 1.00000e+00 0.00000e+00 0.00000e+00
-1.14800e-02 5.00848e-19 -8.98677e+00 8.46923e-18 7.65225e+08 2.50605e+08 2.10441e+06 4.76422e+08 5.86073e-03 5.40765e-03 -4.54929e-03 5.16505e-04 -8.58363e-04 1 1.11111e+00 1.11111e+00 0.00000e+00 0.00000e+00
