 stress_11   strain_11   velocity_x   strain_21   strain_22   epsp_11   epsp_21   epsp_22   velocity_y   stress_21   stress_22   epeq   vtkOriginalPointIds   Points:0   Points:1   Points:2 
7.82292e+08 3.97302e-03 -2.14392e+01 -1.96441e-05 -8.43559e-04 1.23521e-03 -9.54858e-06 -7.21851e-04 -2.30563e-01 -7.76577e+05 3.42367e+08 1.24514e-03 0 0.00000e+00 0.00000e+00 0.00000e+00
6.28019e+08 3.25790e-03 -1.57629e+01 1.75347e-04 -1.02748e-03 8.48594e-04 4.12724e-05 -5.27468e-04 -4.58917e-01 1.03134e+07 1.80432e+08 8.62702e-04 1 1.00000e+00 0.00000e+00 0.00000e+00
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2 3.00000e+00 0.00000e+00 0.00000e+00
7.67494e+08 3.79255e-03 -2.09197e+01 -6.04068e-05 -7.56470e-04 1.08090e-03 -1.53848e-05 -6.22861e-04 -2.17361e-01 -3.46323e+06 3.29761e+08 1.08841e-03 9 1.11111e-01 0.00000e+00 0.00000e+00
7.52894e+08 3.69095e-03 -2.04323e+01 -7.89407e-05 -7.42189e-04 1.00872e-03 -1.40994e-05 -5.79357e-04 -1.76159e-01 -4.98780e+06 3.15191e+08 1.01566e-03 10 2.22222e-01 0.00000e+00 0.00000e+00
7.38906e+08 3.67945e-03 -1.99687e+01 -7.06330e-05 -8.09421e-04 1.02909e-03 -9.41239e-06 -5.99676e-04 -1.47092e-01 -4.70928e+06 2.98889e+08 1.03762e-03 11 3.33333e-01 0.00000e+00 0.00000e+00
7.23990e+08 3.71321e-03 -1.95211e+01 -3.55313e-05 -9.24241e-04 1.09901e-03 -1.04697e-06 -6.56632e-04 -1.57800e-01 -2.65264e+06 2.80634e+08 1.11102e-03 12 4.44444e-01 0.00000e+00 0.00000e+00
7.07402e+08 3.74022e-03 -1.89630e+01 1.65558e-05 -1.04170e-03 1.16600e-03 1.17125e-05 -7.15050e-04 -2.05741e-01 3.72562e+05 2.61114e+08 1.18241e-03 13 5.55556e-01 0.00000e+00 0.00000e+00
6.88363e+08 3.71770e-03 -1.83135e+01 7.27612e-05 -1.12585e-03 1.18723e-03 2.66475e-05 -7.42773e-04 -2.70936e-01 3.54721e+06 2.40126e+08 1.20722e-03 14 6.66667e-01 0.00000e+00 0.00000e+00
6.67616e+08 3.62678e-03 -1.75044e+01 1.22074e-04 -1.15494e-03 1.14115e-03 3.90545e-05 -7.21388e-04 -3.37716e-01 6.38613e+06 2.18512e+08 1.16227e-03 15 7.77778e-01 0.00000e+00 0.00000e+00
6.46542e+08 3.46697e-03 -1.66521e+01 1.57232e-04 -1.12112e-03 1.02383e-03 4.45185e-05 -6.46248e-04 -3.99699e-01 8.67024e+06 1.97617e+08 1.04280e-03 16 8.88889e-01 0.00000e+00 0.00000e+00
6.16766e+08 3.03698e-03 -1.50390e+01 1.77385e-04 -8.83688e-04 6.42971e-04 3.10978e-05 -3.87339e-04 -5.19639e-01 1.12528e+07 1.72095e+08 6.51227e-04 17 1.11111e+00 0.00000e+00 0.00000e+00
6.18007e+08 2.85035e-03 -1.45665e+01 1.65807e-04 -7.03977e-04 4.43090e-04 1.85250e-05 -2.54527e-04 -5.74294e-01 1.13294e+07 1.78513e+08 4.46569e-04 18 1.22222e+00 0.00000e+00 0.00000e+00
