 UU:0   UU:1   VV:0   VV:1   S11   S22   S12   S33   EEQ   EP11   EP22   GP12   EP33   vtkValidPointMask   arc_length   Points:0   Points:1   Points:2 
-6.81841e-03 0.00000e+00 -2.20778e+01 0.00000e+00 7.29481e+08 3.75592e+08 -1.33361e+07 4.54188e+08 1.31947e-03 1.31442e-03 -7.01091e-04 -4.59346e-07 -6.13331e-04 1 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
-6.39935e-03 -5.32895e-20 -2.26407e+01 -2.11620e-16 7.29481e+08 3.75592e+08 -1.33361e+07 4.54188e+08 1.31947e-03 1.31442e-03 -7.01091e-04 -4.59346e-07 -6.13331e-04 1 1.11111e-01 1.11111e-01 0.00000e+00 0.00000e+00
-5.94829e-03 -3.52566e-19 -2.24386e+01 -1.69470e-15 8.57031e+08 4.38054e+08 -2.52667e+07 5.01324e+08 1.22486e-03 1.22005e-03 -6.56062e-04 -7.46726e-06 -5.63992e-04 1 2.22222e-01 2.22222e-01 0.00000e+00 0.00000e+00
-5.53983e-03 0.00000e+00 -2.29244e+01 0.00000e+00 7.55950e+08 3.63514e+08 -1.91970e+07 4.44361e+08 1.19797e-03 1.19247e-03 -6.49867e-04 -2.80699e-05 -5.42608e-04 1 3.33333e-01 3.33333e-01 0.00000e+00 0.00000e+00
-5.06935e-03 -1.16039e-19 -2.11165e+01 -4.23869e-16 8.35828e+08 3.80558e+08 -1.11641e+07 4.81915e+08 1.38778e-03 1.37581e-03 -7.90811e-04 -3.92230e-05 -5.84995e-04 1 4.44444e-01 4.44444e-01 0.00000e+00 0.00000e+00
-4.62926e-03 -3.24788e-20 -2.09116e+01 6.35126e-16 7.46994e+08 2.85677e+08 -3.94255e+06 4.22076e+08 1.37616e-03 1.36190e-03 -8.00522e-04 -1.73055e-05 -5.61374e-04 1 5.55556e-01 5.55556e-01 0.00000e+00 0.00000e+00
-4.14231e-03 8.34765e-20 -1.88332e+01 1.69425e-15 7.72822e+08 3.03421e+08 3.89191e+06 4.42886e+08 1.67447e-03 1.64170e-03 -1.04163e-03 1.19270e-05 -6.00067e-04 1 6.66667e-01 6.66667e-01 0.00000e+00 0.00000e+00
-3.68938e-03 7.42071e-20 -1.83551e+01 4.23747e-16 6.97706e+08 2.24966e+08 9.44567e+06 3.87581e+08 1.55079e-03 1.52017e-03 -9.66271e-04 3.52412e-05 -5.53896e-04 1 7.77778e-01 7.77778e-01 0.00000e+00 0.00000e+00
-3.21183e-03 -1.48441e-19 -1.73542e+01 -8.47473e-16 7.33289e+08 2.62934e+08 1.11451e+07 4.08442e+08 1.66645e-03 1.62350e-03 -1.07562e-03 8.08400e-05 -5.47877e-04 1 8.88889e-01 8.88889e-01 0.00000e+00 0.00000e+00
-2.78394e-03 -7.71177e-20 -1.54846e+01 -4.36890e-16 6.62523e+08 1.93914e+08 9.40746e+06 3.46620e+08 1.35610e-03 1.32045e-03 -8.72001e-04 8.17314e-05 -4.48446e-04 1 1.00000e+00 1.00000e+00 0.00000e+00 0.00000e+00
-2.38059e-03 5.70357e-20 -1.46101e+01 2.18340e-16 6.40865e+08 1.75218e+08 7.87631e+06 3.21987e+08 1.19410e-03 1.16035e-03 -7.74542e-04 8.23532e-05 -3.85812e-04 1 1.11111e+00 1.11111e+00 0.00000e+00 0.00000e+00
-2.02668e-03 -2.32068e-20 -1.22058e+01 2.11640e-16 5.85564e+08 1.23993e+08 1.17705e+07 2.70140e+08 8.68416e-04 8.43943e-04 -5.57580e-04 6.52728e-05 -2.86363e-04 1 1.22222e+00 1.22222e+00 0.00000e+00 0.00000e+00
