 mpm_eps11   mpm_epsp21   mpm_eps12   mpm_epsp11   mpm_V2   mpm_epsp22   mpm_S22   mpm_eps22   mpm_S12   epeq   mpm_V1   mpm_S11   vtkOriginalPointIds   Points:0   Points:1   Points:2 
4.13572e-03 -3.49245e-05 -3.09709e-04 1.60809e-03 -1.65880e+00 -8.60243e-04 3.60119e+08 -9.26434e-04 -2.11373e+07 1.61571e-03 -1.90807e+01 7.59168e+08 0 0.00000e+00 0.00000e+00 0.00000e+00
3.12196e-03 3.50011e-06 1.61191e-04 7.17811e-04 -1.77748e+00 -3.61178e-04 3.39717e+08 -2.82564e-04 1.21300e+07 7.17822e-04 -1.56015e+01 6.97491e+08 1 1.00000e+00 0.00000e+00 0.00000e+00
2.14420e-06 0.00000e+00 3.15262e-09 0.00000e+00 -1.81926e-05 0.00000e+00 2.46671e+05 -2.73480e-09 2.42510e+02 0.00000e+00 1.14264e-04 5.76969e+05 2 3.00000e+00 0.00000e+00 0.00000e+00
4.12533e-03 -1.30851e-05 -1.40453e-04 1.56691e-03 -2.69930e+00 -8.26770e-04 3.94805e+08 -7.74020e-04 -9.79751e+06 1.57182e-03 -2.15779e+01 7.80293e+08 9 1.11111e-01 0.00000e+00 0.00000e+00
4.14210e-03 1.08336e-05 9.79154e-05 1.27345e-03 -2.41347e+00 -6.69402e-04 4.08714e+08 -6.39619e-04 6.69860e+06 1.27700e-03 -2.15712e+01 8.45462e+08 10 2.22222e-01 0.00000e+00 0.00000e+00
4.17093e-03 -3.15843e-06 -5.09904e-05 1.26987e-03 -2.90303e+00 -6.65808e-04 4.25334e+08 -5.88192e-04 -3.67938e+06 1.27296e-03 -1.77227e+01 8.59710e+08 11 3.33333e-01 0.00000e+00 0.00000e+00
3.45715e-03 1.05425e-05 1.63650e-05 1.10372e-03 -3.05999e+00 -5.71671e-04 3.32308e+08 -5.74015e-04 4.47885e+05 1.10509e-03 -1.78752e+01 6.94735e+08 12 4.44444e-01 0.00000e+00 0.00000e+00
3.42417e-03 9.17259e-06 1.19800e-04 1.05406e-03 -3.05289e+00 -5.39372e-04 3.29470e+08 -5.51966e-04 8.50979e+06 1.05480e-03 -1.85083e+01 6.96040e+08 13 5.55556e-01 0.00000e+00 0.00000e+00
3.89675e-03 2.59398e-05 1.84210e-04 1.05673e-03 -2.92967e+00 -5.61153e-04 3.97902e+08 -5.12772e-04 1.21746e+07 1.05960e-03 -1.83231e+01 8.27385e+08 14 6.66667e-01 0.00000e+00 0.00000e+00
3.85778e-03 2.32180e-05 2.10608e-04 1.00846e-03 -2.59420e+00 -5.28030e-04 4.04339e+08 -4.53234e-04 1.44146e+07 1.01046e-03 -1.84145e+01 8.31189e+08 15 7.77778e-01 0.00000e+00 0.00000e+00
3.12306e-03 5.26738e-06 1.98414e-04 7.24176e-04 -2.18458e+00 -3.65937e-04 3.17272e+08 -3.69121e-04 1.48575e+07 7.24204e-04 -1.85038e+01 6.86820e+08 16 8.88889e-01 0.00000e+00 0.00000e+00
3.25076e-03 8.65038e-06 1.32539e-04 6.49548e-04 -1.33166e+00 -3.30508e-04 3.69117e+08 -2.11038e-04 9.52988e+06 6.49618e-04 -1.58082e+01 7.50924e+08 17 1.11111e+00 0.00000e+00 0.00000e+00
3.25038e-03 5.50604e-06 1.07030e-04 6.43407e-04 -9.48634e-01 -3.25081e-04 3.84324e+08 -1.51292e-04 7.80956e+06 6.43434e-04 -1.83653e+01 7.58659e+08 18 1.22222e+00 0.00000e+00 0.00000e+00
3.38470e-03 1.04371e-05 7.75046e-05 5.58170e-04 -6.68239e-01 -2.85567e-04 4.06949e+08 -1.02241e-04 5.15904e+06 5.58273e-04 -1.85521e+01 8.13596e+08 19 1.33333e+00 0.00000e+00 0.00000e+00
3.40514e-03 6.60126e-06 5.30401e-05 5.59078e-04 -4.42996e-01 -2.83457e-04 4.18721e+08 -6.60733e-05 3.57222e+06 5.59118e-04 -1.79702e+01 8.23134e+08 20 1.44444e+00 0.00000e+00 0.00000e+00
2.93341e-03 3.68975e-06 3.48473e-05 2.36099e-04 -2.82174e-01 -1.20203e-04 3.45894e+08 -4.11153e-05 2.39674e+06 2.36122e-04 -1.81713e+01 7.48697e+08 21 1.55556e+00 0.00000e+00 0.00000e+00
2.95168e-03 2.33430e-06 2.17815e-05 2.42683e-04 -1.76523e-01 -1.22650e-04 3.52782e+08 -2.47578e-05 1.49594e+06 2.42692e-04 -1.54504e+01 7.54490e+08 22 1.66667e+00 0.00000e+00 0.00000e+00
2.05299e-03 0.00000e+00 1.35174e-05 0.00000e+00 -1.06034e-01 0.00000e+00 2.32976e+08 -1.45165e-05 1.03980e+06 0.00000e+00 -1.55575e+01 5.51054e+08 23 1.77778e+00 0.00000e+00 0.00000e+00
2.06249e-03 0.00000e+00 8.13018e-06 0.00000e+00 -6.21220e-02 0.00000e+00 2.35770e+08 -8.20754e-06 6.25398e+05 0.00000e+00 -9.39641e+00 5.54339e+08 24 1.88889e+00 0.00000e+00 0.00000e+00
9.41826e-04 0.00000e+00 4.69708e-06 0.00000e+00 -3.49101e-02 0.00000e+00 1.07473e+08 -4.45266e-06 3.61314e+05 0.00000e+00 -9.45182e+00 2.53055e+08 25 2.00000e+00 0.00000e+00 0.00000e+00
9.46211e-04 0.00000e+00 2.60494e-06 0.00000e+00 -1.87262e-02 0.00000e+00 1.08555e+08 -2.31391e-06 2.00380e+05 0.00000e+00 -3.73731e+00 2.54482e+08 26 2.11111e+00 0.00000e+00 0.00000e+00
2.99693e-04 0.00000e+00 1.37161e-06 0.00000e+00 -9.60340e-03 0.00000e+00 3.42720e+07 -1.14406e-06 1.05508e+05 0.00000e+00 -3.75991e+00 8.05546e+07 27 2.22222e+00 0.00000e+00 0.00000e+00
3.01377e-04 0.00000e+00 6.82660e-07 0.00000e+00 -4.71107e-03 0.00000e+00 3.46292e+07 -5.38804e-07 5.25123e+04 0.00000e+00 -1.06402e+00 8.10777e+07 28 2.33333e+00 0.00000e+00 0.00000e+00
7.07397e-05 0.00000e+00 3.28058e-07 0.00000e+00 -2.18089e-03 0.00000e+00 8.09709e+06 -2.42142e-07 2.52353e+04 0.00000e+00 -1.07189e+00 1.90174e+07 29 2.44444e+00 0.00000e+00 0.00000e+00
7.12764e-05 0.00000e+00 1.45989e-07 0.00000e+00 -9.78100e-04 0.00000e+00 8.19642e+06 -1.03169e-07 1.12299e+04 0.00000e+00 -2.29214e-01 1.91779e+07 30 2.55556e+00 0.00000e+00 0.00000e+00
1.29517e-05 0.00000e+00 6.33855e-08 0.00000e+00 -4.10017e-04 0.00000e+00 1.48308e+06 -4.21594e-08 4.87581e+03 0.00000e+00 -2.31453e-01 3.48213e+06 31 2.66667e+00 0.00000e+00 0.00000e+00
1.30866e-05 0.00000e+00 2.55162e-08 0.00000e+00 -1.67209e-04 0.00000e+00 1.50559e+06 -1.63512e-08 1.96279e+03 0.00000e+00 -3.81862e-02 3.52142e+06 32 2.77778e+00 0.00000e+00 0.00000e+00
2.11397e-06 0.00000e+00 9.85048e-09 0.00000e+00 -6.58149e-05 0.00000e+00 2.42249e+05 -6.20562e-09 7.57729e+02 0.00000e+00 -3.86778e-02 5.68429e+05 33 2.88889e+00 0.00000e+00 0.00000e+00
