 stress_11   strain_11   strain_21   strain_22   velocity_x   velocity_y   stress_21   stress_22   vtkOriginalPointIds   Points:0   Points:1   Points:2 
2.0663e+08 0.00065877 3.9551e-05 0.00025365 -1.464 0.11489 6.0847e+06 1.443e+08 0 0 0 0
2.6705e+08 0.0011572 0.00027138 -0.00038577 -1.2165 -0.022358 4.1751e+07 2.9665e+07 1 1 0 0
3.0753e+08 0.0014136 0.00014684 -0.00063315 -0.05674 -0.091061 2.259e+07 -7.3548e+06 2 3 0 0
2.1126e+08 0.00067598 5.2213e-05 0.00025363 -1.4559 0.10883 8.0328e+06 1.4628e+08 9 0.11111 0 0
2.2344e+08 0.00080709 0.00012826 5.3276e-05 -1.4222 0.095603 1.9732e+07 1.0747e+08 10 0.22222 0 0
2.2782e+08 0.00082339 0.00013851 5.3243e-05 -1.4134 0.083921 2.131e+07 1.0934e+08 11 0.33333 0 0
2.3889e+08 0.00093847 0.00019596 -0.00011941 -1.3739 0.061422 3.0148e+07 7.6138e+07 12 0.44444 0 0
2.4286e+08 0.00095324 0.00020337 -0.00011944 -1.3624 0.048422 3.1287e+07 7.7832e+07 13 0.55556 0 0
2.5255e+08 0.0010515 0.00024212 -0.00026477 -1.312 0.02358 3.7249e+07 5.0045e+07 14 0.66667 0 0
2.5599e+08 0.0010643 0.00024681 -0.0002648 -1.2971 0.011426 3.7971e+07 5.1513e+07 15 0.77778 0 0
2.6417e+08 0.0011465 0.00026902 -0.00038574 -1.2348 -0.012007 4.1388e+07 2.8439e+07 16 0.88889 0 0
2.7377e+08 0.0012248 0.00027992 -0.00048527 -1.1436 -0.042498 4.3064e+07 1.0678e+07 17 1.1111 0 0
2.7613e+08 0.0012336 0.00028038 -0.0004853 -1.1221 -0.050747 4.3135e+07 1.1681e+07 18 1.2222 0 0
2.816e+08 0.0012885 0.00027812 -0.00056587 -1.0406 -0.066907 4.2788e+07 -3.6814e+06 19 1.3333 0 0
2.8352e+08 0.0012956 0.00027711 -0.00056589 -1.0164 -0.073096 4.2633e+07 -2.8617e+06 20 1.4444 0 0
2.8802e+08 0.0013395 0.00026669 -0.00062929 -0.92802 -0.085361 4.103e+07 -1.4867e+07 21 1.5556 0 0
2.8962e+08 0.0013454 0.00026459 -0.0006293 -0.90159 -0.089685 4.0707e+07 -1.4186e+07 22 1.6667 0 0
2.9339e+08 0.0013796 0.00024838 -0.00067635 -0.80748 -0.098556 3.8212e+07 -2.2908e+07 23 1.7778 0 0
2.9475e+08 0.0013846 0.00024554 -0.00067636 -0.77912 -0.10121 3.7776e+07 -2.233e+07 24 1.8889 0 0
2.9795e+08 0.0014096 0.00022575 -0.00070686 -0.67951 -0.10724 3.4731e+07 -2.766e+07 25 2 0 0
2.991e+08 0.0014139 0.00022253 -0.00070686 -0.64936 -0.10831 3.4236e+07 -2.7168e+07 26 2.1111 0 0
3.0177e+08 0.0014293 0.00020142 -0.00071963 -0.54398 -0.11177 3.0987e+07 -2.8832e+07 27 2.2222 0 0
3.027e+08 0.0014327 0.00019819 -0.00071963 -0.51209 -0.11113 3.0491e+07 -2.8429e+07 28 2.3333 0 0
3.0474e+08 0.0014373 0.00017822 -0.00071262 -0.40063 -0.11189 2.7418e+07 -2.6015e+07 29 2.4444 0 0
3.0543e+08 0.0014398 0.00017539 -0.00071261 -0.36706 -0.10931 2.6983e+07 -2.5721e+07 30 2.5556 0 0
3.067e+08 0.001432 0.00015932 -0.00068326 -0.24957 -0.10715 2.4511e+07 -1.8723e+07 31 2.6667 0 0
3.0707e+08 0.0014334 0.00015732 -0.00068325 -0.21444 -0.1025 2.4203e+07 -1.8562e+07 32 2.7778 0 0
3.0748e+08 0.0014134 0.00014783 -0.00063316 -0.093213 -0.096473 2.2743e+07 -7.3807e+06 33 2.8889 0 0
