 UU:0   UU:1   VV:0   VV:1   S11   S22   S12   S33   vtkValidPointMask   arc_length   Points:0   Points:1   Points:2 
-3.00496e-03 5.39720e-19 8.54020e-01 6.36479e-16 2.44866e+08 1.67669e+08 6.28809e+05 1.23760e+08 1 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
-2.91742e-03 2.73791e-19 1.63672e+00 1.21935e-15 2.44866e+08 1.67669e+08 6.28809e+05 1.23760e+08 1 1.11111e-01 1.11111e-01 0.00000e+00 0.00000e+00
-2.80998e-03 4.58201e-19 1.40634e+00 1.27253e-15 2.77422e+08 1.52091e+08 7.22277e+05 1.28854e+08 1 2.22222e-01 2.22222e-01 0.00000e+00 0.00000e+00
-2.67264e-03 -1.31517e-19 1.80021e+00 5.29959e-16 3.34870e+08 1.48880e+08 7.84292e+05 1.45125e+08 1 3.33333e-01 3.33333e-01 0.00000e+00 0.00000e+00
-2.54746e-03 -6.52588e-19 5.99325e-01 -9.67819e-16 2.94049e+08 1.07506e+08 1.79009e+06 1.20466e+08 1 4.44444e-01 4.44444e-01 0.00000e+00 0.00000e+00
-2.42558e-03 9.53625e-20 -2.08015e-01 4.24137e-16 2.73947e+08 7.86023e+07 1.89196e+06 1.05765e+08 1 5.55556e-01 5.55556e-01 0.00000e+00 0.00000e+00
-2.33742e-03 -1.33806e-19 -1.14366e+00 2.38467e-16 1.85259e+08 2.45125e+07 3.01632e+06 6.29314e+07 1 6.66667e-01 6.66667e-01 0.00000e+00 0.00000e+00
-2.23467e-03 -1.95170e-19 -5.18238e-01 -1.20229e-16 2.10910e+08 2.23180e+07 2.24048e+06 6.99684e+07 1 7.77778e-01 7.77778e-01 0.00000e+00 0.00000e+00
-2.12834e-03 4.89574e-19 6.43709e-01 6.58020e-16 2.15180e+08 1.34630e+07 2.38861e+06 6.85929e+07 1 8.88889e-01 8.88889e-01 0.00000e+00 0.00000e+00
-1.99427e-03 1.33088e-19 7.46745e-01 4.76473e-16 2.82704e+08 3.52504e+07 3.06564e+06 9.53863e+07 1 1.00000e+00 1.00000e+00 0.00000e+00 0.00000e+00
-1.88308e-03 1.48130e-20 -4.06437e-02 -1.47457e-16 2.18965e+08 -1.93321e+06 2.84156e+06 6.51096e+07 1 1.11111e+00 1.11111e+00 0.00000e+00 0.00000e+00
-1.77850e-03 -1.90439e-19 -1.07309e+00 -3.04636e-16 1.95264e+08 -1.95605e+07 3.58551e+06 5.27111e+07 1 1.22222e+00 1.22222e+00 0.00000e+00 0.00000e+00
-1.68557e-03 -6.05917e-20 4.07168e-01 -1.98804e-16 1.71238e+08 -3.20003e+07 2.83906e+06 4.17712e+07 1 1.33333e+00 1.33333e+00 0.00000e+00 0.00000e+00
-1.56861e-03 -2.28667e-19 2.81371e-01 -5.16954e-16 2.25311e+08 -1.45931e+07 2.09911e+06 6.32155e+07 1 1.44444e+00 1.44444e+00 0.00000e+00 0.00000e+00
-1.44816e-03 -5.17540e-20 3.55106e-01 -1.59066e-16 2.28135e+08 -1.89699e+07 2.80628e+06 6.27496e+07 1 1.55556e+00 1.55556e+00 0.00000e+00 0.00000e+00
-1.35829e-03 -5.66801e-20 -5.68176e-01 -9.28018e-17 1.56531e+08 -5.05279e+07 2.64050e+06 3.18011e+07 1 1.66667e+00 1.66667e+00 0.00000e+00 0.00000e+00
-1.25074e-03 5.06702e-20 2.17144e-01 1.52339e-20 1.95823e+08 -3.82432e+07 9.65906e+05 4.72740e+07 1 1.77778e+00 1.77778e+00 0.00000e+00 0.00000e+00
-1.14380e-03 -2.16289e-20 6.94784e-01 -1.42503e-16 1.90827e+08 -4.81029e+07 1.32311e+06 4.28173e+07 1 1.88889e+00 1.88889e+00 0.00000e+00 0.00000e+00
-1.03314e-03 1.71425e-19 -3.22281e-01 1.27640e-16 1.98769e+08 -4.61366e+07 2.86125e+06 4.57897e+07 1 2.00000e+00 2.00000e+00 0.00000e+00 0.00000e+00
-9.36179e-04 1.01443e-19 5.42608e-01 4.23745e-16 1.64751e+08 -6.08572e+07 1.22114e+06 3.11681e+07 1 2.11111e+00 2.11111e+00 0.00000e+00 0.00000e+00
-8.27051e-04 1.08710e-19 3.07015e-01 2.25368e-16 1.91803e+08 -5.70478e+07 -4.29910e+05 4.04267e+07 1 2.22222e+00 2.22222e+00 0.00000e+00 0.00000e+00
-7.09604e-04 -1.88103e-20 9.60660e-02 -1.73138e-16 2.06347e+08 -5.99636e+07 6.41996e+05 4.39149e+07 1 2.33333e+00 2.33333e+00 0.00000e+00 0.00000e+00
-6.12927e-04 -1.46219e-19 4.58922e-01 -3.66175e-17 1.54155e+08 -8.48632e+07 1.64935e+06 2.07875e+07 1 2.44444e+00 2.44444e+00 0.00000e+00 0.00000e+00
-4.91118e-04 -3.72155e-20 5.62667e-01 -1.98847e-16 2.15356e+08 -5.85446e+07 8.52715e+05 4.70435e+07 1 2.55556e+00 2.55556e+00 0.00000e+00 0.00000e+00
