 velocity_y   velocity_x   Piola_22   F_22   F_21   Piola_21   pl_F_22   pl_F_21   F_12   Piola_12   Piola_11   F_11   pl_F_12   pl_F_11   epeq   vtkOriginalPointIds   Points:0   Points:1   Points:2 
0.00000e+00 0.00000e+00 -9.77176e+09 9.88661e-01 1.17236e-02 -2.25441e+07 1.00675e+00 4.50134e-03 -3.06085e-03 1.34199e+08 -1.05984e+10 9.52957e-01 4.45713e-03 9.73230e-01 3.15870e-02 0 0.00000e+00 0.00000e+00 0.00000e+00
0.00000e+00 -5.53781e+00 -9.88652e+09 1.00128e+00 4.76030e-05 -3.24912e+07 1.02025e+00 1.38056e-04 -1.54607e-04 -2.84468e+07 -1.10253e+10 9.39839e-01 1.31611e-04 9.60531e-01 4.03354e-02 1 9.35672e-01 0.00000e+00 0.00000e+00
0.00000e+00 -1.35891e+02 -7.44963e+08 9.99498e-01 -1.34378e-03 4.04159e+07 1.00050e+00 1.64960e-04 2.17243e-03 3.71254e+07 -1.11969e+09 9.95393e-01 1.64969e-04 9.98792e-01 1.22980e-03 2 2.83115e+00 0.00000e+00 0.00000e+00
0.00000e+00 -1.06579e+00 -9.70694e+09 9.97876e-01 -1.48604e-02 2.17948e+08 1.01652e+00 4.31915e-03 2.39194e-02 -1.86503e+08 -1.07402e+10 9.43720e-01 4.27004e-03 9.64001e-01 3.80818e-02 9 1.00464e-01 0.00000e+00 0.00000e+00
0.00000e+00 -4.60857e+00 -9.69863e+09 1.00121e+00 8.27263e-03 -1.10517e+07 1.01966e+00 2.96371e-03 -2.57549e-03 1.03833e+08 -1.08040e+10 9.40791e-01 2.97092e-03 9.60996e-01 4.06109e-02 10 2.04698e-01 0.00000e+00 0.00000e+00
0.00000e+00 -4.69510e+00 -9.70974e+09 1.00045e+00 -5.13254e-04 1.82485e+07 1.01893e+00 1.50264e-03 3.36683e-03 -2.10458e+07 -1.08051e+10 9.41534e-01 1.49899e-03 9.61786e-01 3.92556e-02 11 3.09242e-01 0.00000e+00 0.00000e+00
0.00000e+00 -4.90227e+00 -9.73309e+09 1.00115e+00 3.16551e-04 1.13160e+07 1.01971e+00 9.90845e-04 1.59821e-03 -1.47414e+06 -1.08496e+10 9.40723e-01 9.88603e-04 9.61044e-01 3.99632e-02 12 4.13703e-01 0.00000e+00 0.00000e+00
0.00000e+00 -5.21362e+00 -9.75731e+09 1.00141e+00 3.55789e-04 -5.04832e+06 1.02005e+00 6.28449e-04 7.32326e-04 -8.00905e+06 -1.08837e+10 9.40338e-01 6.23437e-04 9.60722e-01 4.02511e-02 13 5.18110e-01 0.00000e+00 0.00000e+00
0.00000e+00 -5.38121e+00 -9.78559e+09 1.00149e+00 3.00072e-04 -1.52336e+07 1.02019e+00 4.06026e-04 2.74858e-04 -1.37147e+07 -1.09176e+10 9.40127e-01 3.99875e-04 9.60581e-01 4.03605e-02 14 6.22508e-01 0.00000e+00 0.00000e+00
0.00000e+00 -5.54130e+00 -9.81651e+09 1.00145e+00 2.00396e-04 -2.40669e+07 1.02024e+00 2.67948e-04 2.50065e-05 -2.06439e+07 -1.09515e+10 9.40008e-01 2.61105e-04 9.60537e-01 4.03762e-02 15 7.26896e-01 0.00000e+00 0.00000e+00
0.00000e+00 -5.57753e+00 -9.85053e+09 1.00137e+00 6.91563e-05 -2.84531e+07 1.02025e+00 1.89020e-04 -4.03475e-05 -2.55513e+07 -1.09877e+10 9.39922e-01 1.82274e-04 9.60532e-01 4.03549e-02 16 8.31286e-01 0.00000e+00 0.00000e+00
