 Displacements:0   Displacements:1   Displacements:2   Equivalent_Plastic_Strain   Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   vtkOriginalPointIds   Points:0   Points:1   Points:2 
0.00000e+00 0.00000e+00 0.00000e+00 4.46323e-02 -1.04773e+10 5.41684e+03 0.00000e+00 5.86439e+03 -8.83394e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.66718e+09 0 0.00000e+00 0.00000e+00 0.00000e+00
-6.98550e-03 0.00000e+00 0.00000e+00 4.64946e-02 -1.05583e+10 6.12569e+05 0.00000e+00 6.46555e+05 -8.89122e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.74767e+09 1 1.04125e-01 0.00000e+00 0.00000e+00
-1.40436e-02 0.00000e+00 0.00000e+00 4.88462e-02 -1.04130e+10 -2.14433e+06 0.00000e+00 -2.86113e+06 -8.80750e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.74271e+09 20 2.08178e-01 0.00000e+00 0.00000e+00
-2.09036e-02 0.00000e+00 0.00000e+00 4.95935e-02 -1.05317e+10 -3.10768e+06 0.00000e+00 -4.09531e+06 -8.88725e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.77122e+09 30 3.12429e-01 0.00000e+00 0.00000e+00
-2.80026e-02 0.00000e+00 0.00000e+00 4.90273e-02 -1.04062e+10 -6.62150e+06 0.00000e+00 -8.46711e+06 -8.87535e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.76491e+09 40 4.16441e-01 0.00000e+00 0.00000e+00
-3.47459e-02 0.00000e+00 0.00000e+00 4.82152e-02 -1.05429e+10 -6.38461e+06 0.00000e+00 -8.18731e+06 -9.00462e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.86472e+09 50 5.20810e-01 0.00000e+00 0.00000e+00
-4.19166e-02 0.00000e+00 0.00000e+00 4.72945e-02 -1.04524e+10 -8.39752e+06 0.00000e+00 -1.05845e+07 -9.02427e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.87883e+09 60 6.24750e-01 0.00000e+00 0.00000e+00
-4.85417e-02 0.00000e+00 0.00000e+00 4.61970e-02 -1.04866e+10 -1.18417e+07 0.00000e+00 -1.46746e+07 -9.11253e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.94676e+09 70 7.29236e-01 0.00000e+00 0.00000e+00
-5.56838e-02 0.00000e+00 0.00000e+00 4.55787e-02 -1.06406e+10 -9.63294e+06 0.00000e+00 -1.20023e+07 -9.28133e+09 0.00000e+00 0.00000e+00 0.00000e+00 -1.00513e+10 80 8.33205e-01 0.00000e+00 0.00000e+00
-6.23633e-02 0.00000e+00 0.00000e+00 4.45828e-02 -1.04042e+10 -1.28127e+07 0.00000e+00 -1.57414e+07 -9.27409e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.99402e+09 90 9.37637e-01 0.00000e+00 0.00000e+00
-6.92650e-02 0.00000e+00 0.00000e+00 4.38976e-02 -1.09269e+10 -1.66092e+07 0.00000e+00 -2.02818e+07 -9.58192e+09 0.00000e+00 0.00000e+00 0.00000e+00 -1.02485e+10 100 1.04184e+00 0.00000e+00 0.00000e+00
-7.62600e-02 0.00000e+00 0.00000e+00 4.37418e-02 -1.04237e+10 -1.71780e+07 0.00000e+00 -2.09304e+07 -9.51398e+09 0.00000e+00 0.00000e+00 0.00000e+00 -1.00899e+10 110 1.14596e+00 0.00000e+00 0.00000e+00
-8.27585e-02 0.00000e+00 0.00000e+00 4.36285e-02 -1.09653e+10 -2.24521e+07 0.00000e+00 -2.75648e+07 -9.86482e+09 0.00000e+00 0.00000e+00 0.00000e+00 -1.03479e+10 120 1.25057e+00 0.00000e+00 0.00000e+00
-9.01033e-02 0.00000e+00 0.00000e+00 4.31081e-02 -1.07582e+10 -2.04652e+07 0.00000e+00 -2.50047e+07 -9.85129e+09 0.00000e+00 0.00000e+00 0.00000e+00 -1.02742e+10 130 1.35434e+00 0.00000e+00 0.00000e+00
-9.63873e-02 0.00000e+00 0.00000e+00 4.28355e-02 -1.08291e+10 -2.15792e+07 0.00000e+00 -2.63589e+07 -9.95005e+09 0.00000e+00 0.00000e+00 0.00000e+00 -1.03003e+10 140 1.45917e+00 0.00000e+00 0.00000e+00
-1.03712e-01 0.00000e+00 0.00000e+00 4.24342e-02 -1.12150e+10 -2.05539e+07 0.00000e+00 -2.50453e+07 -1.01404e+10 0.00000e+00 0.00000e+00 0.00000e+00 -1.04330e+10 150 1.56296e+00 0.00000e+00 0.00000e+00
-1.10186e-01 0.00000e+00 0.00000e+00 4.20548e-02 -1.07860e+10 -1.81253e+07 0.00000e+00 -2.19088e+07 -1.00197e+10 0.00000e+00 0.00000e+00 0.00000e+00 -1.02494e+10 160 1.66759e+00 0.00000e+00 0.00000e+00
-1.17135e-01 0.00000e+00 0.00000e+00 4.18160e-02 -1.13801e+10 -1.61076e+07 0.00000e+00 -1.94993e+07 -1.02997e+10 0.00000e+00 0.00000e+00 0.00000e+00 -1.04749e+10 170 1.77175e+00 0.00000e+00 0.00000e+00
-1.23967e-01 0.00000e+00 0.00000e+00 4.17014e-02 -1.09488e+10 -1.20038e+07 0.00000e+00 -1.45146e+07 -1.01931e+10 0.00000e+00 0.00000e+00 0.00000e+00 -1.03123e+10 180 1.87603e+00 0.00000e+00 0.00000e+00
-1.30573e-01 0.00000e+00 0.00000e+00 4.14867e-02 -1.14168e+10 -9.17355e+06 0.00000e+00 -1.11203e+07 -1.04040e+10 0.00000e+00 0.00000e+00 0.00000e+00 -1.04813e+10 190 1.98054e+00 0.00000e+00 0.00000e+00
-1.37684e-01 0.00000e+00 0.00000e+00 4.13768e-02 -1.11279e+10 -6.33335e+06 0.00000e+00 -7.65466e+06 -1.03198e+10 0.00000e+00 0.00000e+00 0.00000e+00 -1.03669e+10 200 2.08454e+00 0.00000e+00 0.00000e+00
-1.44056e-01 0.00000e+00 0.00000e+00 4.12311e-02 -1.12076e+10 -3.78890e+06 0.00000e+00 -4.58552e+06 -1.03606e+10 0.00000e+00 0.00000e+00 0.00000e+00 -1.03866e+10 210 2.18927e+00 0.00000e+00 0.00000e+00
-1.51194e-01 0.00000e+00 0.00000e+00 4.08578e-02 -1.11020e+10 -2.09830e+06 0.00000e+00 -2.54378e+06 -1.02869e+10 0.00000e+00 0.00000e+00 0.00000e+00 -1.02992e+10 220 2.29325e+00 0.00000e+00 0.00000e+00
-1.57440e-01 0.00000e+00 0.00000e+00 4.00196e-02 -1.06687e+10 -8.48516e+05 0.00000e+00 -1.04267e+06 -1.00140e+10 0.00000e+00 0.00000e+00 0.00000e+00 -1.00180e+10 230 2.39812e+00 0.00000e+00 0.00000e+00
-1.64175e-01 0.00000e+00 0.00000e+00 3.64144e-02 -1.08197e+10 -1.39735e+05 0.00000e+00 -1.86039e+05 -9.57172e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.57229e+09 240 2.50250e+00 0.00000e+00 0.00000e+00
-1.70108e-01 0.00000e+00 0.00000e+00 2.49802e-02 -7.72738e+09 -1.42588e+04 0.00000e+00 -2.07089e+04 -6.73165e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.73171e+09 250 2.60767e+00 0.00000e+00 0.00000e+00
-1.73232e-01 0.00000e+00 0.00000e+00 9.34931e-03 -3.27870e+09 -6.07875e+03 0.00000e+00 -6.82231e+03 -2.70723e+09 0.00000e+00 0.00000e+00 0.00000e+00 -2.70725e+09 260 2.71566e+00 0.00000e+00 0.00000e+00
-1.73891e-01 0.00000e+00 0.00000e+00 2.14207e-03 -1.28045e+09 -8.19700e+03 0.00000e+00 -8.43948e+03 -8.51408e+08 0.00000e+00 0.00000e+00 0.00000e+00 -8.51453e+08 270 2.82611e+00 0.00000e+00 0.00000e+00
