 mpm_F12   mpm_F11   epeq   Fp11   mpm_F22   mpm_S22   mpm_S21   mpm_F21   mpm_S12   mpm_V2   mpm_V1   mpm_S11   vtkOriginalPointIds   Points:0   Points:1   Points:2 
-2.96554e-04 9.38533e-01 5.21823e-02 9.58241e-01 1.00268e+00 -9.89823e+09 1.60710e+08 2.67977e-03 1.82425e+08 0.00000e+00 0.00000e+00 -1.08765e+10 0 -1.11755e-03 9.80937e-05 0.00000e+00
-1.55475e-04 9.40665e-01 5.82512e-02 9.58076e-01 1.00177e+00 -9.86522e+09 -2.37818e+07 -1.28941e-04 -2.21239e+07 0.00000e+00 -2.07913e+01 -1.02854e+10 1 9.38191e-01 1.45852e-04 0.00000e+00
-8.33485e-07 9.97721e-01 0.00000e+00 1.00000e+00 1.00000e+00 -2.62952e+08 -1.54705e+05 -1.16835e-06 -1.54852e+05 0.00000e+00 -2.10056e+02 -6.15558e+08 2 2.82819e+00 1.18185e-07 0.00000e+00
-4.66686e-04 9.37388e-01 4.84828e-02 9.57028e-01 1.00507e+00 -9.61762e+09 -3.81749e+07 -2.91406e-04 -3.42523e+07 0.00000e+00 1.54554e+00 -1.07398e+10 9 1.04791e-01 1.70129e-04 0.00000e+00
-3.21381e-05 9.35987e-01 6.47842e-02 9.56662e-01 1.00461e+00 -9.95722e+09 -5.58189e+06 -1.66877e-04 -6.73912e+06 0.00000e+00 2.62480e-01 -1.11795e+10 10 2.08844e-01 1.60484e-04 0.00000e+00
2.07360e-04 9.36963e-01 5.62321e-02 9.57292e-01 1.00412e+00 -9.86055e+09 -3.54048e+06 -3.27077e-04 -8.93512e+06 0.00000e+00 -4.72844e-01 -1.10369e+10 11 3.12905e-01 1.78882e-04 0.00000e+00
1.29473e-04 9.39530e-01 6.54008e-02 9.58063e-01 1.00351e+00 -9.55169e+09 -9.99165e+06 -2.81489e-04 -1.35124e+07 0.00000e+00 -1.03473e+01 -1.04289e+10 12 4.17064e-01 1.83647e-04 0.00000e+00
4.38870e-05 9.39154e-01 5.81297e-02 9.57981e-01 1.00303e+00 -9.71839e+09 -1.06488e+07 -1.96632e-04 -1.24724e+07 0.00000e+00 -1.12825e+01 -1.05925e+10 13 5.21440e-01 1.87019e-04 0.00000e+00
-7.00387e-05 9.36021e-01 6.59010e-02 9.57341e-01 1.00268e+00 -1.02949e+10 -1.23107e+07 -1.52098e-04 -1.25209e+07 0.00000e+00 1.12589e+00 -1.15223e+10 14 6.25702e-01 1.85945e-04 0.00000e+00
-1.23717e-04 9.36022e-01 5.90205e-02 9.57538e-01 1.00237e+00 -1.03602e+10 -1.76856e+07 -1.56785e-04 -1.70496e+07 0.00000e+00 7.81165e+00 -1.15937e+10 15 7.29763e-01 1.79096e-04 0.00000e+00
-1.42874e-04 9.39467e-01 6.39702e-02 9.58062e-01 1.00206e+00 -9.92977e+09 -2.58481e+07 -1.56596e-04 -2.44784e+07 0.00000e+00 -6.38417e+00 -1.06263e+10 16 8.33840e-01 1.64692e-04 0.00000e+00
-1.80804e-04 9.37654e-01 6.27675e-02 9.57905e-01 1.00153e+00 -1.03196e+10 -2.28126e+07 -1.09105e-04 -2.07189e+07 0.00000e+00 -9.63189e+00 -1.12388e+10 17 1.04262e+00 1.26874e-04 0.00000e+00
-1.99826e-04 9.35679e-01 5.78183e-02 9.57794e-01 1.00132e+00 -1.06382e+10 -2.33697e+07 -1.10465e-04 -2.10251e+07 0.00000e+00 1.12171e+01 -1.18772e+10 18 1.14686e+00 1.09860e-04 0.00000e+00
-1.85501e-04 9.37785e-01 6.19499e-02 9.58148e-01 1.00108e+00 -1.04011e+10 -2.62174e+07 -1.20540e-04 -2.39922e+07 0.00000e+00 5.81156e+00 -1.12943e+10 19 1.25090e+00 9.32090e-05 0.00000e+00
-1.50722e-04 9.40235e-01 5.69936e-02 9.58170e-01 1.00085e+00 -1.01641e+10 -2.29911e+07 -1.18426e-04 -2.13165e+07 0.00000e+00 -1.71881e+01 -1.05507e+10 20 1.35505e+00 7.42985e-05 0.00000e+00
-1.23053e-04 9.39288e-01 6.10766e-02 9.58138e-01 1.00063e+00 -1.03475e+10 -1.70718e+07 -9.99843e-05 -1.58391e+07 0.00000e+00 -1.62923e+01 -1.08715e+10 21 1.45948e+00 5.51169e-05 0.00000e+00
-1.02886e-04 9.36741e-01 5.66084e-02 9.58241e-01 1.00045e+00 -1.07022e+10 -1.25622e+07 -7.44836e-05 -1.15342e+07 0.00000e+00 7.98147e+00 -1.17205e+10 22 1.56390e+00 3.96110e-05 0.00000e+00
