 velocity_y   velocity_x   Piola_22   F_22   F_21   Piola_21   pl_F_22   pl_F_21   F_12   Piola_12   Piola_11   F_11   pl_F_12   pl_F_11   epeq   vtkOriginalPointIds   Points:0   Points:1   Points:2 
0.00000e+00 0.00000e+00 -9.77176e+09 9.88661e-01 1.17236e-02 -2.25441e+07 1.00675e+00 4.50134e-03 -3.06085e-03 1.34199e+08 -1.05984e+10 9.52957e-01 4.45713e-03 9.73230e-01 3.15870e-02 0 0.00000e+00 0.00000e+00 0.00000e+00
4.68269e+02 0.00000e+00 -2.94477e+08 1.20308e+00 -1.77814e-02 4.47754e+07 1.20260e+00 -1.10354e-02 3.54677e-03 1.50127e+07 -1.01095e+09 8.28176e-01 -6.76546e-03 8.30585e-01 2.21628e-01 4 0.00000e+00 3.21921e+00 0.00000e+00
1.18838e+02 0.00000e+00 -6.40537e+09 1.02658e+00 6.92023e-04 -6.13904e+07 1.03894e+00 -1.68787e-03 -4.70681e-03 -2.14827e+07 -7.50557e+09 9.34944e-01 -1.79435e-03 9.48917e-01 5.90011e-02 5 0.00000e+00 1.01365e+00 0.00000e+00
4.49305e+02 0.00000e+00 -4.47946e+08 1.20866e+00 -2.90147e-02 2.24554e+07 1.20854e+00 -1.80569e-02 9.07567e-04 -1.50329e+07 -1.24950e+09 8.23440e-01 -1.54025e-02 8.26354e-01 2.27788e-01 84 0.00000e+00 3.08440e+00 0.00000e+00
4.26450e+02 0.00000e+00 -6.49774e+08 1.19865e+00 -2.93042e-02 -2.54132e+06 1.19906e+00 -1.98622e-02 -5.23509e-03 -3.62441e+07 -1.52669e+09 8.29286e-01 -1.88947e-02 8.32573e-01 2.18569e-01 85 0.00000e+00 2.94992e+00 0.00000e+00
4.01745e+02 0.00000e+00 -8.96574e+08 1.17897e+00 -3.18442e-02 -1.49490e+07 1.18000e+00 -2.01036e-02 -3.75283e-03 -5.72832e+07 -1.83133e+09 8.41703e-01 -2.00608e-02 8.45572e-01 2.00783e-01 86 0.00000e+00 2.81760e+00 0.00000e+00
3.76993e+02 0.00000e+00 -1.17405e+09 1.15807e+00 -2.60391e-02 -2.65904e+07 1.15983e+00 -1.74366e-02 -6.33543e-03 -6.16124e+07 -2.15233e+09 8.55383e-01 -1.77999e-02 8.59671e-01 1.81149e-01 87 0.00000e+00 2.68769e+00 0.00000e+00
3.52662e+02 0.00000e+00 -1.47620e+09 1.14057e+00 -2.36847e-02 -3.16673e+07 1.14306e+00 -1.53336e-02 -5.17374e-03 -6.91750e+07 -2.49475e+09 8.66787e-01 -1.59311e-02 8.71650e-01 1.64738e-01 88 0.00000e+00 2.55990e+00 0.00000e+00
3.29255e+02 0.00000e+00 -1.79716e+09 1.12351e+00 -2.23071e-02 -3.35098e+07 1.12673e+00 -1.35900e-02 -3.36479e-03 -7.72231e+07 -2.84131e+09 8.78141e-01 -1.42434e-02 8.83633e-01 1.48491e-01 89 0.00000e+00 2.43404e+00 0.00000e+00
3.07203e+02 0.00000e+00 -2.12824e+09 1.10838e+00 -1.77823e-02 -3.81142e+07 1.11234e+00 -1.12888e-02 -4.07871e-03 -7.38754e+07 -3.18885e+09 8.88311e-01 -1.18988e-02 8.94386e-01 1.33899e-01 90 0.00000e+00 2.31002e+00 0.00000e+00
