 Displacements:0   Displacements:1   Displacements:2   Equivalent_Plastic_Strain   Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   vtkOriginalPointIds   Points:0   Points:1   Points:2 
0.00000e+00 0.00000e+00 0.00000e+00 4.46323e-02 -1.04773e+10 5.41684e+03 0.00000e+00 5.86439e+03 -8.83394e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.66718e+09 0 0.00000e+00 0.00000e+00 0.00000e+00
0.00000e+00 9.15934e-04 0.00000e+00 4.45017e-02 -1.05068e+10 -7.99447e+06 0.00000e+00 -7.24073e+06 -8.86477e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.69522e+09 3 0.00000e+00 1.12027e-01 0.00000e+00
0.00000e+00 1.78525e-03 0.00000e+00 4.43961e-02 -1.05186e+10 -7.07040e+06 0.00000e+00 -6.25950e+06 -8.88177e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.71591e+09 5 0.00000e+00 2.24007e-01 0.00000e+00
0.00000e+00 2.66782e-03 0.00000e+00 4.50764e-02 -1.03447e+10 4.50693e+05 0.00000e+00 7.29365e+05 -8.71196e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.57353e+09 7 0.00000e+00 3.36001e-01 0.00000e+00
0.00000e+00 3.76840e-03 0.00000e+00 4.70529e-02 -9.84322e+09 -8.68045e+06 0.00000e+00 -7.80155e+06 -8.21289e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.13204e+09 9 0.00000e+00 4.48212e-01 0.00000e+00
0.00000e+00 5.32946e-03 0.00000e+00 5.02992e-02 -9.10655e+09 -1.27111e+07 0.00000e+00 -1.29103e+07 -7.45874e+09 0.00000e+00 0.00000e+00 0.00000e+00 -8.43778e+09 11 0.00000e+00 5.60885e-01 0.00000e+00
0.00000e+00 7.51173e-03 0.00000e+00 5.38552e-02 -8.43011e+09 -1.52541e+07 0.00000e+00 -1.43731e+07 -6.74020e+09 0.00000e+00 0.00000e+00 0.00000e+00 -7.75055e+09 13 0.00000e+00 6.74179e-01 0.00000e+00
0.00000e+00 1.02039e-02 0.00000e+00 5.65890e-02 -8.02607e+09 -1.89721e+07 0.00000e+00 -1.74842e+07 -6.28808e+09 0.00000e+00 0.00000e+00 0.00000e+00 -7.29624e+09 15 0.00000e+00 7.87982e-01 0.00000e+00
0.00000e+00 1.32176e-02 0.00000e+00 5.88861e-02 -7.81833e+09 -1.84103e+07 0.00000e+00 -1.62224e+07 -6.02667e+09 0.00000e+00 0.00000e+00 0.00000e+00 -7.01677e+09 17 0.00000e+00 9.02107e-01 0.00000e+00
0.00000e+00 1.65361e-02 0.00000e+00 6.17678e-02 -7.48931e+09 -1.35335e+07 0.00000e+00 -1.06802e+07 -5.65873e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.65976e+09 19 0.00000e+00 1.01654e+00 0.00000e+00
0.00000e+00 2.03776e-02 0.00000e+00 6.54823e-02 -6.99313e+09 -2.18267e+07 0.00000e+00 -1.78796e+07 -5.13427e+09 0.00000e+00 0.00000e+00 0.00000e+00 -6.17045e+09 623 0.00000e+00 1.13149e+00 0.00000e+00
0.00000e+00 2.47829e-02 0.00000e+00 6.93675e-02 -6.59917e+09 -1.46412e+07 0.00000e+00 -1.05710e+07 -4.69386e+09 0.00000e+00 0.00000e+00 0.00000e+00 -5.73622e+09 625 0.00000e+00 1.24700e+00 0.00000e+00
0.00000e+00 2.97047e-02 0.00000e+00 7.32894e-02 -6.34013e+09 -1.36218e+07 0.00000e+00 -7.70206e+06 -4.37612e+09 0.00000e+00 0.00000e+00 0.00000e+00 -5.41197e+09 627 0.00000e+00 1.36303e+00 0.00000e+00
0.00000e+00 3.51324e-02 0.00000e+00 7.78202e-02 -6.01500e+09 -1.36937e+07 0.00000e+00 -7.55532e+06 -4.00024e+09 0.00000e+00 0.00000e+00 0.00000e+00 -5.05700e+09 629 0.00000e+00 1.47957e+00 0.00000e+00
0.00000e+00 4.12487e-02 0.00000e+00 8.33896e-02 -5.64123e+09 -1.44771e+07 0.00000e+00 -7.89869e+06 -3.56887e+09 0.00000e+00 0.00000e+00 0.00000e+00 -4.65550e+09 631 0.00000e+00 1.59681e+00 0.00000e+00
