 mpm_F12   mpm_F11   epeq   Fp11   mpm_F22   mpm_S22   mpm_S21   mpm_F21   mpm_S12   mpm_V2   mpm_V1   mpm_S11   vtkOriginalPointIds   Points:0   Points:1   Points:2 
-2.96554e-04 9.38533e-01 5.21823e-02 9.58241e-01 1.00268e+00 -9.89823e+09 1.60710e+08 2.67977e-03 1.82425e+08 0.00000e+00 0.00000e+00 -1.08765e+10 0 -1.11755e-03 9.80937e-05 0.00000e+00
3.88421e-02 7.66028e-01 3.23611e-01 7.68693e-01 1.29965e+00 -1.87252e+08 1.64171e+08 -3.98836e-02 6.35319e+07 6.28894e+02 0.00000e+00 -9.00545e+08 4 -1.48200e-02 3.29392e+00 0.00000e+00
-6.62644e-04 9.33292e-01 6.71678e-02 9.48865e-01 1.02299e+00 -7.28331e+09 -2.03056e+07 -8.15500e-04 -2.05458e+07 1.94169e+02 0.00000e+00 -8.45294e+09 5 -1.56434e-03 1.01527e+00 0.00000e+00
1.03677e-02 7.16818e-01 3.93989e-01 7.19859e-01 1.39067e+00 -1.23177e+08 3.92840e+07 -5.57855e-02 -1.85981e+07 5.77729e+02 0.00000e+00 -9.45517e+08 84 -1.87908e-02 3.14374e+00 0.00000e+00
-3.25448e-02 7.38995e-01 3.61540e-01 7.42379e-01 1.34879e+00 -4.82796e+08 -5.01566e+07 -6.39166e-02 -8.97124e+07 5.17693e+02 0.00000e+00 -1.55906e+09 85 -1.71381e-02 2.99132e+00 0.00000e+00
-1.56160e-02 7.87156e-01 2.88467e-01 7.90831e-01 1.26400e+00 -5.84502e+08 -3.33545e+07 -5.25909e-02 -7.86698e+07 4.77022e+02 0.00000e+00 -1.56512e+09 86 -1.33744e-02 2.84560e+00 0.00000e+00
-1.51661e-02 8.17938e-01 2.42770e-01 8.21311e-01 1.21523e+00 -6.94882e+08 -3.00038e+07 -3.62689e-02 -6.01172e+07 4.29109e+02 0.00000e+00 -1.62821e+09 87 -1.08231e-02 2.70770e+00 0.00000e+00
-9.70942e-03 8.42813e-01 2.08720e-01 8.46406e-01 1.17789e+00 -8.57464e+08 -3.43302e+07 -2.47388e-02 -5.47198e+07 3.76564e+02 0.00000e+00 -1.77233e+09 88 -8.83786e-03 2.57415e+00 0.00000e+00
-8.62032e-03 8.61143e-01 1.78681e-01 8.67293e-01 1.14268e+00 -2.17490e+09 -5.65475e+07 -1.65198e-02 -7.59348e+07 3.60341e+02 0.00000e+00 -3.43962e+09 89 -7.27473e-03 2.44527e+00 0.00000e+00
-6.65733e-03 8.76421e-01 1.59976e-01 8.82602e-01 1.12260e+00 -2.21169e+09 -3.89129e+07 -1.20075e-02 -5.34068e+07 3.22764e+02 0.00000e+00 -3.37911e+09 90 -6.06391e-03 2.31897e+00 0.00000e+00
-5.96286e-03 8.89041e-01 1.42459e-01 8.95032e-01 1.10745e+00 -2.12629e+09 -2.60166e+07 -9.43327e-03 -3.65684e+07 2.96382e+02 0.00000e+00 -3.18518e+09 91 -5.05043e-03 2.19501e+00 0.00000e+00
-4.13599e-03 8.99140e-01 1.31345e-01 9.05326e-01 1.09513e+00 -2.16961e+09 -4.35054e+07 -7.28573e-03 -4.85332e+07 2.82127e+02 0.00000e+00 -3.15770e+09 92 -4.26334e-03 2.07240e+00 0.00000e+00
-3.57815e-03 9.06854e-01 1.14197e-01 9.15405e-01 1.07651e+00 -3.48766e+09 -3.41131e+07 -5.79075e-03 -4.21788e+07 2.88385e+02 0.00000e+00 -4.65392e+09 93 -3.63647e-03 1.95193e+00 0.00000e+00
-2.22946e-03 9.12662e-01 1.13048e-01 9.18953e-01 1.07778e+00 -2.31273e+09 -1.95723e+07 -3.87324e-03 -2.34450e+07 2.17735e+02 0.00000e+00 -3.24321e+09 94 -3.18975e-03 1.83157e+00 0.00000e+00
-1.81602e-03 9.16707e-01 9.70328e-02 9.27718e-01 1.05710e+00 -4.72431e+09 -2.55136e+07 -2.91000e-03 -3.04191e+07 2.47442e+02 0.00000e+00 -5.96119e+09 95 -2.85240e-03 1.71331e+00 0.00000e+00
-1.96789e-03 9.20491e-01 9.79339e-02 9.29403e-01 1.06009e+00 -3.62087e+09 -2.17366e+07 -2.38271e-03 -2.26760e+07 1.80067e+02 0.00000e+00 -4.68192e+09 96 -2.55578e-03 1.59506e+00 0.00000e+00
-1.84063e-03 9.24299e-01 8.56837e-02 9.36330e-01 1.04518e+00 -5.26820e+09 -2.23201e+07 -2.18220e-03 -2.39563e+07 2.05031e+02 0.00000e+00 -6.46364e+09 97 -2.25618e-03 1.47839e+00 0.00000e+00
-1.16952e-03 9.27310e-01 8.84214e-02 9.37091e-01 1.05045e+00 -4.00500e+09 -3.30212e+07 -1.88809e-03 -3.36915e+07 1.55553e+02 0.00000e+00 -5.00730e+09 98 -2.02386e-03 1.36149e+00 0.00000e+00
-1.13368e-03 9.29613e-01 7.63728e-02 9.42923e-01 1.03466e+00 -6.01576e+09 -2.08041e+07 -1.66888e-03 -2.36873e+07 2.01399e+02 0.00000e+00 -7.18350e+09 99 -1.84757e-03 1.24609e+00 0.00000e+00
-9.41637e-04 9.31688e-01 8.39663e-02 9.40394e-01 1.04800e+00 -3.55272e+09 -2.31009e+07 -1.13213e-03 -2.21980e+07 1.19883e+02 0.00000e+00 -4.49250e+09 100 -1.69310e-03 1.12968e+00 0.00000e+00
-7.91612e-04 9.34747e-01 7.69004e-02 9.44821e-01 1.03912e+00 -4.40866e+09 -1.54708e+07 -7.77928e-04 -1.45692e+07 7.49951e+01 0.00000e+00 -5.35758e+09 101 -1.45234e-03 8.99718e-01 0.00000e+00
-6.13039e-04 9.36151e-01 5.88389e-02 9.54103e-01 1.01211e+00 -8.61677e+09 -2.33259e+07 -4.98589e-04 -2.11688e+07 1.48224e+02 0.00000e+00 -9.76978e+09 102 -1.34755e-03 7.86374e-01 0.00000e+00
-2.37186e-04 9.37002e-01 6.64735e-02 9.50751e-01 1.02438e+00 -6.40381e+09 -6.33240e+06 -4.01915e-04 -7.22816e+06 3.72516e+01 0.00000e+00 -7.43886e+09 103 -1.27956e-03 6.72336e-01 0.00000e+00
-9.67618e-05 9.37335e-01 5.42902e-02 9.56819e-01 1.00599e+00 -9.46440e+09 -9.95945e+06 -1.85248e-04 -1.03228e+07 8.70789e+01 0.00000e+00 -1.06078e+10 104 -1.25568e-03 5.59949e-01 0.00000e+00
-1.57188e-04 9.37589e-01 5.84429e-02 9.54838e-01 1.01244e+00 -8.30631e+09 -5.69298e+06 -1.83079e-04 -5.68241e+06 1.60467e+01 0.00000e+00 -9.40063e+09 105 -1.23832e-03 4.47242e-01 0.00000e+00
-2.00829e-05 9.37767e-01 5.29113e-02 9.57667e-01 1.00418e+00 -9.70284e+09 1.56198e+06 2.61412e-05 1.93483e+06 4.09410e+01 0.00000e+00 -1.08371e+10 106 -1.22096e-03 3.35413e-01 0.00000e+00
5.20506e-05 9.37735e-01 5.42587e-02 9.56951e-01 1.00619e+00 -9.35764e+09 5.48434e+06 1.78671e-05 4.81320e+06 4.31950e+00 0.00000e+00 -1.04787e+10 107 -1.23908e-03 2.23430e-01 0.00000e+00
-2.77085e-04 9.37960e-01 5.35658e-02 9.57449e-01 1.00482e+00 -9.57976e+09 9.82359e+07 2.63767e-03 1.22324e+08 1.69523e+01 0.00000e+00 -1.06601e+10 108 -1.23393e-03 1.11813e-01 0.00000e+00
