 J   velocity_y   velocity_x   Piola_22   F_22   F_21   Piola_21   pl_F_22   pl_F_21   F_12   Piola_12   Piola_11   F_11   pl_F_12   pl_F_11   epeq   vtkOriginalPointIds   Points:0   Points:1   Points:2 
9.44749e-01 0.00000e+00 0.00000e+00 -9.28302e+09 9.91623e-01 1.36803e-02 -3.76004e+07 1.00884e+00 4.60337e-03 -4.89582e-03 1.49191e+08 -1.01104e+10 9.52662e-01 4.54718e-03 9.71979e-01 3.36874e-02 0 0.00000e+00 0.00000e+00 0.00000e+00
9.42739e-01 0.00000e+00 -8.54136e+00 -9.54353e+09 1.00310e+00 2.51253e-05 -4.55695e+07 1.02132e+00 -2.23313e-06 -5.36684e-04 -3.73217e+07 -1.06634e+10 9.39824e-01 -1.78030e-05 9.59689e-01 4.14759e-02 1 9.35409e-01 0.00000e+00 0.00000e+00
9.93002e-01 0.00000e+00 -2.54028e+01 -1.07828e+09 9.99147e-01 -2.24519e-03 6.92099e+07 1.00089e+00 3.56163e-04 3.79613e-03 6.15263e+07 -1.43263e+09 9.93841e-01 3.56297e-04 9.97816e-01 2.23980e-03 2 2.82881e+00 0.00000e+00 0.00000e+00
9.44521e-01 0.00000e+00 -1.34880e+00 -9.23611e+09 1.00096e+00 -1.88738e-02 2.48845e+08 1.01883e+00 4.05844e-03 2.77479e-02 -2.15172e+08 -1.02671e+10 9.43096e-01 3.97798e-03 9.62488e-01 4.04288e-02 9 1.00420e-01 0.00000e+00 0.00000e+00
9.44397e-01 0.00000e+00 -6.10772e+00 -9.22863e+09 1.00459e+00 1.04667e-02 -3.37221e+07 1.02219e+00 3.10058e-03 -4.69127e-03 1.19209e+08 -1.03339e+10 9.40031e-01 3.10325e-03 9.59304e-01 4.31601e-02 10 2.04488e-01 0.00000e+00 0.00000e+00
9.44263e-01 0.00000e+00 -6.49396e+00 -9.26706e+09 1.00291e+00 -8.47098e-04 1.11135e+07 1.02052e+00 1.37141e-03 3.38233e-03 -2.95489e+07 -1.03344e+10 9.41522e-01 1.35621e-03 9.60765e-01 4.08475e-02 11 3.09017e-01 0.00000e+00 0.00000e+00
9.44028e-01 0.00000e+00 -6.96274e+00 -9.30235e+09 1.00359e+00 -4.25709e-05 8.57342e+06 1.02129e+00 9.38988e-04 1.82109e-03 -9.28492e+06 -1.03939e+10 9.40655e-01 9.31343e-04 9.59995e-01 4.15593e-02 12 4.13479e-01 0.00000e+00 0.00000e+00
9.43804e-01 0.00000e+00 -7.63507e+00 -9.34116e+09 1.00380e+00 5.56068e-04 -1.50771e+07 1.02160e+00 5.49333e-04 2.89848e-04 -1.10340e+07 -1.04438e+10 9.40228e-01 5.37723e-04 9.59653e-01 4.18343e-02 13 5.17866e-01 0.00000e+00 0.00000e+00
9.43557e-01 0.00000e+00 -8.01111e+00 -9.38742e+09 1.00367e+00 1.97416e-04 -2.41314e+07 1.02156e+00 3.04709e-04 8.70968e-05 -2.13535e+07 -1.04944e+10 9.40107e-01 2.90570e-04 9.59630e-01 4.17549e-02 14 6.22257e-01 0.00000e+00 0.00000e+00
9.43293e-01 0.00000e+00 -8.29403e+00 -9.43714e+09 1.00353e+00 1.12147e-04 -3.23019e+07 1.02153e+00 1.56917e-04 -1.88509e-04 -2.73046e+07 -1.05492e+10 9.39975e-01 1.41628e-04 9.59607e-01 4.17011e-02 15 7.26644e-01 0.00000e+00 0.00000e+00
9.43019e-01 0.00000e+00 -8.46812e+00 -9.48937e+09 1.00334e+00 5.56737e-05 -3.93879e+07 1.02145e+00 5.98786e-05 -3.87128e-04 -3.26469e+07 -1.06057e+10 9.39881e-01 4.41323e-05 9.59626e-01 4.16081e-02 16 8.31027e-01 0.00000e+00 0.00000e+00
9.42458e-01 0.00000e+00 -8.51348e+00 -9.59866e+09 1.00285e+00 -1.22488e-05 -5.04923e+07 1.02118e+00 -3.73856e-05 -6.17000e-04 -4.15426e+07 -1.07218e+10 9.39784e-01 -5.22959e-05 9.59774e-01 4.13265e-02 17 1.03979e+00 0.00000e+00 0.00000e+00
9.42179e-01 0.00000e+00 -8.39465e+00 -9.65405e+09 1.00259e+00 -3.25174e-05 -5.44146e+07 1.02105e+00 -5.40086e-05 -6.68854e-04 -4.49129e+07 -1.07804e+10 9.39744e-01 -6.78976e-05 9.59860e-01 4.11834e-02 18 1.14417e+00 0.00000e+00 0.00000e+00
9.41902e-01 0.00000e+00 -8.19701e+00 -9.70910e+09 1.00235e+00 -3.56104e-05 -5.75803e+07 1.02093e+00 -5.95809e-05 -7.08590e-04 -4.75024e+07 -1.08387e+10 9.39693e-01 -7.22454e-05 9.59935e-01 4.10594e-02 19 1.24856e+00 0.00000e+00 0.00000e+00
