 Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   Equivalent_Plastic_Strain   Displacements:0   Displacements:1   Displacements:2   vtkOriginalPointIds   Points:0   Points:1   Points:2 
-1.05140e+10 1.88092e+03 0.00000e+00 2.03134e+03 -8.85385e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.66884e+09 4.47515e-02 0.00000e+00 0.00000e+00 0.00000e+00 0 0.00000e+00 0.00000e+00 0.00000e+00
-1.04541e+10 -7.44339e+04 0.00000e+00 -2.41048e+05 -8.81597e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.69250e+09 4.63520e-02 -7.00546e-03 0.00000e+00 0.00000e+00 1 1.04106e-01 0.00000e+00 0.00000e+00
-1.04724e+10 -1.95993e+06 0.00000e+00 -2.62120e+06 -8.82399e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.74756e+09 4.88110e-02 -1.39702e-02 0.00000e+00 0.00000e+00 20 2.08252e-01 0.00000e+00 0.00000e+00
-1.04945e+10 -3.74159e+06 0.00000e+00 -4.88799e+06 -8.83091e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.74682e+09 4.95211e-02 -2.09756e-02 0.00000e+00 0.00000e+00 30 3.12357e-01 0.00000e+00 0.00000e+00
-1.04596e+10 -5.81445e+06 0.00000e+00 -7.47426e+06 -8.85757e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.76339e+09 4.91064e-02 -2.79048e-02 0.00000e+00 0.00000e+00 40 4.16539e-01 0.00000e+00 0.00000e+00
-1.05938e+10 -5.87841e+06 0.00000e+00 -7.52637e+06 -8.98928e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.86354e+09 4.81482e-02 -3.48527e-02 0.00000e+00 0.00000e+00 50 5.20703e-01 0.00000e+00 0.00000e+00
-1.03634e+10 -1.19067e+07 0.00000e+00 -1.48400e+07 -8.95869e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.82325e+09 4.71888e-02 -4.18418e-02 0.00000e+00 0.00000e+00 60 6.24825e-01 0.00000e+00 0.00000e+00
-1.06428e+10 -1.35578e+07 0.00000e+00 -1.69618e+07 -9.19850e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.98144e+09 4.65583e-02 -4.85756e-02 0.00000e+00 0.00000e+00 70 7.29202e-01 0.00000e+00 0.00000e+00
-1.03920e+10 -1.34081e+07 0.00000e+00 -1.66054e+07 -9.17445e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.93549e+09 4.57717e-02 -5.57369e-02 0.00000e+00 0.00000e+00 80 8.33152e-01 0.00000e+00 0.00000e+00
-1.06150e+10 -1.50467e+07 0.00000e+00 -1.86524e+07 -9.38882e+09 0.00000e+00 0.00000e+00 0.00000e+00 -1.00733e+10 4.51175e-02 -6.22330e-02 0.00000e+00 0.00000e+00 90 9.37767e-01 0.00000e+00 0.00000e+00
-1.06740e+10 -1.26334e+07 0.00000e+00 -1.55580e+07 -9.50730e+09 0.00000e+00 0.00000e+00 0.00000e+00 -1.01461e+10 4.44766e-02 -6.95065e-02 0.00000e+00 0.00000e+00 100 1.04160e+00 0.00000e+00 0.00000e+00
