 mpm_F12   mpm_F11   epeq   Fp11   mpm_F22   mpm_S22   mpm_S21   mpm_F21   mpm_S12   mpm_V2   mpm_V1   mpm_S11   vtkOriginalPointIds   Points:0   Points:1   Points:2 
-3.96491e-04 9.38434e-01 4.99336e-02 9.57975e-01 1.00319e+00 -9.82626e+09 1.59110e+08 3.19295e-03 1.87095e+08 0.00000e+00 0.00000e+00 -1.07995e+10 0 -2.21215e-03 1.35513e-04 0.00000e+00
-1.60206e-04 9.40121e-01 5.80697e-02 9.58085e-01 1.00233e+00 -9.77700e+09 -2.62157e+07 -1.52006e-04 -2.46018e+07 0.00000e+00 -2.09399e+01 -1.03906e+10 1 9.36923e-01 1.71432e-04 0.00000e+00
-1.49665e-06 9.95565e-01 1.23034e-03 9.98770e-01 1.00000e+00 -6.07063e+08 -1.64802e+05 -2.08104e-06 -1.65268e+05 0.00000e+00 -1.87826e+02 -1.01177e+09 2 2.82526e+00 1.79360e-07 0.00000e+00
-5.99983e-04 9.37409e-01 4.91298e-02 9.56732e-01 1.00605e+00 -9.44372e+09 -4.10238e+07 -3.40183e-04 -3.61646e+07 0.00000e+00 1.99361e-01 -1.05627e+10 9 1.03619e-01 2.44165e-04 0.00000e+00
5.49213e-06 9.35956e-01 6.13831e-02 9.56259e-01 1.00553e+00 -9.79558e+09 -1.94008e+06 -1.74194e-04 -3.76613e+06 0.00000e+00 -2.81403e+00 -1.10068e+10 10 2.07695e-01 2.28596e-04 0.00000e+00
3.07964e-04 9.36430e-01 5.70302e-02 9.56775e-01 1.00497e+00 -9.81055e+09 1.74744e+06 -3.84969e-04 -5.59672e+06 0.00000e+00 2.22251e+00 -1.10129e+10 11 3.11731e-01 2.34756e-04 0.00000e+00
1.98363e-04 9.38923e-01 6.22965e-02 9.57975e-01 1.00426e+00 -9.49118e+09 -4.78332e+06 -3.25584e-04 -9.75539e+06 0.00000e+00 -5.62308e+00 -1.05137e+10 12 4.15888e-01 2.26780e-04 0.00000e+00
1.09433e-04 9.39656e-01 5.83260e-02 9.58016e-01 1.00372e+00 -9.49929e+09 -5.61113e+06 -2.20706e-04 -8.56578e+06 0.00000e+00 -1.49746e+01 -1.03555e+10 13 5.20187e-01 2.21164e-04 0.00000e+00
-3.83664e-05 9.36951e-01 6.26120e-02 9.57308e-01 1.00333e+00 -1.00122e+10 -9.73906e+06 -1.64159e-04 -1.05345e+07 0.00000e+00 -7.73039e+00 -1.11398e+10 14 6.24495e-01 2.15140e-04 0.00000e+00
-1.31994e-04 9.35871e-01 5.94713e-02 9.57188e-01 1.00300e+00 -1.02707e+10 -1.54191e+07 -1.69930e-04 -1.49848e+07 0.00000e+00 8.38301e+00 -1.15050e+10 15 7.28620e-01 2.05531e-04 0.00000e+00
-1.61911e-04 9.38158e-01 6.09733e-02 9.58092e-01 1.00265e+00 -9.92254e+09 -2.92396e+07 -1.74077e-04 -2.76617e+07 0.00000e+00 2.31238e+00 -1.09733e+10 16 8.32707e-01 1.90578e-04 0.00000e+00
-1.93374e-04 9.39173e-01 6.02982e-02 9.57884e-01 1.00204e+00 -9.99399e+09 -2.56711e+07 -1.30741e-04 -2.35267e+07 0.00000e+00 -1.96198e+01 -1.06909e+10 17 1.04134e+00 1.50983e-04 0.00000e+00
-2.40850e-04 9.37025e-01 5.77682e-02 9.57826e-01 1.00179e+00 -1.03399e+10 -2.81844e+07 -1.27257e-04 -2.53240e+07 0.00000e+00 5.72521e+00 -1.13951e+10 18 1.14571e+00 1.32589e-04 0.00000e+00
-2.39639e-04 9.36503e-01 5.93439e-02 9.58136e-01 1.00152e+00 -1.04365e+10 -3.34559e+07 -1.38060e-04 -3.03924e+07 0.00000e+00 1.00535e+01 -1.16473e+10 19 1.24982e+00 1.15211e-04 0.00000e+00
-1.97206e-04 9.38576e-01 5.68922e-02 9.58196e-01 1.00123e+00 -1.02574e+10 -3.01470e+07 -1.49585e-04 -2.78884e+07 0.00000e+00 -1.18964e+01 -1.10326e+10 20 1.35387e+00 9.52776e-05 0.00000e+00
-1.62051e-04 9.40518e-01 5.88450e-02 9.58217e-01 1.00094e+00 -1.01020e+10 -2.38690e+07 -1.38518e-04 -2.22397e+07 0.00000e+00 -1.97434e+01 -1.04571e+10 21 1.45822e+00 7.31186e-05 0.00000e+00
-1.40551e-04 9.38930e-01 5.64450e-02 9.58281e-01 1.00070e+00 -1.03598e+10 -1.90385e+07 -1.05637e-04 -1.75695e+07 0.00000e+00 -1.72797e+00 -1.10003e+10 22 1.56273e+00 5.41682e-05 0.00000e+00
-1.17934e-04 9.35928e-01 5.83868e-02 9.58326e-01 1.00051e+00 -1.07871e+10 -1.11146e+07 -8.27245e-05 -1.01168e+07 0.00000e+00 1.02911e+01 -1.19880e+10 23 1.66696e+00 3.96957e-05 0.00000e+00
-9.12966e-05 9.37131e-01 5.54511e-02 9.59099e-01 1.00036e+00 -1.06074e+10 -1.24956e+07 -6.92092e-05 -1.15509e+07 0.00000e+00 1.52457e+00 -1.17543e+10 24 1.77097e+00 2.82083e-05 0.00000e+00
-6.61232e-05 9.42012e-01 5.71131e-02 9.59369e-01 1.00024e+00 -1.00245e+10 -6.15407e+06 -5.14232e-05 -5.66109e+06 0.00000e+00 -1.26630e+01 -1.02695e+10 25 1.87529e+00 1.89748e-05 0.00000e+00
-4.65349e-05 9.41598e-01 5.52029e-02 9.58940e-01 1.00015e+00 -1.01336e+10 -2.50559e+06 -3.35352e-05 -2.23401e+06 0.00000e+00 -1.81491e+01 -1.03371e+10 26 1.97990e+00 1.19623e-05 0.00000e+00
-3.22126e-05 9.34645e-01 5.13437e-02 9.54233e-01 1.00010e+00 -1.13795e+10 -1.91578e+06 -2.17829e-05 -1.67971e+06 0.00000e+00 3.51822e+00 -1.17458e+10 27 2.08426e+00 7.74451e-06 0.00000e+00
-2.11563e-05 9.30220e-01 4.81315e-02 9.53008e-01 1.00006e+00 -1.20329e+10 -2.42242e+06 -1.63777e-05 -2.21106e+06 0.00000e+00 5.71124e+01 -1.29675e+10 28 2.18816e+00 4.90497e-06 0.00000e+00
-1.27931e-05 9.29613e-01 4.69157e-02 9.54168e-01 1.00003e+00 -1.20229e+10 -6.17492e+05 -1.03340e-05 -5.58361e+05 0.00000e+00 6.48026e+01 -1.33696e+10 29 2.29153e+00 2.77019e-06 0.00000e+00
-7.25157e-06 9.38350e-01 4.06770e-02 9.60139e-01 1.00002e+00 -1.04673e+10 -2.46252e+05 -5.37219e-06 -2.17404e+05 0.00000e+00 2.36894e+01 -1.15860e+10 30 2.39507e+00 1.46387e-06 0.00000e+00
-4.08288e-06 9.57097e-01 2.74917e-02 9.72883e-01 1.00001e+00 -7.17219e+09 -1.04927e+05 -2.67155e-06 -9.22855e+04 0.00000e+00 -3.18218e+01 -7.91468e+09 31 2.50007e+00 8.23820e-07 0.00000e+00
-2.27017e-06 9.70443e-01 1.82629e-02 9.81903e-01 1.00001e+00 -4.86538e+09 -5.45386e+04 -1.31500e-06 -4.90185e+04 0.00000e+00 -1.14761e+02 -5.42774e+09 32 2.60668e+00 5.02738e-07 0.00000e+00
-1.42463e-06 9.87883e-01 6.39272e-03 9.93628e-01 1.00000e+00 -1.89740e+09 -4.08353e+04 -5.14822e-07 -3.88348e+04 0.00000e+00 -1.58828e+02 -2.32632e+09 33 2.71523e+00 3.77165e-07 0.00000e+00
