 Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   Equivalent_Plastic_Strain   Displacements:0   Displacements:1   Displacements:2   vtkValidPointMask   Time   PointCoordinates:0   PointCoordinates:1   PointCoordinates:2 
-6.09126e+09 -2.74423e+07 0.00000e+00 -2.03084e+07 -5.22011e+09 0.00000e+00 0.00000e+00 0.00000e+00 -5.31097e+09 2.14853e-02 0.00000e+00 2.88165e-04 0.00000e+00 1 1.97416e-05 0.00000e+00 3.00029e+00 0.00000e+00
-8.22580e+09 -2.20366e+08 0.00000e+00 -1.38884e+08 -6.62119e+09 0.00000e+00 0.00000e+00 0.00000e+00 -7.25784e+09 4.68516e-02 0.00000e+00 2.57878e-03 0.00000e+00 1 3.28963e-05 0.00000e+00 3.00258e+00 0.00000e+00
-5.61581e+09 -4.04642e+08 0.00000e+00 -2.73684e+08 -3.78351e+09 0.00000e+00 0.00000e+00 0.00000e+00 -4.93058e+09 7.65623e-02 0.00000e+00 7.40678e-03 0.00000e+00 1 4.61035e-05 0.00000e+00 3.00741e+00 0.00000e+00
-1.53714e+09 -3.76279e+08 0.00000e+00 -3.62719e+08 4.21528e+07 0.00000e+00 0.00000e+00 0.00000e+00 -1.12406e+09 1.04944e-01 0.00000e+00 1.36714e-02 0.00000e+00 1 5.93511e-05 0.00000e+00 3.01367e+00 0.00000e+00
1.03151e+08 -2.76494e+08 0.00000e+00 -3.50684e+08 1.67929e+09 0.00000e+00 0.00000e+00 0.00000e+00 7.94351e+08 1.26211e-01 0.00000e+00 1.98672e-02 0.00000e+00 1 7.25676e-05 0.00000e+00 3.01987e+00 0.00000e+00
-1.65860e+09 -2.61653e+08 0.00000e+00 -2.05642e+08 4.80773e+08 0.00000e+00 0.00000e+00 0.00000e+00 -9.44101e+07 1.41619e-01 0.00000e+00 2.53329e-02 0.00000e+00 1 8.58209e-05 0.00000e+00 3.02533e+00 0.00000e+00
-4.46954e+09 -3.67031e+08 0.00000e+00 -1.17456e+08 -1.59647e+09 0.00000e+00 0.00000e+00 0.00000e+00 -2.18020e+09 1.54176e-01 0.00000e+00 3.05242e-02 0.00000e+00 1 9.90410e-05 0.00000e+00 3.03052e+00 0.00000e+00
-5.35794e+09 -5.63916e+08 0.00000e+00 -2.78075e+08 -2.06579e+09 0.00000e+00 0.00000e+00 0.00000e+00 -3.23001e+09 1.64051e-01 0.00000e+00 3.62517e-02 0.00000e+00 1 1.12300e-04 0.00000e+00 3.03625e+00 0.00000e+00
-3.49714e+09 -6.35978e+08 0.00000e+00 -5.08346e+08 -6.69708e+08 0.00000e+00 0.00000e+00 0.00000e+00 -2.48613e+09 1.74256e-01 0.00000e+00 4.27370e-02 0.00000e+00 1 1.25518e-04 0.00000e+00 3.04274e+00 0.00000e+00
-1.13799e+09 -4.93177e+08 0.00000e+00 -5.40987e+08 1.02910e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.01170e+08 1.84904e-01 0.00000e+00 4.94757e-02 0.00000e+00 1 1.38745e-04 0.00000e+00 3.04948e+00 0.00000e+00
