 N   min(velocity_y)   q1(velocity_y)   med(velocity_y)   q3(velocity_y)   max(velocity_y)   avg(velocity_y)   std(velocity_y)   min(velocity_x)   q1(velocity_x)   med(velocity_x)   q3(velocity_x)   max(velocity_x)   avg(velocity_x)   std(velocity_x)   min(Piola_22)   q1(Piola_22)   med(Piola_22)   q3(Piola_22)   max(Piola_22)   avg(Piola_22)   std(Piola_22)   min(F_22)   q1(F_22)   med(F_22)   q3(F_22)   max(F_22)   avg(F_22)   std(F_22)   min(F_21)   q1(F_21)   med(F_21)   q3(F_21)   max(F_21)   avg(F_21)   std(F_21)   min(Piola_21)   q1(Piola_21)   med(Piola_21)   q3(Piola_21)   max(Piola_21)   avg(Piola_21)   std(Piola_21)   min(pl_F_22)   q1(pl_F_22)   med(pl_F_22)   q3(pl_F_22)   max(pl_F_22)   avg(pl_F_22)   std(pl_F_22)   min(pl_F_21)   q1(pl_F_21)   med(pl_F_21)   q3(pl_F_21)   max(pl_F_21)   avg(pl_F_21)   std(pl_F_21)   min(F_12)   q1(F_12)   med(F_12)   q3(F_12)   max(F_12)   avg(F_12)   std(F_12)   min(Piola_12)   q1(Piola_12)   med(Piola_12)   q3(Piola_12)   max(Piola_12)   avg(Piola_12)   std(Piola_12)   min(Piola_11)   q1(Piola_11)   med(Piola_11)   q3(Piola_11)   max(Piola_11)   avg(Piola_11)   std(Piola_11)   min(F_11)   q1(F_11)   med(F_11)   q3(F_11)   max(F_11)   avg(F_11)   std(F_11)   min(pl_F_12)   q1(pl_F_12)   med(pl_F_12)   q3(pl_F_12)   max(pl_F_12)   avg(pl_F_12)   std(pl_F_12)   min(pl_F_11)   q1(pl_F_11)   med(pl_F_11)   q3(pl_F_11)   max(pl_F_11)   avg(pl_F_11)   std(pl_F_11)   min(epeq)   q1(epeq)   med(epeq)   q3(epeq)   max(epeq)   avg(epeq)   std(epeq)   min(vtkOriginalPointIds)   q1(vtkOriginalPointIds)   med(vtkOriginalPointIds)   q3(vtkOriginalPointIds)   max(vtkOriginalPointIds)   avg(vtkOriginalPointIds)   std(vtkOriginalPointIds)   min(X)   q1(X)   med(X)   q3(X)   max(X)   avg(X)   std(X)   min(Y)   q1(Y)   med(Y)   q3(Y)   max(Y)   avg(Y)   std(Y)   min(Z)   q1(Z)   med(Z)   q3(Z)   max(Z)   avg(Z)   std(Z)   vtkValidPointMask   Time 
1.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -0.00000e+00 -0.00000e+00 -0.00000e+00 -0.00000e+00 -0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 4 4 4 4 4 4.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 3.00000e+00 3.00000e+00 3.00000e+00 3.00000e+00 3.00000e+00 3.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 0.00000e+00
1.00000e+00 1.00542e-12 1.00542e-12 1.00542e-12 1.00542e-12 1.00542e-12 1.00542e-12 0.00000e+00 -2.50000e+01 -2.50000e+01 -2.50000e+01 -2.50000e+01 -2.50000e+01 -2.50000e+01 0.00000e+00 -6.37417e+09 -6.37417e+09 -6.37417e+09 -6.37417e+09 -6.37417e+09 -6.37417e+09 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 0.00000e+00 -1.57090e-18 -1.57090e-18 -1.57090e-18 -1.57090e-18 -1.57090e-18 -1.57090e-18 0.00000e+00 -1.70129e-05 -1.70129e-05 -1.70129e-05 -1.70129e-05 -1.70129e-05 -1.70129e-05 0.00000e+00 1.01222e+00 1.01222e+00 1.01222e+00 1.01222e+00 1.01222e+00 1.01222e+00 0.00000e+00 -6.47024e-16 -6.47024e-16 -6.47024e-16 -6.47024e-16 -6.47024e-16 -6.47024e-16 0.00000e+00 -1.39405e-15 -1.39405e-15 -1.39405e-15 -1.39405e-15 -1.39405e-15 -1.39405e-15 0.00000e+00 -7.48654e-06 -7.48654e-06 -7.48654e-06 -7.48654e-06 -7.48654e-06 -7.48654e-06 0.00000e+00 -7.04646e+09 -7.04646e+09 -7.04646e+09 -7.04646e+09 -7.04646e+09 -7.04646e+09 0.00000e+00 9.61703e-01 9.61703e-01 9.61703e-01 9.61703e-01 9.61703e-01 9.61703e-01 0.00000e+00 -6.47024e-16 -6.47024e-16 -6.47024e-16 -6.47024e-16 -6.47024e-16 -6.47024e-16 0.00000e+00 9.76003e-01 9.76003e-01 9.76003e-01 9.76003e-01 9.76003e-01 9.76003e-01 0.00000e+00 2.42894e-02 2.42894e-02 2.42894e-02 2.42894e-02 2.42894e-02 2.42894e-02 0.00000e+00 4 4 4 4 4 4.00000e+00 0.00000e+00 -4.25525e-04 -4.25525e-04 -4.25525e-04 -4.25525e-04 -4.25525e-04 -4.25525e-04 0.00000e+00 3.00000e+00 3.00000e+00 3.00000e+00 3.00000e+00 3.00000e+00 3.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 1.70210e-05
1.00000e+00 1.03130e+02 1.03130e+02 1.03130e+02 1.03130e+02 1.03130e+02 1.03130e+02 0.00000e+00 -6.98110e+01 -6.98110e+01 -6.98110e+01 -6.98110e+01 -6.98110e+01 -6.98110e+01 0.00000e+00 -6.36272e+09 -6.36272e+09 -6.36272e+09 -6.36272e+09 -6.36272e+09 -6.36272e+09 0.00000e+00 1.00967e+00 1.00967e+00 1.00967e+00 1.00967e+00 1.00967e+00 1.00967e+00 0.00000e+00 -4.45517e-03 -4.45517e-03 -4.45517e-03 -4.45517e-03 -4.45517e-03 -4.45517e-03 0.00000e+00 -1.29651e+08 -1.29651e+08 -1.29651e+08 -1.29651e+08 -1.29651e+08 -1.29651e+08 0.00000e+00 1.02179e+00 1.02179e+00 1.02179e+00 1.02179e+00 1.02179e+00 1.02179e+00 0.00000e+00 -4.12601e-03 -4.12601e-03 -4.12601e-03 -4.12601e-03 -4.12601e-03 -4.12601e-03 0.00000e+00 -5.01538e-03 -5.01538e-03 -5.01538e-03 -5.01538e-03 -5.01538e-03 -5.01538e-03 0.00000e+00 -1.22381e+08 -1.22381e+08 -1.22381e+08 -1.22381e+08 -1.22381e+08 -1.22381e+08 0.00000e+00 -7.19807e+09 -7.19807e+09 -7.19807e+09 -7.19807e+09 -7.19807e+09 -7.19807e+09 0.00000e+00 9.51842e-01 9.51842e-01 9.51842e-01 9.51842e-01 9.51842e-01 9.51842e-01 0.00000e+00 -4.27911e-03 -4.27911e-03 -4.27911e-03 -4.27911e-03 -4.27911e-03 -4.27911e-03 0.00000e+00 9.65943e-01 9.65943e-01 9.65943e-01 9.65943e-01 9.65943e-01 9.65943e-01 0.00000e+00 3.67410e-02 3.67410e-02 3.67410e-02 3.67410e-02 3.67410e-02 3.67410e-02 0.00000e+00 4 4 4 4 4 4.00000e+00 0.00000e+00 -1.57098e-03 -1.57098e-03 -1.57098e-03 -1.57098e-03 -1.57098e-03 -1.57098e-03 0.00000e+00 3.00169e+00 3.00169e+00 3.00169e+00 3.00169e+00 3.00169e+00 3.00169e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 3.34290e-05
1.00000e+00 1.48211e+02 1.48211e+02 1.48211e+02 1.48211e+02 1.48211e+02 1.48211e+02 0.00000e+00 -1.71059e+01 -1.71059e+01 -1.71059e+01 -1.71059e+01 -1.71059e+01 -1.71059e+01 0.00000e+00 -3.62594e+09 -3.62594e+09 -3.62594e+09 -3.62594e+09 -3.62594e+09 -3.62594e+09 0.00000e+00 1.03755e+00 1.03755e+00 1.03755e+00 1.03755e+00 1.03755e+00 1.03755e+00 0.00000e+00 -1.01428e-02 -1.01428e-02 -1.01428e-02 -1.01428e-02 -1.01428e-02 -1.01428e-02 0.00000e+00 -6.72792e+07 -6.72792e+07 -6.72792e+07 -6.72792e+07 -6.72792e+07 -6.72792e+07 0.00000e+00 1.04418e+00 1.04418e+00 1.04418e+00 1.04418e+00 1.04418e+00 1.04418e+00 0.00000e+00 -7.79101e-03 -7.79101e-03 -7.79101e-03 -7.79101e-03 -7.79101e-03 -7.79101e-03 0.00000e+00 -5.84826e-03 -5.84826e-03 -5.84826e-03 -5.84826e-03 -5.84826e-03 -5.84826e-03 0.00000e+00 -8.43469e+07 -8.43469e+07 -8.43469e+07 -8.43469e+07 -8.43469e+07 -8.43469e+07 0.00000e+00 -4.47757e+09 -4.47757e+09 -4.47757e+09 -4.47757e+09 -4.47757e+09 -4.47757e+09 0.00000e+00 9.40926e-01 9.40926e-01 9.40926e-01 9.40926e-01 9.40926e-01 9.40926e-01 0.00000e+00 -7.98858e-03 -7.98858e-03 -7.98858e-03 -7.98858e-03 -7.98858e-03 -7.98858e-03 0.00000e+00 9.49750e-01 9.49750e-01 9.49750e-01 9.49750e-01 9.49750e-01 9.49750e-01 0.00000e+00 5.99118e-02 5.99118e-02 5.99118e-02 5.99118e-02 5.99118e-02 5.99118e-02 0.00000e+00 4 4 4 4 4 4.00000e+00 0.00000e+00 -1.84858e-03 -1.84858e-03 -1.84858e-03 -1.84858e-03 -1.84858e-03 -1.84858e-03 0.00000e+00 3.00410e+00 3.00410e+00 3.00410e+00 3.00410e+00 3.00410e+00 3.00410e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 4.96572e-05
1.00000e+00 1.95627e+02 1.95627e+02 1.95627e+02 1.95627e+02 1.95627e+02 1.95627e+02 0.00000e+00 -3.56520e+01 -3.56520e+01 -3.56520e+01 -3.56520e+01 -3.56520e+01 -3.56520e+01 0.00000e+00 -3.13818e+09 -3.13818e+09 -3.13818e+09 -3.13818e+09 -3.13818e+09 -3.13818e+09 0.00000e+00 1.04973e+00 1.04973e+00 1.04973e+00 1.04973e+00 1.04973e+00 1.04973e+00 0.00000e+00 -1.49244e-02 -1.49244e-02 -1.49244e-02 -1.49244e-02 -1.49244e-02 -1.49244e-02 0.00000e+00 -9.02015e+07 -9.02015e+07 -9.02015e+07 -9.02015e+07 -9.02015e+07 -9.02015e+07 0.00000e+00 1.05550e+00 1.05550e+00 1.05550e+00 1.05550e+00 1.05550e+00 1.05550e+00 0.00000e+00 -1.06464e-02 -1.06464e-02 -1.06464e-02 -1.06464e-02 -1.06464e-02 -1.06464e-02 0.00000e+00 -6.86682e-03 -6.86682e-03 -6.86682e-03 -6.86682e-03 -6.86682e-03 -6.86682e-03 0.00000e+00 -1.16700e+08 -1.16700e+08 -1.16700e+08 -1.16700e+08 -1.16700e+08 -1.16700e+08 0.00000e+00 -4.01478e+09 -4.01478e+09 -4.01478e+09 -4.01478e+09 -4.01478e+09 -4.01478e+09 0.00000e+00 9.32750e-01 9.32750e-01 9.32750e-01 9.32750e-01 9.32750e-01 9.32750e-01 0.00000e+00 -1.09590e-02 -1.09590e-02 -1.09590e-02 -1.09590e-02 -1.09590e-02 -1.09590e-02 0.00000e+00 9.40708e-01 9.40708e-01 9.40708e-01 9.40708e-01 9.40708e-01 9.40708e-01 0.00000e+00 7.21870e-02 7.21870e-02 7.21870e-02 7.21870e-02 7.21870e-02 7.21870e-02 0.00000e+00 4 4 4 4 4 4.00000e+00 0.00000e+00 -2.42191e-03 -2.42191e-03 -2.42191e-03 -2.42191e-03 -2.42191e-03 -2.42191e-03 0.00000e+00 3.00724e+00 3.00724e+00 3.00724e+00 3.00724e+00 3.00724e+00 3.00724e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 6.57384e-05
1.00000e+00 2.19850e+02 2.19850e+02 2.19850e+02 2.19850e+02 2.19850e+02 2.19850e+02 0.00000e+00 -2.00360e+01 -2.00360e+01 -2.00360e+01 -2.00360e+01 -2.00360e+01 -2.00360e+01 0.00000e+00 -2.33405e+09 -2.33405e+09 -2.33405e+09 -2.33405e+09 -2.33405e+09 -2.33405e+09 0.00000e+00 1.06397e+00 1.06397e+00 1.06397e+00 1.06397e+00 1.06397e+00 1.06397e+00 0.00000e+00 -1.84144e-02 -1.84144e-02 -1.84144e-02 -1.84144e-02 -1.84144e-02 -1.84144e-02 0.00000e+00 -5.73741e+07 -5.73741e+07 -5.73741e+07 -5.73741e+07 -5.73741e+07 -5.73741e+07 0.00000e+00 1.06801e+00 1.06801e+00 1.06801e+00 1.06801e+00 1.06801e+00 1.06801e+00 0.00000e+00 -1.25877e-02 -1.25877e-02 -1.25877e-02 -1.25877e-02 -1.25877e-02 -1.25877e-02 0.00000e+00 -6.59695e-03 -6.59695e-03 -6.59695e-03 -6.59695e-03 -6.59695e-03 -6.59695e-03 0.00000e+00 -9.05148e+07 -9.05148e+07 -9.05148e+07 -9.05148e+07 -9.05148e+07 -9.05148e+07 0.00000e+00 -3.18486e+09 -3.18486e+09 -3.18486e+09 -3.18486e+09 -3.18486e+09 -3.18486e+09 0.00000e+00 9.24724e-01 9.24724e-01 9.24724e-01 9.24724e-01 9.24724e-01 9.24724e-01 0.00000e+00 -1.28845e-02 -1.28845e-02 -1.28845e-02 -1.28845e-02 -1.28845e-02 -1.28845e-02 0.00000e+00 9.31175e-01 9.31175e-01 9.31175e-01 9.31175e-01 9.31175e-01 9.31175e-01 0.00000e+00 8.51627e-02 8.51627e-02 8.51627e-02 8.51627e-02 8.51627e-02 8.51627e-02 0.00000e+00 4 4 4 4 4 4.00000e+00 0.00000e+00 -2.74117e-03 -2.74117e-03 -2.74117e-03 -2.74117e-03 -2.74117e-03 -2.74117e-03 0.00000e+00 3.01075e+00 3.01075e+00 3.01075e+00 3.01075e+00 3.01075e+00 3.01075e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 8.16730e-05
1.00000e+00 2.41743e+02 2.41743e+02 2.41743e+02 2.41743e+02 2.41743e+02 2.41743e+02 0.00000e+00 -2.44521e+01 -2.44521e+01 -2.44521e+01 -2.44521e+01 -2.44521e+01 -2.44521e+01 0.00000e+00 -2.02436e+09 -2.02436e+09 -2.02436e+09 -2.02436e+09 -2.02436e+09 -2.02436e+09 0.00000e+00 1.07372e+00 1.07372e+00 1.07372e+00 1.07372e+00 1.07372e+00 1.07372e+00 0.00000e+00 -2.11216e-02 -2.11216e-02 -2.11216e-02 -2.11216e-02 -2.11216e-02 -2.11216e-02 0.00000e+00 -5.60419e+07 -5.60419e+07 -5.60419e+07 -5.60419e+07 -5.60419e+07 -5.60419e+07 0.00000e+00 1.07714e+00 1.07714e+00 1.07714e+00 1.07714e+00 1.07714e+00 1.07714e+00 0.00000e+00 -1.40573e-02 -1.40573e-02 -1.40573e-02 -1.40573e-02 -1.40573e-02 -1.40573e-02 0.00000e+00 -6.52505e-03 -6.52505e-03 -6.52505e-03 -6.52505e-03 -6.52505e-03 -6.52505e-03 0.00000e+00 -9.21465e+07 -9.21465e+07 -9.21465e+07 -9.21465e+07 -9.21465e+07 -9.21465e+07 0.00000e+00 -2.87374e+09 -2.87374e+09 -2.87374e+09 -2.87374e+09 -2.87374e+09 -2.87374e+09 0.00000e+00 9.18072e-01 9.18072e-01 9.18072e-01 9.18072e-01 9.18072e-01 9.18072e-01 0.00000e+00 -1.43471e-02 -1.43471e-02 -1.43471e-02 -1.43471e-02 -1.43471e-02 -1.43471e-02 0.00000e+00 9.23978e-01 9.23978e-01 9.23978e-01 9.23978e-01 9.23978e-01 9.23978e-01 0.00000e+00 9.47332e-02 9.47332e-02 9.47332e-02 9.47332e-02 9.47332e-02 9.47332e-02 0.00000e+00 4 4 4 4 4 4.00000e+00 0.00000e+00 -3.12783e-03 -3.12783e-03 -3.12783e-03 -3.12783e-03 -3.12783e-03 -3.12783e-03 0.00000e+00 3.01457e+00 3.01457e+00 3.01457e+00 3.01457e+00 3.01457e+00 3.01457e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 9.74856e-05
1.00000e+00 2.58016e+02 2.58016e+02 2.58016e+02 2.58016e+02 2.58016e+02 2.58016e+02 0.00000e+00 -1.82360e+01 -1.82360e+01 -1.82360e+01 -1.82360e+01 -1.82360e+01 -1.82360e+01 0.00000e+00 -1.73905e+09 -1.73905e+09 -1.73905e+09 -1.73905e+09 -1.73905e+09 -1.73905e+09 0.00000e+00 1.08288e+00 1.08288e+00 1.08288e+00 1.08288e+00 1.08288e+00 1.08288e+00 0.00000e+00 -2.32369e-02 -2.32369e-02 -2.32369e-02 -2.32369e-02 -2.32369e-02 -2.32369e-02 0.00000e+00 -4.36289e+07 -4.36289e+07 -4.36289e+07 -4.36289e+07 -4.36289e+07 -4.36289e+07 0.00000e+00 1.08568e+00 1.08568e+00 1.08568e+00 1.08568e+00 1.08568e+00 1.08568e+00 0.00000e+00 -1.51625e-02 -1.51625e-02 -1.51625e-02 -1.51625e-02 -1.51625e-02 -1.51625e-02 0.00000e+00 -6.14543e-03 -6.14543e-03 -6.14543e-03 -6.14543e-03 -6.14543e-03 -6.14543e-03 0.00000e+00 -8.22144e+07 -8.22144e+07 -8.22144e+07 -8.22144e+07 -8.22144e+07 -8.22144e+07 0.00000e+00 -2.57913e+09 -2.57913e+09 -2.57913e+09 -2.57913e+09 -2.57913e+09 -2.57913e+09 0.00000e+00 9.11889e-01 9.11889e-01 9.11889e-01 9.11889e-01 9.11889e-01 9.11889e-01 0.00000e+00 -1.54015e-02 -1.54015e-02 -1.54015e-02 -1.54015e-02 -1.54015e-02 -1.54015e-02 0.00000e+00 9.17279e-01 9.17279e-01 9.17279e-01 9.17279e-01 9.17279e-01 9.17279e-01 0.00000e+00 1.03603e-01 1.03603e-01 1.03603e-01 1.03603e-01 1.03603e-01 1.03603e-01 0.00000e+00 4 4 4 4 4 4.00000e+00 0.00000e+00 -3.41424e-03 -3.41424e-03 -3.41424e-03 -3.41424e-03 -3.41424e-03 -3.41424e-03 0.00000e+00 3.01862e+00 3.01862e+00 3.01862e+00 3.01862e+00 3.01862e+00 3.01862e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 1.13192e-04
1.00000e+00 2.99068e+02 2.99068e+02 2.99068e+02 2.99068e+02 2.99068e+02 2.99068e+02 0.00000e+00 -1.29037e+01 -1.29037e+01 -1.29037e+01 -1.29037e+01 -1.29037e+01 -1.29037e+01 0.00000e+00 -2.28884e+09 -2.28884e+09 -2.28884e+09 -2.28884e+09 -2.28884e+09 -2.28884e+09 0.00000e+00 1.08524e+00 1.08524e+00 1.08524e+00 1.08524e+00 1.08524e+00 1.08524e+00 0.00000e+00 -2.57318e-02 -2.57318e-02 -2.57318e-02 -2.57318e-02 -2.57318e-02 -2.57318e-02 0.00000e+00 -1.10989e+08 -1.10989e+08 -1.10989e+08 -1.10989e+08 -1.10989e+08 -1.10989e+08 0.00000e+00 1.08954e+00 1.08954e+00 1.08954e+00 1.08954e+00 1.08954e+00 1.08954e+00 0.00000e+00 -1.66635e-02 -1.66635e-02 -1.66635e-02 -1.66635e-02 -1.66635e-02 -1.66635e-02 0.00000e+00 -7.24605e-03 -7.24605e-03 -7.24605e-03 -7.24605e-03 -7.24605e-03 -7.24605e-03 0.00000e+00 -1.53817e+08 -1.53817e+08 -1.53817e+08 -1.53817e+08 -1.53817e+08 -1.53817e+08 0.00000e+00 -3.21988e+09 -3.21988e+09 -3.21988e+09 -3.21988e+09 -3.21988e+09 -3.21988e+09 0.00000e+00 9.06934e-01 9.06934e-01 9.06934e-01 9.06934e-01 9.06934e-01 9.06934e-01 0.00000e+00 -1.70493e-02 -1.70493e-02 -1.70493e-02 -1.70493e-02 -1.70493e-02 -1.70493e-02 0.00000e+00 9.13412e-01 9.13412e-01 9.13412e-01 9.13412e-01 9.13412e-01 9.13412e-01 0.00000e+00 1.08504e-01 1.08504e-01 1.08504e-01 1.08504e-01 1.08504e-01 1.08504e-01 0.00000e+00 4 4 4 4 4 4.00000e+00 0.00000e+00 -3.61569e-03 -3.61569e-03 -3.61569e-03 -3.61569e-03 -3.61569e-03 -3.61569e-03 0.00000e+00 3.02329e+00 3.02329e+00 3.02329e+00 3.02329e+00 3.02329e+00 3.02329e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 1.28803e-04
1.00000e+00 2.97038e+02 2.97038e+02 2.97038e+02 2.97038e+02 2.97038e+02 2.97038e+02 0.00000e+00 -1.50978e+01 -1.50978e+01 -1.50978e+01 -1.50978e+01 -1.50978e+01 -1.50978e+01 0.00000e+00 -9.15372e+08 -9.15372e+08 -9.15372e+08 -9.15372e+08 -9.15372e+08 -9.15372e+08 0.00000e+00 1.09909e+00 1.09909e+00 1.09909e+00 1.09909e+00 1.09909e+00 1.09909e+00 0.00000e+00 -2.78334e-02 -2.78334e-02 -2.78334e-02 -2.78334e-02 -2.78334e-02 -2.78334e-02 0.00000e+00 -2.95671e+07 -2.95671e+07 -2.95671e+07 -2.95671e+07 -2.95671e+07 -2.95671e+07 0.00000e+00 1.09988e+00 1.09988e+00 1.09988e+00 1.09988e+00 1.09988e+00 1.09988e+00 0.00000e+00 -1.76946e-02 -1.76946e-02 -1.76946e-02 -1.76946e-02 -1.76946e-02 -1.76946e-02 0.00000e+00 -5.92129e-03 -5.92129e-03 -5.92129e-03 -5.92129e-03 -5.92129e-03 -5.92129e-03 0.00000e+00 -6.05193e+07 -6.05193e+07 -6.05193e+07 -6.05193e+07 -6.05193e+07 -6.05193e+07 0.00000e+00 -1.62519e+09 -1.62519e+09 -1.62519e+09 -1.62519e+09 -1.62519e+09 -1.62519e+09 0.00000e+00 9.03104e-01 9.03104e-01 9.03104e-01 9.03104e-01 9.03104e-01 9.03104e-01 0.00000e+00 -1.79677e-02 -1.79677e-02 -1.79677e-02 -1.79677e-02 -1.79677e-02 -1.79677e-02 0.00000e+00 9.06826e-01 9.06826e-01 9.06826e-01 9.06826e-01 9.06826e-01 9.06826e-01 0.00000e+00 1.18440e-01 1.18440e-01 1.18440e-01 1.18440e-01 1.18440e-01 1.18440e-01 0.00000e+00 4 4 4 4 4 4.00000e+00 0.00000e+00 -3.84984e-03 -3.84984e-03 -3.84984e-03 -3.84984e-03 -3.84984e-03 -3.84984e-03 0.00000e+00 3.02790e+00 3.02790e+00 3.02790e+00 3.02790e+00 3.02790e+00 3.02790e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 1.44312e-04
