 velocity_y   velocity_x   Piola_22   F_22   F_21   Piola_21   pl_F_22   pl_F_21   F_12   Piola_12   Piola_11   F_11   pl_F_12   pl_F_11   epeq   vtkValidPointMask   Time   PointCoordinates:0   PointCoordinates:1   PointCoordinates:2 
0.00000e+00 -3.00000e+02 0.00000e+00 1.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 0.00000e+00 1.00000e+00 0.00000e+00 1 0.00000e+00 0.00000e+00 3.00000e+00 0.00000e+00
1.64135e-12 0.00000e+00 -7.70671e+09 1.00000e+00 -2.61816e-18 -2.91874e-05 1.01492e+00 -1.07082e-15 -2.28267e-15 -1.02764e-05 -8.50032e+09 9.54043e-01 -1.07082e-15 9.70816e-01 2.96180e-02 1 8.06258e-06 0.00000e+00 3.00000e+00 0.00000e+00
1.20768e+02 0.00000e+00 -7.21671e+09 1.01159e+00 -5.03895e-03 -1.48337e+08 1.02550e+00 -4.72576e-03 -5.75239e-03 -1.38248e+08 -8.17277e+09 9.45020e-01 -4.94044e-03 9.60647e-01 4.29301e-02 1 1.55798e-05 0.00000e+00 3.00091e+00 0.00000e+00
1.73972e+02 0.00000e+00 -3.39436e+09 1.04213e+00 -1.18690e-02 -7.33409e+07 1.04828e+00 -8.81899e-03 -6.26038e-03 -9.38843e+07 -4.23741e+09 9.38032e-01 -9.12413e-03 9.46304e-01 6.58853e-02 1 2.29617e-05 0.00000e+00 3.00219e+00 0.00000e+00
2.21407e+02 0.00000e+00 -3.06306e+09 1.05369e+00 -1.66123e-02 -7.28722e+07 1.05931e+00 -1.10823e-02 -5.73585e-03 -1.10116e+08 -3.96424e+09 9.29596e-01 -1.14433e-02 9.37460e-01 7.76968e-02 1 3.02608e-05 0.00000e+00 3.00381e+00 0.00000e+00
2.54261e+02 0.00000e+00 -2.34937e+09 1.06619e+00 -1.98960e-02 -4.99826e+07 1.07028e+00 -1.26695e-02 -5.03371e-03 -9.21901e+07 -3.21682e+09 9.22650e-01 -1.30058e-02 9.29161e-01 8.90091e-02 1 3.74500e-05 0.00000e+00 3.00564e+00 0.00000e+00
2.75724e+02 0.00000e+00 -1.81304e+09 1.07666e+00 -2.21559e-02 -3.50418e+07 1.07958e+00 -1.36991e-02 -4.31027e-03 -7.68812e+07 -2.63890e+09 9.16698e-01 -1.39677e-02 9.22205e-01 9.84777e-02 1 4.45319e-05 0.00000e+00 3.00759e+00 0.00000e+00
2.92330e+02 0.00000e+00 -1.54728e+09 1.08492e+00 -2.36564e-02 -2.33480e+07 1.08727e+00 -1.43404e-02 -3.59782e-03 -6.59267e+07 -2.35947e+09 9.11225e-01 -1.45143e-02 9.16268e-01 1.06358e-01 1 5.15046e-05 0.00000e+00 3.00963e+00 0.00000e+00
3.06552e+02 0.00000e+00 -1.36421e+09 1.09204e+00 -2.46837e-02 -1.51605e+07 1.09399e+00 -1.47705e-02 -2.99683e-03 -5.78029e+07 -2.16626e+09 9.06305e-01 -1.48363e-02 9.11020e-01 1.13263e-01 1 5.83864e-05 0.00000e+00 3.01174e+00 0.00000e+00
3.18978e+02 0.00000e+00 -1.22618e+09 1.09842e+00 -2.53822e-02 -7.90224e+06 1.10007e+00 -1.50498e-02 -2.44997e-03 -5.04353e+07 -2.02019e+09 9.01808e-01 -1.49958e-02 9.06270e-01 1.19492e-01 1 6.51892e-05 0.00000e+00 3.01391e+00 0.00000e+00
3.29988e+02 0.00000e+00 -1.11360e+09 1.10424e+00 -2.58543e-02 -2.11969e+06 1.10564e+00 -1.52264e-02 -1.95917e-03 -4.42343e+07 -1.90004e+09 8.97677e-01 -1.50458e-02 9.01928e-01 1.25188e-01 1 7.19229e-05 0.00000e+00 3.01613e+00 0.00000e+00
3.39826e+02 0.00000e+00 -1.02372e+09 1.10961e+00 -2.61548e-02 2.88707e+06 1.11081e+00 -1.53262e-02 -1.51081e-03 -3.88069e+07 -1.80417e+09 8.93827e-01 -1.50137e-02 8.97908e-01 1.30466e-01 1 7.85949e-05 0.00000e+00 3.01840e+00 0.00000e+00
3.48710e+02 0.00000e+00 -9.46227e+08 1.11461e+00 -2.63285e-02 7.01894e+06 1.11565e+00 -1.53703e-02 -1.10448e-03 -3.41038e+07 -1.72080e+09 8.90238e-01 -1.49232e-02 8.94168e-01 1.35384e-01 1 8.52117e-05 0.00000e+00 3.02070e+00 0.00000e+00
3.56777e+02 0.00000e+00 -8.81815e+08 1.11931e+00 -2.64016e-02 1.06809e+07 1.12020e+00 -1.53707e-02 -7.31302e-04 -2.99180e+07 -1.65159e+09 8.86858e-01 -1.47871e-02 8.90661e-01 1.40005e-01 1 9.17781e-05 0.00000e+00 3.02305e+00 0.00000e+00
3.64148e+02 0.00000e+00 -8.24951e+08 1.12374e+00 -2.63974e-02 1.37789e+07 1.12450e+00 -1.53386e-02 -3.90931e-04 -2.62301e+07 -1.59009e+09 8.83672e-01 -1.46176e-02 8.87361e-01 1.44365e-01 1 9.82983e-05 0.00000e+00 3.02542e+00 0.00000e+00
3.70917e+02 0.00000e+00 -7.76031e+08 1.12793e+00 -2.63291e-02 1.66430e+07 1.12858e+00 -1.52792e-02 -7.58829e-05 -2.28356e+07 -1.53718e+09 8.80651e-01 -1.44203e-02 8.84239e-01 1.48498e-01 1 1.04776e-04 0.00000e+00 3.02782e+00 0.00000e+00
3.77208e+02 0.00000e+00 -7.33960e+08 1.13192e+00 -2.62076e-02 1.92394e+07 1.13248e+00 -1.51977e-02 2.14905e-04 -1.97599e+07 -1.49181e+09 8.77777e-01 -1.42007e-02 8.81278e-01 1.52428e-01 1 1.11214e-04 0.00000e+00 3.03025e+00 0.00000e+00
