 velocity_y   velocity_x   Piola_22   F_22   F_21   Piola_21   pl_F_22   pl_F_21   F_12   Piola_12   Piola_11   F_11   pl_F_12   pl_F_11   epeq   vtkValidPointMask   Time   PointCoordinates:0   PointCoordinates:1   PointCoordinates:2 
0.00000e+00 -3.00000e+02 0.00000e+00 1.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 0.00000e+00 1.00000e+00 0.00000e+00 1 0.00000e+00 0.00000e+00 3.00000e+00 0.00000e+00
-4.59184e+00 0.00000e+00 -6.37564e+09 1.00000e+00 5.65652e-19 7.75052e+07 1.01224e+00 2.96117e-03 6.38287e-03 3.38420e+07 -7.04372e+09 9.61703e-01 2.96117e-03 9.75981e-01 2.45590e-02 1 1.89122e-05 0.00000e+00 2.99991e+00 0.00000e+00
6.00023e+01 0.00000e+00 -5.89509e+09 1.01025e+00 -2.62722e-03 -8.71337e+07 1.02137e+00 -5.29903e-04 3.91635e-04 -1.01975e+08 -6.69768e+09 9.53878e-01 -7.14251e-04 9.67097e-01 3.58185e-02 1 3.73017e-05 0.00000e+00 3.00102e+00 0.00000e+00
1.23904e+02 0.00000e+00 -4.92790e+09 1.02309e+00 -4.92516e-03 -6.96436e+07 1.03233e+00 -2.98571e-03 -1.89515e-03 -8.32465e+07 -5.79869e+09 9.46941e-01 -3.29537e-03 9.58296e-01 4.77250e-02 1 5.51182e-05 0.00000e+00 3.00322e+00 0.00000e+00
1.74005e+02 0.00000e+00 -4.09815e+09 1.03499e+00 -7.46461e-03 -6.07254e+07 1.04264e+00 -4.81816e-03 -2.83300e-03 -7.99768e+07 -4.99301e+09 9.40540e-01 -5.20981e-03 9.50317e-01 5.86240e-02 1 7.26117e-05 0.00000e+00 3.00627e+00 0.00000e+00
2.09955e+02 0.00000e+00 -3.42112e+09 1.04563e+00 -1.03878e-02 -6.25061e+07 1.05195e+00 -6.54189e-03 -3.27135e-03 -8.80315e+07 -4.31423e+09 9.34706e-01 -7.01474e-03 9.43191e-01 6.84111e-02 1 8.98643e-05 0.00000e+00 3.00989e+00 0.00000e+00
2.36439e+02 0.00000e+00 -2.91675e+09 1.05501e+00 -1.33743e-02 -6.50736e+07 1.06032e+00 -8.20641e-03 -3.50308e-03 -9.58328e+07 -3.80244e+09 9.29208e-01 -8.76520e-03 9.36743e-01 7.72332e-02 1 1.06915e-04 0.00000e+00 3.01392e+00 0.00000e+00
2.57164e+02 0.00000e+00 -2.54430e+09 1.06334e+00 -1.61622e-02 -6.49488e+07 1.06789e+00 -9.74651e-03 -3.62473e-03 -9.97972e+07 -3.42324e+09 9.24009e-01 -1.03870e-02 9.30856e-01 8.52325e-02 1 1.23789e-04 0.00000e+00 3.01826e+00 0.00000e+00
2.74168e+02 0.00000e+00 -2.25736e+09 1.07084e+00 -1.86413e-02 -6.23756e+07 1.07479e+00 -1.11185e-02 -3.67038e-03 -1.00293e+08 -3.13019e+09 9.19140e-01 -1.18286e-02 9.25466e-01 9.25150e-02 1 1.40506e-04 0.00000e+00 3.02284e+00 0.00000e+00
2.88534e+02 0.00000e+00 -2.02826e+09 1.07767e+00 -2.08033e-02 -5.83796e+07 1.08113e+00 -1.23162e-02 -3.65376e-03 -9.85593e+07 -2.89526e+09 9.14594e-01 -1.30801e-02 9.20509e-01 9.91819e-02 1 1.57085e-04 0.00000e+00 3.02763e+00 0.00000e+00
3.00928e+02 0.00000e+00 -1.84215e+09 1.08394e+00 -2.26828e-02 -5.38362e+07 1.08700e+00 -1.33555e-02 -3.58541e-03 -9.56998e+07 -2.70375e+09 9.10336e-01 -1.41569e-02 9.15923e-01 1.05327e-01 1 1.73537e-04 0.00000e+00 3.03258e+00 0.00000e+00
3.11800e+02 0.00000e+00 -1.68912e+09 1.08975e+00 -2.43238e-02 -4.93056e+07 1.09247e+00 -1.42591e-02 -3.47663e-03 -9.24429e+07 -2.54583e+09 9.06335e-01 -1.50836e-02 9.11655e-01 1.11031e-01 1 1.89874e-04 0.00000e+00 3.03767e+00 0.00000e+00
3.21464e+02 0.00000e+00 -1.56164e+09 1.09516e+00 -2.57669e-02 -4.50549e+07 1.09760e+00 -1.50498e-02 -3.33773e-03 -8.91680e+07 -2.41398e+09 9.02562e-01 -1.58848e-02 9.07663e-01 1.16357e-01 1 2.06105e-04 0.00000e+00 3.04289e+00 0.00000e+00
3.30150e+02 0.00000e+00 -1.45403e+09 1.10024e+00 -2.70459e-02 -4.11679e+07 1.10244e+00 -1.57470e-02 -3.17687e-03 -8.60387e+07 -2.30248e+09 8.98992e-01 -1.65821e-02 9.03910e-01 1.21358e-01 1 2.22237e-04 0.00000e+00 3.04822e+00 0.00000e+00
3.38029e+02 0.00000e+00 -1.36208e+09 1.10502e+00 -2.81880e-02 -3.76500e+07 1.10702e+00 -1.63667e-02 -3.00030e-03 -8.31163e+07 -2.20706e+09 8.95604e-01 -1.71931e-02 9.00368e-01 1.26075e-01 1 2.38277e-04 0.00000e+00 3.05364e+00 0.00000e+00
3.45234e+02 0.00000e+00 -1.28260e+09 1.10956e+00 -2.92149e-02 -3.44782e+07 1.11137e+00 -1.69216e-02 -2.81287e-03 -8.04165e+07 -2.12449e+09 8.92381e-01 -1.77323e-02 8.97012e-01 1.30544e-01 1 2.54231e-04 0.00000e+00 3.05915e+00 0.00000e+00
