 Displacements:0   Displacements:1   Displacements:2   Equivalent_Plastic_Strain   Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   vtkValidPointMask   Time   PointCoordinates:0   PointCoordinates:1   PointCoordinates:2 
0.00000e+00 1.41956e-03 0.00000e+00 4.99587e-02 -8.13858e+09 -2.51712e+08 0.00000e+00 -1.59786e+08 -6.47867e+09 0.00000e+00 0.00000e+00 0.00000e+00 -7.20226e+09 1 1.62763e-05 0.00000e+00 3.00142e+00 0.00000e+00
0.00000e+00 7.15046e-03 0.00000e+00 1.10368e-01 -8.69931e+08 -3.50432e+08 0.00000e+00 -3.69666e+08 6.64911e+08 0.00000e+00 0.00000e+00 0.00000e+00 -4.45590e+08 1 2.95092e-05 0.00000e+00 3.00715e+00 0.00000e+00
0.00000e+00 1.28127e-02 0.00000e+00 1.46087e-01 -2.63669e+09 -2.81270e+08 0.00000e+00 -1.54877e+08 -2.53258e+08 0.00000e+00 0.00000e+00 0.00000e+00 -7.72775e+08 1 4.27422e-05 0.00000e+00 3.01281e+00 0.00000e+00
0.00000e+00 1.84988e-02 0.00000e+00 1.68301e-01 -4.79786e+09 -6.28378e+08 0.00000e+00 -3.96016e+08 -1.60268e+09 0.00000e+00 0.00000e+00 0.00000e+00 -3.11626e+09 1 5.59759e-05 0.00000e+00 3.01850e+00 0.00000e+00
0.00000e+00 2.51431e-02 0.00000e+00 1.89491e-01 -5.56267e+08 -3.98149e+08 0.00000e+00 -4.75010e+08 1.54934e+09 0.00000e+00 0.00000e+00 0.00000e+00 -3.12318e+08 1 6.92121e-05 0.00000e+00 3.02514e+00 0.00000e+00
0.00000e+00 3.09277e-02 0.00000e+00 1.96881e-01 -3.50022e+09 -3.15414e+08 0.00000e+00 -5.33558e+07 -1.54999e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.26921e+09 1 8.24507e-05 0.00000e+00 3.03093e+00 0.00000e+00
0.00000e+00 3.68440e-02 0.00000e+00 1.96048e-01 -3.71143e+09 -6.81771e+08 0.00000e+00 -5.18373e+08 -3.00875e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.71030e+09 1 9.56917e-05 0.00000e+00 3.03684e+00 0.00000e+00
0.00000e+00 4.31423e-02 0.00000e+00 1.99126e-01 -1.25983e+09 -5.34073e+08 0.00000e+00 -5.82881e+08 1.35044e+09 0.00000e+00 0.00000e+00 0.00000e+00 -8.20366e+08 1 1.08932e-04 0.00000e+00 3.04314e+00 0.00000e+00
0.00000e+00 4.89251e-02 0.00000e+00 1.99010e-01 -2.91881e+09 -6.28787e+08 0.00000e+00 -5.15871e+08 1.16770e+07 0.00000e+00 0.00000e+00 0.00000e+00 -1.56796e+09 1 1.22164e-04 0.00000e+00 3.04893e+00 0.00000e+00
0.00000e+00 5.48734e-02 0.00000e+00 1.98951e-01 -2.68088e+09 -7.58814e+08 0.00000e+00 -7.13944e+08 -1.54497e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.65153e+09 1 1.35398e-04 0.00000e+00 3.05487e+00 0.00000e+00
0.00000e+00 6.10005e-02 0.00000e+00 1.97874e-01 -1.33036e+09 -7.33872e+08 0.00000e+00 -8.44635e+08 1.23198e+09 0.00000e+00 0.00000e+00 0.00000e+00 -1.05538e+09 1 1.48623e-04 0.00000e+00 3.06100e+00 0.00000e+00
0.00000e+00 6.66678e-02 0.00000e+00 1.97874e-01 -2.32956e+09 -8.08868e+08 0.00000e+00 -8.19386e+08 -2.93953e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.73013e+09 1 1.61860e-04 0.00000e+00 3.06667e+00 0.00000e+00
0.00000e+00 7.26699e-02 0.00000e+00 1.97874e-01 -1.79969e+09 -8.07842e+08 0.00000e+00 -8.79155e+08 9.09203e+07 0.00000e+00 0.00000e+00 0.00000e+00 -1.46498e+09 1 1.75096e-04 0.00000e+00 3.07267e+00 0.00000e+00
0.00000e+00 7.87322e-02 0.00000e+00 1.97874e-01 -8.31617e+08 -7.93391e+08 0.00000e+00 -9.75095e+08 1.00036e+09 0.00000e+00 0.00000e+00 0.00000e+00 -1.03585e+09 1 1.88330e-04 0.00000e+00 3.07873e+00 0.00000e+00
0.00000e+00 8.43647e-02 0.00000e+00 1.97874e-01 -2.28323e+09 -8.71628e+08 0.00000e+00 -9.03855e+08 -5.89217e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.88441e+09 1 2.01569e-04 0.00000e+00 3.08436e+00 0.00000e+00
0.00000e+00 9.04267e-02 0.00000e+00 1.97874e-01 -8.85236e+08 -8.21955e+08 0.00000e+00 -1.00354e+09 5.50483e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.19358e+09 1 2.14807e-04 0.00000e+00 3.09043e+00 0.00000e+00
0.00000e+00 9.62938e-02 0.00000e+00 1.97874e-01 -1.01617e+09 -8.04935e+08 0.00000e+00 -9.63443e+08 4.74635e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.26676e+09 1 2.28044e-04 0.00000e+00 3.09629e+00 0.00000e+00
0.00000e+00 1.01998e-01 0.00000e+00 1.97874e-01 -1.60493e+09 -8.52556e+08 0.00000e+00 -9.55318e+08 -4.39887e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.68193e+09 1 2.41285e-04 0.00000e+00 3.10200e+00 0.00000e+00
0.00000e+00 1.08053e-01 0.00000e+00 1.97874e-01 -6.40865e+08 -7.78482e+08 0.00000e+00 -9.72932e+08 7.44145e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.07169e+09 1 2.54521e-04 0.00000e+00 3.10805e+00 0.00000e+00
0.00000e+00 1.13806e-01 0.00000e+00 1.97874e-01 -9.66944e+08 -8.21548e+08 0.00000e+00 -9.90191e+08 7.51772e+07 0.00000e+00 0.00000e+00 0.00000e+00 -1.35510e+09 1 2.67763e-04 0.00000e+00 3.11381e+00 0.00000e+00
0.00000e+00 1.19613e-01 0.00000e+00 1.97874e-01 -1.22045e+09 -8.18132e+08 0.00000e+00 -9.52906e+08 -1.79132e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.53253e+09 1 2.80999e-04 0.00000e+00 3.11961e+00 0.00000e+00
0.00000e+00 1.25625e-01 0.00000e+00 1.97874e-01 -1.64376e+08 -7.88868e+08 0.00000e+00 -1.04252e+09 7.91772e+08 0.00000e+00 0.00000e+00 0.00000e+00 -9.64274e+08 1 2.94238e-04 0.00000e+00 3.12562e+00 0.00000e+00
0.00000e+00 1.31307e-01 0.00000e+00 1.97874e-01 -1.26814e+09 -8.19791e+08 0.00000e+00 -9.48760e+08 -3.46318e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.54039e+09 1 3.07476e-04 0.00000e+00 3.13131e+00 0.00000e+00
0.00000e+00 1.37238e-01 0.00000e+00 1.97874e-01 -4.00945e+08 -7.87054e+08 0.00000e+00 -1.00855e+09 3.43921e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.16341e+09 1 3.20713e-04 0.00000e+00 3.13724e+00 0.00000e+00
