 stress_11   strain_11   velocity_x   strain_21   strain_22   epsp_11   epsp_21   epsp_22   velocity_y   stress_21   stress_22   epeq   vtkOriginalPointIds   Points:0   Points:1   Points:2 
7.92184e+08 3.36365e-03 -2.31489e+01 1.79945e-04 8.62154e-04 1.38382e-03 -1.01815e-05 -8.25484e-04 2.17877e-01 1.46251e+07 7.47230e+08 1.39756e-03 0 0.00000e+00 0.00000e+00 0.00000e+00
8.71603e+08 9.14069e-03 -1.48271e+01 1.51517e-03 -5.37102e-03 6.30253e-03 1.13191e-03 -5.24669e-03 -4.75537e-01 2.94822e+07 4.15834e+08 6.82543e-03 1 1.00000e+00 0.00000e+00 0.00000e+00
5.42200e+08 6.06794e-03 -7.64411e-01 2.47250e-04 -4.14112e-03 3.98876e-03 2.00822e-04 -3.22277e-03 -5.73541e-01 3.57141e+06 8.10413e+07 4.41949e-03 2 3.00000e+00 0.00000e+00 0.00000e+00
7.74160e+08 3.69730e-03 -2.30448e+01 5.53647e-04 -8.42192e-05 1.37507e-03 -2.44702e-05 -8.26236e-04 1.16286e-01 4.44705e+07 5.31050e+08 1.38973e-03 9 1.11111e-01 0.00000e+00 0.00000e+00
7.63579e+08 4.08166e-03 -2.27781e+01 7.73598e-04 -8.88710e-04 1.51310e-03 -3.36026e-05 -9.33154e-04 -2.67908e-02 6.20923e+07 3.75254e+08 1.53368e-03 10 2.22222e-01 0.00000e+00 0.00000e+00
7.59814e+08 4.60346e-03 -2.21351e+01 8.78036e-04 -1.50960e-03 1.98507e-03 5.15546e-05 -1.30498e-03 -1.26578e-01 6.35755e+07 3.25504e+08 2.03569e-03 11 3.33333e-01 0.00000e+00 0.00000e+00
7.81543e+08 5.42225e-03 -2.08774e+01 9.88316e-04 -2.18649e-03 2.76904e-03 2.47375e-04 -1.96809e-03 -2.37359e-01 5.69955e+07 3.39757e+08 2.88773e-03 12 4.44444e-01 0.00000e+00 0.00000e+00
8.17940e+08 6.38647e-03 -1.92414e+01 1.10667e-03 -2.93758e-03 3.65653e-03 4.73100e-04 -2.76385e-03 -2.94878e-01 4.87363e+07 3.71222e+08 3.86800e-03 13 5.55556e-01 0.00000e+00 0.00000e+00
8.58851e+08 7.32681e-03 -1.74430e+01 1.21623e-03 -3.64660e-03 4.50443e-03 6.84106e-04 -3.54786e-03 -3.27552e-01 4.09329e+07 4.09448e+08 4.81280e-03 14 6.66667e-01 0.00000e+00 0.00000e+00
8.86001e+08 8.13703e-03 -1.60764e+01 1.32335e-03 -4.30196e-03 5.25434e-03 8.66880e-04 -4.25166e-03 -3.61772e-01 3.51133e+07 4.34771e+08 5.65144e-03 15 7.77778e-01 0.00000e+00 0.00000e+00
8.92507e+08 8.76232e-03 -1.50781e+01 1.42555e-03 -4.88531e-03 5.86879e-03 1.01910e-03 -4.83270e-03 -4.12917e-01 3.12651e+07 4.39255e+08 6.33943e-03 16 8.88889e-01 0.00000e+00 0.00000e+00
8.36897e+08 9.32294e-03 -1.45773e+01 1.57965e-03 -5.73491e-03 6.57414e-03 1.20714e-03 -5.50776e-03 -5.41716e-01 2.86546e+07 3.79057e+08 7.12908e-03 17 1.11111e+00 0.00000e+00 0.00000e+00
7.91216e+08 9.31189e-03 -1.47283e+01 1.61308e-03 -5.96502e-03 6.67914e-03 1.24056e-03 -5.61458e-03 -6.02757e-01 2.86560e+07 3.32263e+08 7.24665e-03 18 1.22222e+00 0.00000e+00 0.00000e+00
7.52814e+08 9.20522e-03 -1.42445e+01 1.61098e-03 -6.06448e-03 6.66748e-03 1.24228e-03 -5.61726e-03 -6.57332e-01 2.83616e+07 2.93589e+08 7.23607e-03 19 1.33333e+00 0.00000e+00 0.00000e+00
7.13444e+08 8.97559e-03 -1.41330e+01 1.57797e-03 -6.04973e-03 6.53260e-03 1.21023e-03 -5.50891e-03 -7.01415e-01 2.82876e+07 2.54397e+08 7.08952e-03 20 1.44444e+00 0.00000e+00 0.00000e+00
6.86529e+08 8.71630e-03 -1.31394e+01 1.51582e-03 -5.94443e-03 6.33277e-03 1.15777e-03 -5.34407e-03 -7.36744e-01 2.75427e+07 2.27469e+08 6.87277e-03 21 1.55556e+00 0.00000e+00 0.00000e+00
6.56807e+08 8.37267e-03 -1.28042e+01 1.43259e-03 -5.77099e-03 6.05468e-03 1.08260e-03 -5.10563e-03 -7.63688e-01 2.69223e+07 1.97829e+08 6.56851e-03 22 1.66667e+00 0.00000e+00 0.00000e+00
6.39572e+08 8.05476e-03 -1.13910e+01 1.33033e-03 -5.56039e-03 5.76832e-03 9.98338e-04 -4.86118e-03 -7.82637e-01 2.55376e+07 1.80239e+08 6.25735e-03 23 1.77778e+00 0.00000e+00 0.00000e+00
6.18280e+08 7.70200e-03 -1.09276e+01 1.21755e-03 -5.33567e-03 5.45793e-03 9.01118e-04 -4.59271e-03 -7.92419e-01 2.43409e+07 1.58736e+08 5.91954e-03 24 1.88889e+00 0.00000e+00 0.00000e+00
6.08773e+08 7.41179e-03 -9.17483e+00 1.09497e-03 -5.11247e-03 5.17925e-03 8.00767e-04 -4.35469e-03 -7.89283e-01 2.26308e+07 1.48724e+08 5.61899e-03 25 2.00000e+00 0.00000e+00 0.00000e+00
5.93985e+08 7.10369e-03 -8.69327e+00 9.68534e-04 -4.89746e-03 4.89745e-03 6.91129e-04 -4.11159e-03 -7.74896e-01 2.13388e+07 1.33661e+08 5.31447e-03 26 2.11111e+00 0.00000e+00 0.00000e+00
5.88374e+08 6.85547e-03 -6.74747e+00 8.38124e-04 -4.69367e-03 4.65238e-03 5.80447e-04 -3.90225e-03 -7.47181e-01 1.98213e+07 1.27680e+08 5.05130e-03 27 2.22222e+00 0.00000e+00 0.00000e+00
5.76737e+08 6.59031e-03 -6.38502e+00 7.12215e-04 -4.50259e-03 4.40731e-03 4.69467e-04 -3.68983e-03 -7.13196e-01 1.86730e+07 1.15850e+08 4.78649e-03 28 2.33333e+00 0.00000e+00 0.00000e+00
5.71235e+08 6.39803e-03 -4.40388e+00 5.99274e-04 -4.34928e-03 4.22157e-03 3.75619e-04 -3.52846e-03 -6.73375e-01 1.72043e+07 1.10114e+08 4.58746e-03 29 2.44444e+00 0.00000e+00 0.00000e+00
5.61039e+08 6.19442e-03 -4.24297e+00 4.92640e-04 -4.20406e-03 4.04044e-03 2.90642e-04 -3.35948e-03 -6.40410e-01 1.55383e+07 9.97204e+07 4.39424e-03 30 2.55556e+00 0.00000e+00 0.00000e+00
5.54729e+08 6.04022e-03 -2.33559e+00 3.86345e-04 -4.08371e-03 3.90186e-03 2.14828e-04 -3.22194e-03 -6.08511e-01 1.31936e+07 9.31701e+07 4.25138e-03 31 2.66667e+00 0.00000e+00 0.00000e+00
5.47806e+08 5.89984e-03 -2.36495e+00 2.84679e-04 -3.97760e-03 3.78079e-03 1.51707e-04 -3.09528e-03 -5.89324e-01 1.02287e+07 8.60552e+07 4.13349e-03 32 2.77778e+00 0.00000e+00 0.00000e+00
5.42350e+08 5.77437e-03 -6.02575e-01 2.00832e-04 -3.87044e-03 3.67703e-03 1.08408e-04 -2.96679e-03 -5.59228e-01 7.10954e+06 8.06604e+07 4.04502e-03 33 2.88889e+00 0.00000e+00 0.00000e+00
