mpm_eps11   mpm_epsp21   mpm_eps12   mpm_epsp11   mpm_V2   mpm_epsp22   mpm_S22   mpm_eps22   mpm_S12   epeq   mpm_V1   mpm_S11   vtkOriginalPointIds   Points:0   Points:1   Points:2 
6.38090e-03 -8.19328e-04 -1.17920e-03 3.70244e-03 -2.21237e+00 -2.97130e-03 3.25357e+08 -3.22409e-03 -2.76822e+07 3.95026e-03 -2.14303e+01 7.76320e+08 0 0.00000e+00 0.00000e+00 0.00000e+00
6.53026e-03 -8.28639e-05 -1.27269e-04 3.18077e-03 -1.03535e+01 -2.10974e-03 6.48552e+08 -1.59534e-03 -3.41579e+06 3.23716e-03 -1.16822e+01 1.08472e+09 1 1.00000e+00 0.00000e+00 0.00000e+00
8.16342e-03 7.54995e-04 1.03318e-03 4.57405e-03 -8.82846e+00 -3.18272e-03 7.71577e+08 -2.45145e-03 2.13992e+07 4.70974e-03 9.60296e-01 1.21128e+09 2 3.00000e+00 0.00000e+00 0.00000e+00
4.55213e-03 -8.51861e-04 -1.61244e-03 1.83547e-03 -3.66496e+00 -1.26601e-03 3.65041e+08 -1.31848e-03 -5.85060e+07 1.94231e-03 -2.33447e+01 7.91062e+08 9 1.11111e-01 0.00000e+00 0.00000e+00
3.81821e-03 -1.58654e-04 -4.38009e-04 9.75925e-04 -3.92939e+00 -5.68833e-04 4.07855e+08 -4.46534e-04 -2.14889e+07 9.84652e-04 -2.34078e+01 8.26314e+08 10 2.22222e-01 0.00000e+00 0.00000e+00
4.18050e-03 -1.89966e-04 -4.50757e-04 1.25121e-03 -5.92220e+00 -7.40589e-04 4.49389e+08 -5.45678e-04 -2.00608e+07 1.26300e-03 -1.88751e+01 8.70064e+08 11 3.33333e-01 0.00000e+00 0.00000e+00
4.42167e-03 -2.09636e-05 -4.48200e-05 1.50732e-03 -6.20839e+00 -9.46505e-04 4.33801e+08 -8.24598e-04 -1.83511e+06 1.52373e-03 -1.95144e+01 8.63407e+08 12 4.44444e-01 0.00000e+00 0.00000e+00
4.81613e-03 -1.25689e-04 -2.36790e-04 1.92346e-03 -6.15673e+00 -1.29049e-03 4.20743e+08 -1.23872e-03 -8.54618e+06 1.96191e-03 -2.04543e+01 8.57805e+08 13 5.55556e-01 0.00000e+00 0.00000e+00
5.67109e-03 -4.36508e-04 -7.33350e-04 2.50071e-03 -7.69338e+00 -1.62585e-03 5.64800e+08 -1.26170e-03 -2.28340e+07 2.55051e-03 -2.07474e+01 9.96526e+08 14 6.66667e-01 0.00000e+00 0.00000e+00
5.79853e-03 -2.39670e-04 -3.97039e-04 2.59789e-03 -8.07931e+00 -1.69554e-03 5.76141e+08 -1.31401e-03 -1.21053e+07 2.64157e-03 -1.56865e+01 1.00985e+09 15 7.77778e-01 0.00000e+00 0.00000e+00
6.52421e-03 -1.39979e-04 -2.15494e-04 3.16140e-03 -8.98699e+00 -2.08486e-03 6.55619e+08 -1.55228e-03 -5.80889e+06 3.21556e-03 -1.52629e+01 1.09104e+09 16 8.88889e-01 0.00000e+00 0.00000e+00
7.73287e-03 2.41810e-04 3.44484e-04 4.02341e-03 -9.86316e+00 -2.61874e-03 8.29484e+08 -1.72957e-03 7.89800e+06 4.08639e-03 -1.32447e+01 1.26337e+09 17 1.11111e+00 0.00000e+00 0.00000e+00
8.05663e-03 1.77045e-04 2.47887e-04 4.26977e-03 -1.03496e+01 -2.78537e-03 8.67715e+08 -1.82154e-03 5.44941e+06 4.33654e-03 -6.94100e+00 1.30203e+09 18 1.22222e+00 0.00000e+00 0.00000e+00
7.78767e-03 1.98417e-04 2.81320e-04 4.08578e-03 -1.03006e+01 -2.67886e-03 8.25187e+08 -1.80337e-03 6.37712e+06 4.15283e-03 -8.53364e+00 1.26002e+09 19 1.33333e+00 0.00000e+00 0.00000e+00
8.15545e-03 1.69312e-04 2.35669e-04 4.35705e-03 -1.02144e+01 -2.85496e-03 8.73256e+08 -1.88307e-03 5.10436e+06 4.42759e-03 -3.81699e+00 1.30811e+09 20 1.44444e+00 0.00000e+00 0.00000e+00
8.69180e-03 -6.26816e-05 -8.52886e-05 4.73908e-03 -1.09973e+01 -3.09026e-03 9.50280e+08 -1.96131e-03 -1.73900e+06 4.81173e-03 -5.13413e+00 1.38471e+09 21 1.55556e+00 0.00000e+00 0.00000e+00
8.88264e-03 -5.41550e-05 -7.30003e-05 4.90702e-03 -1.09952e+01 -3.22449e-03 9.61386e+08 -2.07855e-03 -1.44964e+06 4.98722e-03 -8.16705e+00 1.39672e+09 22 1.66667e+00 0.00000e+00 0.00000e+00
8.54771e-03 -2.12387e-04 -2.88505e-04 4.74575e-03 -1.18870e+01 -3.19900e-03 8.74166e+08 -2.24440e-03 -5.85526e+06 4.84223e-03 -7.26629e+00 1.31222e+09 23 1.77778e+00 0.00000e+00 0.00000e+00
8.57773e-03 -2.99697e-04 -4.05028e-04 4.82616e-03 -1.26602e+01 -3.30530e-03 8.48970e+08 -2.41160e-03 -8.10238e+06 4.93793e-03 -4.71332e+00 1.28864e+09 24 1.88889e+00 0.00000e+00 0.00000e+00
7.98562e-03 -3.27955e-04 -4.50901e-04 4.49676e-03 -1.32003e+01 -3.18534e-03 7.17820e+08 -2.57641e-03 -9.45741e+06 4.62896e-03 -3.70754e+00 1.16089e+09 25 2.00000e+00 0.00000e+00 0.00000e+00
8.21986e-03 -3.97082e-04 -5.39328e-04 4.69985e-03 -1.37663e+01 -3.34780e-03 7.33688e+08 -2.71070e-03 -1.09421e+07 4.84446e-03 -4.11518e+00 1.17721e+09 26 2.11111e+00 0.00000e+00 0.00000e+00
