 stress_11   strain_11   strain_21   strain_22   velocity_x   velocity_y   stress_21   stress_22   vtkOriginalPointIds   Points:0   Points:1   Points:2 
2.0378e+08 0.00074645 2.4928e-06 2.4341e-05 -4.6059 0.15911 3.835e+05 9.2683e+07 0 0 0 0
1.7525e+08 0.00077328 6.6953e-05 -0.00028547 -3.9611 -0.10714 1.03e+07 1.2366e+07 1 1 0 0
0 0 0 0 0 0 0 0 2 3 0 0
2.0475e+08 0.0007945 -6.4238e-06 -7.9337e-05 -4.7109 0.096357 -9.8827e+05 7.0313e+07 9 0.11111 0 0
2.0475e+08 0.00083113 -8.1162e-06 -0.00016486 -4.753 0.061677 -1.2486e+06 5.1516e+07 10 0.22222 0 0
2.0313e+08 0.00085563 -2.4429e-06 -0.000236 -4.7364 0.026981 -3.7583e+05 3.5188e+07 11 0.33333 0 0
2.0006e+08 0.00086646 8.3827e-06 -0.00028791 -4.6668 -0.0034774 1.2896e+06 2.2462e+07 12 0.44444 0 0
1.9597e+08 0.00086486 2.2657e-05 -0.00031959 -4.5582 -0.030043 3.4857e+06 1.3749e+07 13 0.55556 0 0
1.9135e+08 0.00085299 3.8167e-05 -0.00033191 -4.4244 -0.05515 5.8719e+06 9.0622e+06 14 0.66667 0 0
1.8625e+08 0.00083216 5.1968e-05 -0.00032756 -4.2743 -0.077381 7.9951e+06 7.8301e+06 15 0.77778 0 0
1.8075e+08 0.00080452 6.1818e-05 -0.00031075 -4.1152 -0.094453 9.5105e+06 9.166e+06 16 0.88889 0 0
1.7e+08 0.00074049 6.7674e-05 -0.0002545 -3.8162 -0.1171 1.0411e+07 1.6923e+07 17 1.1111 0 0
1.6529e+08 0.00070791 6.4777e-05 -0.00021931 -3.6874 -0.12716 9.9657e+06 2.2637e+07 18 1.2222 0 0
1.6203e+08 0.00067919 5.9176e-05 -0.00018052 -3.591 -0.13966 9.104e+06 2.9766e+07 19 1.3333 0 0
1.6146e+08 0.00065913 5.1446e-05 -0.00013864 -3.5546 -0.15272 7.9148e+06 3.8726e+07 20 1.4444 0 0
1.6484e+08 0.00065325 4.1756e-05 -9.5661e-05 -3.6062 -0.15652 6.424e+06 4.962e+07 21 1.5556 0 0
1.7239e+08 0.00066432 3.0279e-05 -5.6064e-05 -3.7567 -0.13866 4.6583e+06 6.1558e+07 22 1.6667 0 0
1.8249e+08 0.00068882 1.8225e-05 -2.566e-05 -3.972 -0.096824 2.8038e+06 7.2571e+07 23 1.7778 0 0
1.9195e+08 0.00071635 8.0223e-06 -7.9157e-06 -4.1817 -0.047041 1.2342e+06 8.0525e+07 24 1.8889 0 0
1.9795e+08 0.00073572 1.9432e-06 -1.1554e-06 -4.3168 -0.011987 2.9895e+05 8.458e+07 25 2 0 0
0 0 0 0 0 0 0 0 26 2.1111 0 0
0 0 0 0 0 0 0 0 27 2.2222 0 0
0 0 0 0 0 0 0 0 28 2.3333 0 0
0 0 0 0 0 0 0 0 29 2.4444 0 0
0 0 0 0 0 0 0 0 30 2.5556 0 0
0 0 0 0 0 0 0 0 31 2.6667 0 0
0 0 0 0 0 0 0 0 32 2.7778 0 0
0 0 0 0 0 0 0 0 33 2.8889 0 0
