 UU:0   UU:1   VV:0   VV:1   S11   S22   S12   S33   vtkValidPointMask   arc_length   Points:0   Points:1   Points:2 
-1.60267e-03 1.07042e-19 -5.42324e+00 6.36479e-16 1.91532e+08 1.18692e+08 -1.56768e+06 9.30672e+07 1 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
-1.53142e-03 -1.57123e-20 -4.87046e+00 -5.30529e-17 1.91532e+08 1.18692e+08 -1.56768e+06 9.30672e+07 1 1.11111e-01 1.11111e-01 0.00000e+00 0.00000e+00
-1.44201e-03 3.49028e-20 -5.68596e+00 4.24287e-16 2.19980e+08 9.78581e+07 -1.24653e+06 9.53513e+07 1 2.22222e-01 2.22222e-01 0.00000e+00 0.00000e+00
-1.34731e-03 -6.63219e-20 -4.84646e+00 -3.18253e-16 2.12018e+08 5.99300e+07 -1.69726e+06 8.15845e+07 1 3.33333e-01 3.33333e-01 0.00000e+00 0.00000e+00
-1.24068e-03 -7.60605e-20 -5.63184e+00 -5.43644e-16 2.23143e+08 3.30005e+07 -1.17439e+06 7.68430e+07 1 4.44444e-01 4.44444e-01 0.00000e+00 0.00000e+00
-1.12587e-03 9.30703e-21 -4.58091e+00 1.06077e-16 2.32365e+08 1.55382e+07 -2.12105e+05 7.43709e+07 1 5.55556e-01 5.55556e-01 0.00000e+00 0.00000e+00
-1.02333e-03 -3.17032e-20 -4.90451e+00 -2.91711e-16 1.98931e+08 -8.97077e+06 1.18007e+06 5.69880e+07 1 6.66667e-01 6.66667e-01 0.00000e+00 0.00000e+00
-9.05665e-04 -2.81401e-20 -4.47532e+00 -2.12983e-16 2.35285e+08 5.98212e+06 2.69059e+06 7.23802e+07 1 7.77778e-01 7.77778e-01 0.00000e+00 0.00000e+00
-8.13658e-04 8.65006e-20 -3.79110e+00 6.44782e-16 1.75976e+08 -1.35405e+07 3.43908e+06 4.87306e+07 1 8.88889e-01 8.88889e-01 0.00000e+00 0.00000e+00
-7.14042e-04 2.54241e-21 -4.37681e+00 5.39673e-17 1.98605e+08 4.80571e+06 3.39505e+06 6.10233e+07 1 1.00000e+00 1.00000e+00 0.00000e+00 0.00000e+00
-6.21520e-04 -3.45396e-22 -3.15156e+00 -1.65746e-18 1.86524e+08 8.60382e+06 3.13798e+06 5.85382e+07 1 1.11111e+00 1.11111e+00 0.00000e+00 0.00000e+00
-5.56132e-04 -2.61984e-20 -2.96634e+00 -2.65292e-16 1.26204e+08 -8.09602e+06 3.33204e+06 3.54323e+07 1 1.22222e+00 1.22222e+00 0.00000e+00 0.00000e+00
-4.76976e-04 2.32640e-21 -3.68961e+00 1.06066e-16 1.65158e+08 1.89555e+07 3.92836e+06 5.52340e+07 1 1.33333e+00 1.33333e+00 0.00000e+00 0.00000e+00
-4.02408e-04 1.16347e-20 -2.77701e+00 1.76018e-20 1.59868e+08 2.85653e+07 4.38278e+06 5.65298e+07 1 1.44444e+00 1.44444e+00 0.00000e+00 0.00000e+00
-3.52060e-04 -5.23529e-21 -2.55193e+00 -5.30388e-17 1.06961e+08 1.81638e+07 4.20261e+06 3.75376e+07 1 1.55556e+00 1.55556e+00 0.00000e+00 0.00000e+00
-2.86942e-04 2.35781e-27 -4.14387e+00 1.26456e-23 1.47923e+08 4.65195e+07 3.35272e+06 5.83326e+07 1 1.66667e+00 1.66667e+00 0.00000e+00 0.00000e+00
-1.91655e-04 4.07137e-21 -5.04198e+00 9.94401e-17 2.25109e+08 8.75536e+07 2.21146e+06 9.37987e+07 1 1.77778e+00 1.77778e+00 0.00000e+00 0.00000e+00
