 mpm_eps11   mpm_eps12   mpm_S22   mpm_eps22   mpm_S12   mpm_V2   mpm_V1   mpm_S11   vtkOriginalPointIds   Points:0   Points:1   Points:2 
6.83288e-04 -1.11028e-04 4.01140e+07 -1.43843e-04 -8.54061e+06 -5.53839e-01 -4.60977e+00 1.67365e+08 0 0.00000e+00 0.00000e+00 0.00000e+00
7.69117e-04 3.70582e-05 7.07071e+07 -6.69951e-05 2.85063e+06 -4.31037e-01 -3.48775e+00 1.99340e+08 1 1.00000e+00 0.00000e+00 0.00000e+00
5.58217e-07 8.14782e-10 6.42195e+04 -7.06540e-10 6.26756e+01 -4.70723e-06 2.91550e-05 1.50208e+05 2 3.00000e+00 0.00000e+00 0.00000e+00
6.91184e-04 -7.02820e-05 4.08058e+07 -1.44657e-04 -5.40631e+06 -9.48072e-01 -4.63947e+00 1.69397e+08 9 1.11111e-01 0.00000e+00 0.00000e+00
9.80259e-04 3.07719e-05 7.01723e+07 -1.59471e-04 2.36707e+06 -9.32238e-01 -4.54207e+00 2.45515e+08 10 2.22222e-01 0.00000e+00 0.00000e+00
9.83456e-04 1.69391e-05 6.66669e+07 -1.73861e-04 1.30301e+06 -1.06256e+00 -4.80215e+00 2.44716e+08 11 3.33333e-01 0.00000e+00 0.00000e+00
6.71266e-04 4.50394e-05 3.15534e+07 -1.70487e-04 3.46457e+06 -9.95334e-01 -4.79238e+00 1.61054e+08 12 4.44444e-01 0.00000e+00 0.00000e+00
6.58231e-04 5.66105e-05 3.51159e+07 -1.51669e-04 4.35466e+06 -9.05460e-01 -3.57530e+00 1.59716e+08 13 5.55556e-01 0.00000e+00 0.00000e+00
8.41160e-04 5.50037e-05 6.21486e+07 -1.29660e-04 4.23105e+06 -8.05515e-01 -3.51070e+00 2.11506e+08 14 6.66667e-01 0.00000e+00 0.00000e+00
8.27605e-04 5.36909e-05 6.59600e+07 -1.09694e-04 4.13007e+06 -6.62056e-01 -5.00264e+00 2.10160e+08 15 7.77778e-01 0.00000e+00 0.00000e+00
7.67685e-04 4.76555e-05 6.48491e+07 -8.81399e-05 3.66581e+06 -5.32430e-01 -5.01590e+00 1.96514e+08 16 8.88889e-01 0.00000e+00 0.00000e+00
5.43152e-04 3.04013e-05 4.91817e+07 -5.01046e-05 2.33856e+06 -3.26434e-01 -3.54754e+00 1.40452e+08 17 1.11111e+00 0.00000e+00 0.00000e+00
5.44904e-04 2.46804e-05 5.30645e+07 -3.64336e-05 1.89849e+06 -2.35825e-01 -3.53589e+00 1.42501e+08 18 1.22222e+00 0.00000e+00 0.00000e+00
8.29204e-04 1.79202e-05 8.89080e+07 -2.51433e-05 1.37848e+06 -1.69267e-01 -3.57598e+00 2.20346e+08 19 1.33333e+00 0.00000e+00 0.00000e+00
8.33102e-04 1.27006e-05 9.16330e+07 -1.66925e-05 9.76970e+05 -1.15558e-01 -5.41074e+00 2.22371e+08 20 1.44444e+00 0.00000e+00 0.00000e+00
9.36489e-04 8.78716e-06 1.05180e+08 -1.06841e-05 6.75936e+05 -7.49474e-02 -5.45563e+00 2.50899e+08 21 1.55556e+00 0.00000e+00 0.00000e+00
9.40892e-04 5.61855e-06 1.06802e+08 -6.54601e-06 4.32196e+05 -4.75012e-02 -4.95557e+00 2.52562e+08 22 1.66667e+00 0.00000e+00 0.00000e+00
6.20489e-04 3.53308e-06 7.05544e+07 -3.86492e-06 2.71776e+05 -2.86013e-02 -4.98542e+00 1.66609e+08 23 1.77778e+00 0.00000e+00 0.00000e+00
6.22888e-04 2.13349e-06 7.12832e+07 -2.18589e-06 1.64115e+05 -1.65803e-02 -2.76909e+00 1.67448e+08 24 1.88889e+00 0.00000e+00 0.00000e+00
2.68260e-04 1.21818e-06 3.06351e+07 -1.18124e-06 9.37063e+04 -9.29849e-03 -2.78271e+00 7.20877e+07 25 2.00000e+00 0.00000e+00 0.00000e+00
2.69291e-04 6.79270e-07 3.09073e+07 -6.11874e-07 5.22515e+04 -4.93875e-03 -1.04934e+00 7.24309e+07 26 2.11111e+00 0.00000e+00 0.00000e+00
8.23583e-05 3.56300e-07 9.42175e+06 -3.01346e-07 2.74077e+04 -2.53085e-03 -1.05479e+00 2.21386e+07 27 2.22222e+00 0.00000e+00 0.00000e+00
8.27644e-05 1.77755e-07 9.51162e+06 -1.41580e-07 1.36735e+04 -1.23676e-03 -2.89775e-01 2.22664e+07 28 2.33333e+00 0.00000e+00 0.00000e+00
1.89836e-05 8.54152e-08 2.17334e+06 -6.34508e-08 6.57040e+03 -5.71540e-04 -2.91719e-01 5.10366e+06 29 2.44444e+00 0.00000e+00 0.00000e+00
1.91172e-05 3.79854e-08 2.19857e+06 -2.69604e-08 2.92196e+03 -2.55751e-04 -6.11408e-02 5.14383e+06 30 2.55556e+00 0.00000e+00 0.00000e+00
3.41788e-06 1.64776e-08 3.91413e+05 -1.09863e-08 1.26751e+03 -1.06952e-04 -6.17054e-02 9.18931e+05 31 2.66667e+00 0.00000e+00 0.00000e+00
3.45202e-06 6.62238e-09 3.97166e+05 -4.24882e-09 5.09414e+02 -4.34997e-05 -1.00381e-02 9.28900e+05 32 2.77778e+00 0.00000e+00 0.00000e+00
5.50516e-07 2.55004e-09 6.30883e+04 -1.60753e-09 1.96157e+02 -1.70811e-05 -1.01632e-02 1.48030e+05 33 2.88889e+00 0.00000e+00 0.00000e+00
