 P_11   P_12   strain_11   strain_12   P_21   velocity_x   P_22   strain_21   strain_22   S_21   S_22   velocity_y   S_11   S_12   vtkOriginalPointIds   Points:0   Points:1   Points:2 
4.09344e+10 1.02586e+08 1.17909e+00 9.74852e-04 9.79055e+07 -9.94376e+02 1.80502e+10 8.03825e-04 9.76067e-01 1.15596e+08 1.53087e+10 -3.26945e+01 4.19382e+10 1.15596e+08 0 -1.82216e-01 -1.39628e-03 0.00000e+00
2.41212e+10 1.97574e+07 1.09319e+00 1.40787e-04 2.03196e+07 -5.36535e+02 1.21957e+10 1.73188e-04 9.99767e-01 2.18954e+07 1.11560e+10 -1.48802e+00 2.41269e+10 2.18954e+07 1 9.81505e-01 -1.85725e-05 0.00000e+00
0.00000e+00 3.78931e-07 1.00000e+00 -3.84336e-17 3.78931e-07 1.15321e-13 0.00000e+00 4.33597e-17 1.00000e+00 3.78931e-07 1.64303e-23 -1.49316e-13 -1.45637e-23 3.78931e-07 2 3.00000e+00 8.77092e-20 0.00000e+00
4.10267e+10 1.97675e+08 1.17827e+00 2.25009e-03 1.61724e+08 -9.84625e+02 1.84891e+10 9.47721e-04 9.77739e-01 2.01518e+08 1.56919e+10 -3.24590e+01 4.19613e+10 2.01518e+08 9 -5.01561e-02 -1.32234e-03 0.00000e+00
4.12471e+10 2.77470e+08 1.17717e+00 3.11008e-03 2.30481e+08 -9.76764e+02 1.92741e+10 1.43480e-03 9.80566e-01 2.86982e+08 1.63736e+10 -3.20371e+01 4.20655e+10 2.86982e+08 10 8.11701e-02 -1.16018e-03 0.00000e+00
4.15853e+10 3.19137e+08 1.17580e+00 3.51023e-03 2.70250e+08 -9.71448e+02 2.03695e+10 1.80563e-03 9.84447e-01 3.36293e+08 1.73245e+10 -2.98623e+01 4.22435e+10 3.36293e+08 11 2.12125e-01 -9.51686e-04 0.00000e+00
4.19044e+10 3.03879e+08 1.17399e+00 3.26186e-03 2.64024e+08 -9.66788e+02 2.15438e+10 1.90328e-03 9.88804e-01 3.27551e+08 1.83515e+10 -2.54244e+01 4.23800e+10 3.27551e+08 12 3.42829e-01 -7.04688e-04 0.00000e+00
4.18062e+10 2.43626e+08 1.17060e+00 2.54071e-03 2.17910e+08 -9.54738e+02 2.23407e+10 1.67338e-03 9.92872e-01 2.68312e+08 1.90852e+10 -1.92737e+01 4.21070e+10 2.68312e+08 13 4.73209e-01 -4.64253e-04 0.00000e+00
4.05741e+10 1.66263e+08 1.16310e+00 1.67302e-03 1.53069e+08 -9.19379e+02 2.21278e+10 1.21865e-03 9.96061e-01 1.85629e+08 1.90251e+10 -1.27707e+01 4.07349e+10 1.85629e+08 14 6.02989e-01 -2.67901e-04 0.00000e+00
3.73741e+10 9.81113e+07 1.14826e+00 9.50194e-04 9.20200e+07 -8.41499e+02 2.03217e+10 7.23584e-04 9.98146e-01 1.09039e+08 1.76979e+10 -7.30347e+00 3.74436e+10 1.09039e+08 15 7.31559e-01 -1.35466e-04 0.00000e+00
3.17490e+10 4.53223e+07 1.12433e+00 3.06030e-04 4.94657e+07 -7.10544e+02 1.68057e+10 4.87249e-04 9.99274e-01 5.40793e+07 1.49473e+10 -3.60165e+00 3.17720e+10 5.40793e+07 16 8.58071e-01 -4.30771e-05 0.00000e+00
1.58413e+10 4.33688e+06 1.06038e+00 2.52092e-05 4.49923e+06 -3.50245e+02 7.58833e+09 3.94851e-05 9.99951e-01 4.67986e+06 7.15626e+09 -4.81226e-01 1.58421e+10 4.67986e+06 17 1.10145e+00 -8.67160e-07 0.00000e+00
8.62438e+09 -4.64782e+05 1.03249e+00 1.00118e-05 -6.35544e+05 -1.89667e+02 3.93142e+09 -1.76304e-05 9.99994e-01 -5.97425e+05 3.80772e+09 -9.67076e-02 8.62443e+09 -5.97425e+05 18 1.21799e+00 1.24992e-06 0.00000e+00
3.68298e+09 -8.19904e+05 1.01376e+00 2.44772e-06 -8.62376e+05 -8.06892e+01 1.62139e+09 -1.36767e-05 1.00000e+00 -8.58460e+05 1.59938e+09 1.52078e-03 3.68297e+09 -8.58460e+05 19 1.33185e+00 -7.61191e-10 0.00000e+00
1.14218e+09 -3.33704e+05 1.00425e+00 -2.60549e-06 -3.33017e+05 -2.49602e+01 4.93701e+08 -1.76371e-06 1.00000e+00 -3.34298e+05 4.91612e+08 2.34922e-02 1.14218e+09 -3.34298e+05 20 1.44406e+00 3.99340e-07 0.00000e+00
2.26902e+08 -2.21909e+05 1.00084e+00 -1.82101e-06 -2.21787e+05 -4.97130e+00 9.73905e+07 -1.06767e-06 1.00000e+00 -2.21964e+05 9.73085e+07 1.66517e-03 2.26902e+08 -2.21964e+05 21 1.55549e+00 1.79894e-08 0.00000e+00
2.13207e+07 1.69991e+03 1.00008e+00 9.86506e-09 1.69995e+03 -4.65215e-01 9.13802e+06 1.22374e-08 1.00000e+00 1.70004e+03 9.13730e+06 -4.79699e-05 2.13207e+07 1.70004e+03 22 1.66666e+00 -5.35869e-10 0.00000e+00
0.00000e+00 1.11169e-06 1.00000e+00 -3.66987e-18 1.11169e-06 2.32682e-14 0.00000e+00 1.81219e-17 1.00000e+00 1.11169e-06 2.01460e-23 7.92280e-14 -4.07978e-24 1.11169e-06 23 1.77778e+00 1.76011e-18 0.00000e+00
0.00000e+00 2.61323e-06 1.00000e+00 5.58672e-18 2.61323e-06 1.80391e-14 0.00000e+00 2.83853e-17 1.00000e+00 2.61323e-06 7.41775e-23 1.56218e-13 1.45994e-23 2.61323e-06 24 1.88889e+00 3.81659e-18 0.00000e+00
0.00000e+00 5.34028e-06 1.00000e+00 3.96783e-17 5.34028e-06 -2.24765e-14 0.00000e+00 2.97453e-17 1.00000e+00 5.34028e-06 1.58848e-22 2.74365e-13 2.11893e-22 5.34028e-06 25 2.00000e+00 6.77288e-18 0.00000e+00
0.00000e+00 8.39529e-06 1.00000e+00 9.04294e-17 8.39529e-06 -1.33710e-13 0.00000e+00 1.87095e-17 1.00000e+00 8.39529e-06 1.57071e-22 5.44219e-13 7.59181e-22 8.39529e-06 26 2.11111e+00 1.04242e-17 0.00000e+00
0.00000e+00 8.13871e-06 1.00000e+00 4.59550e-17 8.13871e-06 -2.95553e-13 0.00000e+00 5.98482e-17 1.00000e+00 8.13871e-06 4.87087e-22 8.03829e-13 3.74014e-22 8.13871e-06 27 2.22222e+00 1.70160e-17 0.00000e+00
0.00000e+00 8.20776e-06 1.00000e+00 1.23110e-16 8.20776e-06 -7.28782e-13 0.00000e+00 -1.64086e-17 1.00000e+00 8.20776e-06 -1.34678e-22 5.81930e-13 1.01045e-21 8.20776e-06 28 2.33333e+00 1.50087e-17 0.00000e+00
-6.48986e-06 6.14684e-07 1.00000e+00 1.25597e-16 6.14684e-07 -2.14426e-13 -5.22662e-05 -1.17606e-16 1.00000e+00 6.14684e-07 -5.22662e-05 5.47118e-13 -6.48986e-06 6.14684e-07 29 2.44444e+00 4.72345e-17 0.00000e+00
-5.22662e-05 -8.86820e-06 1.00000e+00 -1.39142e-16 -8.86820e-06 4.27901e-13 -6.48986e-06 2.38556e-17 1.00000e+00 -8.86820e-06 -6.48986e-06 1.02022e-13 -5.22662e-05 -8.86820e-06 30 2.55556e+00 5.61548e-18 0.00000e+00
0.00000e+00 -9.12427e-06 1.00000e+00 -1.47585e-16 -9.12427e-06 2.32782e-13 0.00000e+00 2.89690e-17 1.00000e+00 -9.12427e-06 -2.64321e-22 1.47068e-15 1.34660e-21 -9.12427e-06 31 2.66667e+00 6.26286e-18 0.00000e+00
