 P_11   P_12   strain_11   strain_12   P_21   velocity_x   P_22   strain_21   strain_22   S_21   S_22   velocity_y   S_11   S_12   vtkOriginalPointIds   Points:0   Points:1   Points:2 
4.41555e+10 3.94198e+08 1.16279e+00 6.33176e-03 1.42340e+08 -1.00336e+03 2.89930e+10 -1.17352e-03 1.01702e+00 2.95191e+08 2.49337e+10 1.47006e+01 4.34186e+10 2.95191e+08 0 -5.00155e-01 1.03445e-03 0.00000e+00
3.94553e+10 3.36933e+09 1.21929e+00 4.98382e-02 2.34138e+09 -9.72057e+02 1.38100e+09 -3.82472e-03 9.12509e-01 2.62728e+09 1.12439e+09 -2.13910e+00 4.33817e+10 2.62728e+09 1 7.07832e-01 -4.83682e-03 0.00000e+00
2.14782e+10 3.84363e+08 1.08487e+00 4.87857e-03 3.18231e+08 -7.44595e+01 9.81983e+09 4.81860e-04 9.95922e-01 3.63874e+08 9.05178e+09 -8.13378e-01 2.15679e+10 3.63874e+08 2 2.99507e+00 3.37397e-05 0.00000e+00
4.39477e+10 8.69334e+08 1.17697e+00 1.46977e-02 2.81560e+08 -1.01070e+03 2.46837e+10 -3.91650e-03 9.96512e-01 5.91839e+08 2.09703e+10 1.37826e+01 4.41102e+10 5.91839e+08 9 -3.68995e-01 1.64844e-04 0.00000e+00
4.36723e+10 1.36801e+09 1.18906e+00 2.28869e-02 5.22563e+08 -1.01566e+03 2.06607e+10 -5.60080e-03 9.78661e-01 9.40198e+08 1.73712e+10 1.28083e+01 4.46466e+10 9.40198e+08 10 -2.36968e-01 -6.30087e-04 0.00000e+00
4.33348e+10 1.83879e+09 1.19944e+00 3.03337e-02 8.08428e+08 -1.01875e+03 1.68609e+10 -6.67823e-03 9.62869e-01 1.28223e+09 1.40502e+10 1.16339e+01 4.50463e+10 1.28223e+09 11 -1.03921e-01 -1.43688e-03 0.00000e+00
4.29349e+10 2.25183e+09 1.20804e+00 3.66194e-02 1.10803e+09 -1.01992e+03 1.33302e+10 -7.23307e-03 9.49112e-01 1.59281e+09 1.10250e+10 1.02179e+01 4.52984e+10 1.59281e+09 12 3.01078e-02 -2.20778e-03 0.00000e+00
4.24639e+10 2.59868e+09 1.21476e+00 4.16310e-02 1.40263e+09 -1.01871e+03 1.01200e+10 -7.32124e-03 9.37423e-01 1.86574e+09 8.31963e+09 8.50481e+00 4.53814e+10 1.86574e+09 13 1.64942e-01 -2.92339e-03 0.00000e+00
4.19048e+10 2.87959e+09 1.21943e+00 4.53780e-02 1.68034e+09 -1.01435e+03 7.27781e+09 -6.98055e-03 9.27848e-01 2.10230e+09 5.95618e+09 6.43845e+00 4.52663e+10 2.10230e+09 14 3.00379e-01 -3.56281e-03 0.00000e+00
4.12338e+10 3.09864e+09 1.22186e+00 4.79288e-02 1.93333e+09 -1.00582e+03 4.84785e+09 -6.24608e-03 9.20455e-01 2.30639e+09 3.95580e+09 3.97393e+00 4.49173e+10 2.30639e+09 15 4.36178e-01 -4.10741e-03 0.00000e+00
