 PK2:0   PK2:1   PK2:2   PK2:3   PK2:4   Logarithmic_strain_components:0   Logarithmic_strain_components:1   Logarithmic_strain_components:2   Logarithmic_strain_components:3   Logarithmic_strain_components:4   Spatial_displacement:0   Spatial_displacement:1   Spatial_acceleration:0   Spatial_acceleration:1   Spatial_velocity:0   Spatial_velocity:1   Reaction_force:0   Reaction_force:1   Stress_Mises   Stress_Max_Principal   Stress_Mid_Principal   Stress_Min_Principal   Stress_Pressure   Stress_Tresca   Stress_Third_Invariant   Logarithmic_strain_Max_Principal   Logarithmic_strain_Min_Principal   vtkOriginalPointIds   Points:0   Points:1   Points:2 
4.20489e+10 5.20909e+07 5.20909e+07 1.67824e+10 1.88851e+10 1.62174e-01 7.41674e-04 7.41674e-04 -1.76992e-02 0.00000e+00 -1.79209e-01 0.00000e+00 0.00000e+00 0.00000e+00 -1.00000e+03 0.00000e+00 -2.29549e+09 -1.09657e+09 2.42837e+10 4.20490e+10 1.88851e+10 1.67823e+10 -2.59055e+10 2.52667e+10 2.40776e+10 1.62175e-01 -1.76999e-02 0 -1.79209e-01 0.00000e+00 0.00000e+00
4.27075e+10 9.66396e+07 9.66396e+07 1.73249e+10 1.93210e+10 1.64165e-01 1.37961e-03 1.37961e-03 -1.68646e-02 0.00000e+00 -1.59685e-01 0.00000e+00 1.76481e+06 0.00000e+00 -1.00332e+03 0.00000e+00 0.00000e+00 -2.26841e+09 2.44467e+10 4.27080e+10 1.93210e+10 1.73244e+10 -2.64511e+10 2.53835e+10 2.42616e+10 1.64168e-01 -1.68678e-02 1 -4.85739e-02 0.00000e+00 0.00000e+00
4.20932e+10 1.71258e+08 1.71258e+08 1.74873e+10 1.92151e+10 1.60890e-01 2.44111e-03 2.44111e-03 -1.45556e-02 0.00000e+00 -1.39629e-01 0.00000e+00 -2.41405e+06 0.00000e+00 -9.72882e+02 0.00000e+00 0.00000e+00 -2.28249e+09 2.37912e+10 4.20944e+10 1.92151e+10 1.74861e+10 -2.62652e+10 2.46084e+10 2.36487e+10 1.60899e-01 -1.45645e-02 4 8.25929e-02 0.00000e+00 0.00000e+00
4.33001e+10 2.07534e+08 2.07534e+08 1.88606e+10 2.01951e+10 1.63710e-01 2.97203e-03 2.97203e-03 -1.12852e-02 0.00000e+00 -1.20934e-01 0.00000e+00 6.23505e+06 0.00000e+00 -9.84603e+02 0.00000e+00 0.00000e+00 -2.46944e+09 2.38043e+10 4.33019e+10 2.01951e+10 1.88588e+10 -2.74520e+10 2.44431e+10 2.37160e+10 1.63723e-01 -1.12978e-02 6 2.12399e-01 0.00000e+00 0.00000e+00
4.37373e+10 1.99312e+08 1.99312e+08 1.98559e+10 2.07678e+10 1.63659e-01 2.86165e-03 2.86165e-03 -7.76916e-03 0.00000e+00 -1.00107e-01 0.00000e+00 -4.10971e+06 0.00000e+00 -1.02969e+03 0.00000e+00 0.00000e+00 -2.59963e+09 2.34417e+10 4.37390e+10 2.07678e+10 1.98542e+10 -2.81203e+10 2.38848e+10 2.34005e+10 1.63671e-01 -7.78110e-03 8 3.44338e-01 0.00000e+00 0.00000e+00
4.12400e+10 1.58350e+08 1.58350e+08 1.91412e+10 1.97015e+10 1.53255e-01 2.26368e-03 2.26368e-03 -4.69253e-03 0.00000e+00 -8.13884e-02 0.00000e+00 -6.18161e+05 0.00000e+00 -8.91168e+02 0.00000e+00 0.00000e+00 -2.47900e+09 2.18262e+10 4.12412e+10 1.97015e+10 1.91400e+10 -2.66942e+10 2.21012e+10 2.18088e+10 1.53263e-01 -4.70081e-03 10 4.74167e-01 0.00000e+00 0.00000e+00
4.59930e+10 1.03337e+08 1.03337e+08 2.22783e+10 2.25646e+10 1.69182e-01 1.48925e-03 1.48925e-03 -2.43438e-03 0.00000e+00 -6.32584e-02 0.00000e+00 1.22701e+07 0.00000e+00 -1.04821e+03 0.00000e+00 0.00000e+00 -2.93931e+09 2.35740e+10 4.59935e+10 2.25646e+10 2.22778e+10 -3.02786e+10 2.37157e+10 2.35691e+10 1.69186e-01 -2.43805e-03 12 6.03408e-01 0.00000e+00 0.00000e+00
4.92010e+10 5.47335e+07 5.47335e+07 2.43456e+10 2.44647e+10 1.80029e-01 7.98577e-04 7.98577e-04 -1.05094e-03 0.00000e+00 -4.03418e-02 0.00000e+00 -4.46516e+06 0.00000e+00 -1.15977e+03 0.00000e+00 0.00000e+00 -3.24024e+09 2.47963e+10 4.92011e+10 2.44647e+10 2.43454e+10 -3.26704e+10 2.48557e+10 2.47956e+10 1.80030e-01 -1.05192e-03 14 7.37436e-01 0.00000e+00 0.00000e+00
3.81776e+10 2.38170e+07 2.38170e+07 1.85166e+10 1.85605e+10 1.40050e-01 3.41827e-04 3.41827e-04 -3.70669e-04 0.00000e+00 -1.93868e-02 0.00000e+00 -2.07625e+07 0.00000e+00 -8.70425e+02 0.00000e+00 0.00000e+00 -2.38833e+09 1.96391e+10 3.81776e+10 1.85605e+10 1.85165e+10 -2.50849e+10 1.96610e+10 1.96390e+10 1.40050e-01 -3.70889e-04 16 8.69502e-01 0.00000e+00 0.00000e+00
2.06503e+10 8.50902e+06 8.50902e+06 9.56689e+09 9.58107e+09 7.62105e-02 1.17502e-04 1.17502e-04 -1.07816e-04 0.00000e+00 -6.78140e-03 0.00000e+00 -1.96044e+07 0.00000e+00 -4.43419e+02 0.00000e+00 0.00000e+00 -1.16329e+09 1.10764e+10 2.06504e+10 9.58107e+09 9.56688e+09 -1.32661e+10 1.10835e+10 1.10764e+10 7.62106e-02 -1.07862e-04 18 9.93219e-01 0.00000e+00 0.00000e+00
