 mpm_F12   mpm_F11   mpm_F22   mpm_S22   mpm_S21   mpm_F21   mpm_S12   mpm_V2   mpm_V1   mpm_S11   vtkOriginalPointIds   Points:0   Points:1   Points:2 
2.73256e-03 1.15982e+00 1.00554e+00 2.48400e+10 6.37249e+08 5.54473e-03 6.37249e+08 0.00000e+00 -9.73229e+02 4.80322e+10 0 -4.99957e-01 -3.73921e-04 0.00000e+00
9.31473e-03 1.22904e+00 9.04280e-01 -2.80159e+08 5.69976e+08 -3.84775e-04 5.69976e+08 0.00000e+00 -9.45411e+02 4.93956e+10 1 6.93761e-01 -7.60372e-03 0.00000e+00
8.56343e-05 1.05684e+00 9.99363e-01 6.93377e+09 5.63122e+07 6.37410e-04 5.63122e+07 0.00000e+00 0.00000e+00 1.57001e+10 2 2.99705e+00 -6.09451e-05 0.00000e+00
7.23450e-03 1.16407e+00 1.00682e+00 2.60458e+10 1.59909e+08 -4.27205e-03 1.59909e+08 0.00000e+00 -9.73214e+02 4.96703e+10 9 -3.80260e-01 -4.48062e-04 0.00000e+00
9.31074e-03 1.17788e+00 9.96982e-01 2.49291e+10 1.88600e+08 -5.56379e-03 1.88600e+08 0.00000e+00 -9.91777e+02 5.21220e+10 10 -2.50400e-01 -4.92249e-04 0.00000e+00
7.37566e-03 1.18885e+00 9.84510e-01 2.22977e+10 -6.58502e+07 -6.90765e-03 -6.58502e+07 0.00000e+00 -9.88780e+02 5.30572e+10 11 -1.18675e-01 -1.23382e-03 0.00000e+00
6.36882e-03 1.19031e+00 9.70340e-01 1.74192e+10 -1.72237e+08 -7.26268e-03 -1.72237e+08 0.00000e+00 -1.00474e+03 5.06287e+10 12 1.31998e-02 -2.51945e-03 0.00000e+00
1.10519e-02 1.20493e+00 9.49943e-01 1.24629e+10 -3.74418e+08 -1.31337e-02 -3.74418e+08 0.00000e+00 -1.01878e+03 5.10829e+10 13 1.46371e-01 -4.19310e-03 0.00000e+00
1.37096e-02 1.23378e+00 9.29069e-01 9.33371e+09 2.23802e+08 -7.74073e-03 2.23802e+08 0.00000e+00 -9.98631e+02 5.56253e+10 14 2.81819e-01 -5.47053e-03 0.00000e+00
9.30403e-03 1.24352e+00 9.17246e-01 6.45279e+09 2.43599e+08 -4.08269e-03 2.43599e+08 0.00000e+00 -9.81439e+02 5.61337e+10 15 4.19681e-01 -6.52606e-03 0.00000e+00
